word,count,doc_count
a,315023,3887
e,215903,3887
o,178208,3887
de,152427,3887
que,105882,3887
um,94899,3887
com,91178,3887
as,64181,3884
da,63204,3877
uma,61749,3887
os,58790,3885
para,52469,3882
do,49963,3873
era,35108,3870
sua,33526,3820
mais,28949,3860
no,28745,3859
mas,29098,3823
em,27419,3842
não,27052,3799
por,21586,3813
na,23558,3755
se,21315,3714
dia,16458,3768
como,18866,3720
ao,16875,3667
seu,16884,3594
à,14873,3577
sempre,12878,3538
estava,13213,3504
todos,15278,3466
olhos,11299,3488
é,19047,3341
tinha,12307,3424
das,15573,3374
seus,12807,3378
vez,8702,3421
numa,8795,3370
suas,12622,3299
assim,6904,3343
começou,9346,3298
dos,13063,3251
muito,11716,3159
onde,9793,3180
disse,11543,3129
ser,9627,3122
enquanto,6667,3149
alegria,11736,3053
pela,9182,3083
ela,14307,3018
sol,10229,3050
coração,9639,3025
sobre,12019,2969
cada,10204,2987
ele,15290,2914
foi,8113,2920
sorriso,7282,2924
tudo,7317,2915
num,6646,2836
até,6722,2830
quando,7283,2799
nos,6846,2794
depois,6436,2756
continuou,5674,2715
nunca,6121,2704
pelo,5844,2636
todas,5900,2635
mundo,8183,2606
ainda,5540,2625
voz,6081,2606
nas,6019,2605
vida,6476,2590
mesmo,6023,2589
fazer,6698,2573
pequena,5780,2581
também,5769,2550
especial,5195,2500
respondeu,6809,2446
eram,5398,2460
lugar,5874,2434
história,8067,2399
tão,5070,2422
sabia,5006,2394
grande,5132,2369
cheio,4043,2332
outros,6315,2300
agora,4750,2318
histórias,7198,2235
amigos,6782,2234
ficou,4472,2250
tempo,5023,2230
dias,4103,2239
parecia,4304,2233
qualquer,3525,2241
perguntou,5072,2215
sem,4830,2200
casa,6784,2169
feliz,5238,2185
pequeno,4839,2183
lá,4553,2173
pouco,4306,2150
está,4991,2140
eu,7015,2084
já,4657,2105
ter,3831,2100
amizade,6096,2060
estavam,3930,2083
adorava,3326,2087
ajuda,4481,2069
partir,2771,2068
vivia,2709,2063
brilhantes,3058,2057
amor,6499,2009
sorriu,3626,2044
aventura,5773,2017
apenas,3512,2029
céu,5050,1997
algo,3833,2006
aos,3624,1982
sim,3925,1974
entre,3417,1972
sentiu,4031,1963
cheia,3307,1964
forte,3825,1946
árvores,4981,1929
finalmente,2951,1950
exclamou,3500,1938
volta,3365,1934
tornou-se,3393,1932
toda,3243,1907
chamado,2573,1914
suave,3210,1889
havia,4263,1875
crianças,8436,1823
começaram,3476,1873
flores,6001,1838
ar,3271,1864
chamada,2527,1872
ver,3409,1851
bem,3701,1840
repente,2860,1835
beleza,4587,1798
decidiu,3049,1809
lado,3287,1806
