word,count,doc_count
a,166126,2791
e,159264,2791
de,112895,2791
o,93107,2791
que,76740,2791
um,70479,2791
com,62601,2790
uma,43933,2790
da,41132,2778
para,40446,2789
as,37243,2777
em,32994,2790
os,33043,2780
se,33113,2777
do,31679,2773
era,24213,2779
mais,20168,2765
sua,22528,2722
no,20038,2760
mas,18744,2751
por,16858,2750
não,17220,2708
como,12994,2677
na,14277,2653
dia,10870,2684
seu,14784,2615
seus,13454,2590
ele,24755,2396
ela,22164,2396
ao,10406,2585
estava,10640,2555
todos,12406,2496
é,12658,2464
sempre,10067,2506
suas,10643,2463
olhos,6967,2408
assim,4994,2436
começou,6666,2342
disse,8622,2297
enquanto,5285,2352
das,9054,2267
vez,5058,2300
cada,8977,2226
muito,8199,2233
sobre,9562,2207
alegria,10386,2186
onde,6324,2242
dos,7655,2162
foi,6099,2175
eles,11167,2068
você,9172,2099
ser,6101,2148
tinha,5406,2142
coração,6433,2119
sol,6995,2067
até,4838,2085
à,5171,2065
tudo,5143,2049
pela,5318,2042
lugar,5801,2002
mundo,6583,1951
havia,5474,1946
mesmo,4712,1945
sorriso,4687,1924
continuou,4135,1930
eu,7072,1871
vida,5243,1883
também,4046,1869
quando,4217,1859
nunca,4062,1860
voz,4240,1850
nos,4259,1842
ainda,3815,1843
está,4563,1822
especial,4010,1815
todas,3785,1791
sabia,4014,1774
eram,3863,1776
respondeu,4860,1759
amigos,6380,1714
algo,3512,1729
pelo,3370,1730
cheio,3243,1723
outros,4560,1695
grande,3464,1703
perguntou,3821,1693
fazer,3984,1687
qualquer,2988,1698
depois,3229,1673
árvores,4144,1642
agora,3279,1647
lá,3272,1635
história,5095,1591
pouco,3381,1614
tão,2983,1616
estavam,3463,1604
amizade,5357,1571
feliz,3993,1588
tempo,3673,1568
apenas,2813,1570
forte,3130,1561
parecia,2912,1560
sem,3126,1545
ficou,2922,1522
sentiu,3325,1511
casa,4745,1484
chamado,2174,1518
histórias,4434,1474
ajuda,3179,1487
floresta,12229,1332
amor,4736,1449
pequena,2738,1473
nas,2846,1468
isso,2705,1463
aventura,4064,1439
cheia,2548,1461
céu,3600,1434
animais,5978,1390
flores,4755,1408
chamada,1969,1446
juntos,3135,1419
finalmente,2156,1415
antes,2260,1394
começaram,2657,1386
sorriu,2342,1384
cores,3937,1357
adorava,2179,1380
então,2293,1377
beleza,3438,1350
ter,2403,1363
já,2511,1355
ajudar,3114,1342
importância,3240,1336
pequeno,2773,1343
pode,2295,1351
dias,2167,1351
