word,count,doc_count
la,41592,938
da,40691,937
e,37797,938
il,22710,935
cun,15775,919
las,14197,905
in,12861,911
a,11664,932
era,11119,898
che,11057,888
en,12448,842
ha,16381,737
per,8275,914
ils,10553,845
ina,11456,728
ma,3495,848
el,7454,724
è,5141,729
dal,5244,706
di,2534,744
sa,4255,670
ella,4961,636
val,4243,623
eran,2393,648
han,5779,571
tut,2756,635
far,2192,616
els,3221,566
quai,3899,532
sco,3056,551
aveva,1850,573
lur,3013,514
sia,2571,523
al,1561,542
fin,1238,524
pli,2130,495
ses,2499,485
vita,1611,497
ed,2791,435
un,2747,430
ch'el,1824,440
quel,1211,452
na,1750,430
sun,1896,422
grond,1210,437
gronda,1360,416
i,2094,396
davant,2372,380
mai,860,409
ch'els,1354,384
temp,1088,389
cura,1164,382
ad,1527,373
vusch,1183,378
ch'era,1072,378
esser,924,370
fatg,1253,361
quella,753,372
betg,1303,352
flurs,1377,336
forza,1050,341
sur,827,343
chasa,1457,327
sentì,1102,333
als,1013,334
nua,882,332
cor,1014,325
sin,1074,322
adina,1335,316
muntognas,809,324
ch'ella,1226,313
quest,919,319
tge,1325,307
vent,1087,312
dals,893,315
questa,633,318
ti,1684,293
pitschen,868,303
ch'il,664,302
chi,1766,274
natura,1283,282
decidì,984,283
ün,4751,197
cumenzà,882,284
bun,780,286
senza,592,288
pitschna,723,285
uschè,1038,276
nus,1360,268
si,686,283
de,933,276
ditg,1569,261
es,1063,272
là,572,279
via,672,274
qua,675,268
èn,713,267
bella,618,269
muntogna,1037,257
ir,690,264
viveva,360,271
davent,606,260
giada,701,256
anc,558,258
dit,1276,240
terra,642,251
secret,990,240
avant,408,252
avair,568,247
viadi,822,241
ch'ils,459,247
gia,465,242
sias,642,238
jau,1753,212
se,636,236
suenter,541,237
dar,489,233
mund,753,227
vegl,568,231
part,419,234
nova,489,232
tras,582,229
sentiva,467,230
tuts,600,226
tu,714,223
co,578,224
egls,724,217
uffants,1181,204
tschiel,655,214
dad,571,214
giuven,585,213
stà,459,215
dis,484,214
sulegl,643,209
famiglia,766,206
d'in,336,211
lieu,650,203
vegniva,370,209
vers,369,209
ch'è,412,208
una,530,205
dumandà,462,206
po,460,206
mo,722,200
vegnir,396,206
animals,689,199
porta,555,202
cha,1004,189
amava,290,205
as,996,187
dir,346,201
üna,1702,170
viviva,270,201
vis,576,194
amis,526,195
guardà,409,197
dus,579,192
novas,443,195
giuvna,480,193
storia,538,191
auters,444,192
durant,320,194
plantas,489,190
mamma,694,185
musica,647,184
bain,510,187
va,466,187
hai,585,182
saveva,405,186
vegn,397,186
speranza,399,185
tgi,532,182
bellezza,388,185
vus,597,180
l'aria,285,187
vitg,880,173
vegnì,348,183
stada,422,181
mument,334,181
fa,332,181
vista,324,181
quels,272,180
avevan,394,177
er,474,175
aventura,355,177
magica,563,170
chattà,566,169
s'ha,411,172
grand,331,173
alura,406,171
passava,221,174
passà,338,171
aventuras,331,171
sol,373,169
l'ha,305,169
guarda,407,165
lura,335,166
pudeva,315,164
dat,285,164
onns,247,162
bel,309,159
mess,316,158
num,241,159
chattar,367,156
mia,415,154
d'ina,220,158
creaturas,824,144
tant,331,155
veglia,375,154
s'è,282,156
vivì,298,155
del,314,154
sua,463,150
vegnida,349,152
be,287,153
historia,528,146
nu,505,146
ellas,537,145
magia,467,146
secrets,378,148
casa,253,149
lunga,208,150
moment,274,148
mintga,339,146
temps,230,147
ensemen,338,144
festa,569,138
