word,count,doc_count
și,119433,2472
de,103344,2480
a,89439,2469
o,64328,2479
cu,62368,2480
să,61376,2476
în,53324,2478
un,42116,2480
se,34438,2472
pe,33886,2474
la,25276,2466
mai,25767,2442
nu,24771,2422
din,22510,2468
care,22878,2459
era,23452,2442
că,22229,2453
dar,19032,2406
au,28694,2205
ce,17018,2420
pentru,16082,2394
ca,12362,2337
într-o,9420,2378
ei,14465,2246
lui,14303,2097
zi,7161,2213
despre,12594,2079
fost,10103,2118
iar,8038,2117
când,8050,2097
plină,6201,2117
s-a,10212,2007
este,8359,2033
prin,6241,2049
unde,6174,2045
ochii,6000,2026
lor,8493,1944
el,9269,1901
fiecare,6731,1939
început,6732,1876
după,5339,1899
ea,7051,1844
cum,6012,1862
mare,5465,1869
îi,6001,1851
inima,5555,1834
avea,4379,1852
sunt,6703,1796
spre,5333,1823
își,6267,1802
erau,4899,1812
timp,4316,1785
al,5039,1758
le,5613,1745
mari,4090,1748
bucurie,4325,1739
într-un,3601,1751
fi,4249,1722
tot,3963,1655
toate,3677,1650
mereu,4111,1633
doar,4205,1596
cele,3529,1606
loc,3736,1600
spus,5376,1555
acum,4014,1560
mult,3278,1571
plin,3029,1567
trebuie,3998,1540
mică,3471,1515
împreună,3776,1505
lumea,3876,1492
mic,3383,1498
apoi,3332,1496
nume,2509,1509
te,4820,1451
cel,3313,1469
i-a,4600,1431
atunci,2578,1472
noi,3793,1437
va,3303,1442
acolo,2889,1445
ci,3052,1440
continuat,2872,1440
soarele,2975,1426
chiar,3013,1425
putea,2882,1415
toți,3409,1400
multe,3026,1407
învățat,3353,1399
ai,3899,1381
flori,3361,1391
sub,3004,1397
voce,2435,1394
peste,3082,1380
nou,2985,1380
bine,3094,1370
am,4786,1334
bună,3471,1350
îl,3756,1336
niciodată,2436,1345
ochi,2307,1345
pot,3076,1329
lângă,2619,1332
face,2826,1327
poate,3171,1319
s-au,3506,1309
sale,3014,1308
așa,2487,1311
văzut,2692,1279
ceva,2795,1275
cei,2678,1274
mici,2669,1261
devenit,2603,1261
până,2165,1257
ușor,2807,1242
eu,3876,1215
orice,2094,1246
aici,2633,1230
puternic,2180,1225
foarte,3029,1207
dat,2187,1217
pădure,3852,1176
asta,2861,1190
fie,2294,1199
e,5527,1125
cea,2220,1192
viață,2095,1193
ziua,2485,1180
său,2763,1170
cerul,2183,1163
printre,2036,1164
atenție,1956,1165
sa,2790,1141
ajuns,2097,1154
lume,2172,1145
totul,2046,1144
bun,2024,1142
dacă,2765,1125
grijă,2406,1130
simțit,2410,1126
ale,1914,1134
trăia,1364,1143
aventură,2321,1122
ne,3136,1105
știa,1916,1125
colorate,1964,1119
urmă,1794,1121
povestea,2035,1112
auzit,1783,1105
atât,1922,1101
povești,2380,1091
venit,1823,1099
ești,2531,1082
decât,1847,1096
lumina,2765,1074
zâmbet,1963,1090
și-a,2269,1080
zâmbit,2195,1080
găsit,2340,1076
unei,1617,1076
aventuri,1993,1065
unui,1602,1061
da,2588,1038
strălucitoare,1863,1052
viața,1880,1050
simțea,2012,1043
făcut,1769,1046
sau,2027,1035
prieteni,2256,1023
fără,2032,1024
jurul,1574,1029
rămas,1595,1017
fel,1639,1015
puterea,2105,984
părea,1569,984
răspuns,2030,972
voi,2105,968
ar,1777,973
gata,1586,971
vocea,1706,967
magică,2346,951
dată,1543,966
înțeles,1557,964
întrebat,1976,952
timpul,1676,957
trecut,1440,961
astfel,1366,956
le-a,2036,941
ele,1764,946
nouă,1652,948
dimineață,1435,952
niște,1557,949
cer,1732,942
dintre,1474,942
ascunsă,1581,938
descoperit,1579,931
soarelui,1579,931
frumoasă,1426,923
ajuta,1563,920
copaci,1490,921
acasă,1488,921
spuse,4620,855
blândă,1343,923
zâmbind,1558,914
facă,1434,915
copiii,3407,872
moment,1262,911
nevoie,1539,901
l-a,1882,891
curaj,1669,890
mă,2082,878
drum,1502,890
pline,1257,893
pădurea,2789,858
apă,1925,873
minunată,1414,882
această,1331,881
înainte,1291,881
important,1385,878
să-și,1487,873
inimă,1475,870
toată,1429,866
ajutorul,1404,855
verzi,1211,856
lumină,1869,842
drumul,1703,844
puternică,1289,843
copac,1670,835
să-l,1509,835
sat,2125,820
sfârșit,1065,842
întâlnit,1434,834
soare,1544,830
prietenii,1894,820
vântul,2485,804
ascuns,1312,825
părul,1195,826
departe,1459,820
minunat,1289,822
pornit,1280,820
vedea,1355,818
are,1344,813
copii,1960,800
poveste,1703,805
tuturor,1200,806
frumusețea,1405,799
ceilalți,1483,794
frumos,1296,797
tu,1803,786
copacii,1267,796
unul,1323,794
florile,1919,781
magic,1559,786
poveștile,1585,784
repede,1245,791
lucruri,1352,786
bucuria,1436,784
culori,1268,783
zilele,1109,784
vom,1877,768
exploreze,1264,778
puțin,1423,773
afla,1128,779
emoție,1168,777
aer,1225,774
găsi,1247,772
bătrân,1270,771
pădurii,2172,752
uitat,1214,769
prima,1080,771
mea,1314,766
verde,1480,762
întors,1046,769
ajute,1252,764
aventurile,1235,760
vor,1330,757
fericire,1155,757
fața,1085,757
aventura,1301,750
parte,1060,755
prietenia,1487,746
uneori,1283,749
animale,1372,746
frunze,1431,741
casă,1236,743
vreau,1612,735
strălucea,966,745
plini,978,744
curajul,1482,732
putere,1053,740
aceasta,1044,738
secrete,1176,733
cât,1113,734
spunea,1039,734
acesta,1083,733
să-i,1207,728
aveau,1059,731
zile,1006,725
reușit,1111,717
larg,1000,719
odată,902,718
seară,1140,713
vă,1607,701
dulce,1191,709
înapoi,1063,711
fericit,1074,708
oamenii,1812,692
deși,1019,706
entuziasm,898,708
casa,1340,695
importanța,1238,697
acea,939,699
observat,1025,696
poți,1278,690
animalele,1725,680
fetiță,1113,691
decis,1121,690
speranță,1198,688
vadă,968,689
însorită,744,692
tine,1248,679
știu,1183,679
apropiat,964,683
satul,1658,666
ridicat,1044,678
special,946,680
întrebă,2056,655
alte,996,677
curiozitate,836,678
deodată,958,674
prietenie,1048,671
imediat,898,672
aur,1429,657
vesel,1711,651
greu,985,666
jur,911,667
meu,1185,661
secretele,1135,662
fericită,925,659
luat,907,659
magice,1295,649
cap,994,655
adevărat,975,655
albaștri,770,655
cine,1153,644
energie,875,649
râs,1138,640
locuia,734,648
ascunse,976,642
vânt,1040,635
pământ,1123,633
câteva,986,635
ieșit,883,637
măsură,831,638
sus,1210,630
marginea,965,634
lungă,832,636
suntem,1161,629
simți,1379,624
nimic,981,631
frumoase,917,632
putem,1174,625
vechi,1068,627
povestit,891,630
întotdeauna,849,630
magia,1508,616
parcă,1049,623
curajos,1442,613
fericiți,920,623
mulțumesc,1089,619
vei,1290,614
caldă,850,623
curios,898,620
ani,832,620
specială,902,617
găsească,870,617
încă,1062,612
începu,1674,599
moale,901,615
plecat,824,615
locul,924,612
dragoste,971,611
dimineața,1032,609
prea,1166,606
arătat,861,611
razele,737,606
piatră,1128,594
stele,1479,586
floare,1391,587
mers,944,596
mine,982,593
plăcea,784,597
ta,971,592
ciudat,800,595
deschis,837,594
mama,2391,557
avem,990,585
blând,1055,583
bune,927,585
acel,731,589
prieteniei,915,584
fii,975,582
culorile,1128,578
continua,796,584
aripi,965,580
negru,1060,577
avut,784,581
fructe,1032,574
stea,1080,573
viu,774,578
ajutat,811,575
păduri,689,575
ascultat,785,573
lumii,867,571
zâmbi,1377,560
petrecut,743,573
oameni,1014,565
minunate,812,569
aduce,786,569
altă,810,568
săi,1033,563
adânc,795,567
roșii,840,565
alături,764,566
lemn,932,562
faci,817,562
ore,694,564
așezat,744,561
roșu,946,555
doi,984,554
lucru,732,559
vesele,901,555
veche,897,555
hai,1117,549
buni,798,555
inimile,769,555
ales,751,555
data,816,553
dansau,704,554
una,881,550
înalți,668,553
față,729,549
acest,711,548
grădină,1401,532
primul,724,546
singur,890,542
călătorie,876,539
doua,681,542
importantă,701,540
copiilor,1212,529
către,746,538
hotărât,751,535
strigă,1367,521
vrei,821,532
aceste,702,534
rapid,746,533
prieten,871,530
locuri,764,532
secret,937,527
spatele,801,529
