word,count,doc_count
и,97478,2585
в,46670,2585
что,26195,2581
на,25717,2582
с,21328,2577
не,21148,2568
он,26346,2384
как,16865,2559
но,16186,2558
она,22614,2314
они,18681,2409
к,12527,2519
а,15326,2439
это,12188,2483
о,13822,2398
его,13692,2352
по,8334,2429
когда,9181,2392
был,9862,2372
из,8507,2392
за,7306,2346
все,8109,2263
от,7093,2243
у,8224,2209
была,7150,2200
я,10457,2045
было,6254,2147
всегда,6135,2140
очень,7241,2075
однажды,3646,2159
же,5396,2056
где,5185,2058
чтобы,5459,2034
были,5434,2033
их,6148,1999
ты,7892,1940
только,4128,1935
так,4112,1916
которые,3899,1775
для,4074,1757
который,3725,1735
каждый,3262,1649
свои,3233,1645
даже,3105,1640
своей,3234,1635
просто,3259,1624
вместе,3605,1593
сказала,3978,1581
солнце,3179,1559
глаза,2904,1552
вдруг,2850,1547
свою,2899,1539
вот,3305,1510
день,2953,1514
под,3064,1500
ему,4216,1469
вокруг,2781,1506
уже,2682,1493
быть,3054,1480
больше,2627,1465
теперь,2441,1387
сказал,2928,1369
нужно,2731,1374
свой,2483,1377
своим,2272,1378
себя,2487,1370
маленький,2406,1369
имени,1754,1384
ей,3775,1330
много,2507,1351
там,2634,1345
лесу,4074,1297
мы,3979,1293
которая,2281,1330
конечно,2401,1321
им,2651,1313
немного,2327,1320
тебе,2927,1277
всех,2219,1284
ее,4769,1212
этот,2104,1273
том,2326,1265
него,2128,1269
может,2366,1262
тех,1572,1270
сердце,2371,1248
будет,2208,1240
своих,2138,1234
кто,2105,1232
время,1974,1235
до,1912,1216
ней,1883,1206
что-то,2018,1200
еще,2490,1172
себе,1899,1185
никогда,1849,1180
её,4563,1106
тоже,1979,1170
друг,2296,1160
есть,1841,1170
маленькая,1842,1167
пор,1373,1174
ведь,1721,1161
них,1808,1151
самое,1743,1147
если,1842,1138
найти,2124,1122
можно,1905,1127
да,2239,1113
своими,1695,1124
спросила,2065,1113
снова,1845,1118
всем,1689,1117
через,1988,1104
тут,1984,1097
мне,2045,1095
самые,1781,1098
рядом,1774,1096
лес,2797,1064
со,1595,1090
