word,count,doc_count
න,164236,1483
ව,119356,1483
ක,95545,1483
ම,92329,1483
ත,84608,1483
හ,63983,1483
ග,62929,1483
ද,62428,1483
ල,60174,1483
ට,59932,1483
ය,55348,1483
ස,53510,1483
ප,53079,1483
ර,50436,1483
බ,28591,1483
ණ,28973,1469
ළ,15084,1467
සත,10911,1459
එක,9433,1470
ඩ,11052,1439
කළ,10883,1437
ගත,8000,1456
ච,15050,1381
වන,10441,1404
නම,6572,1427
කරන,7366,1409
ඒ,8566,1398
හර,10615,1373
වල,7518,1398
යල,6988,1389
නව,6420,1394
යන,7102,1375
කත,6513,1374
අප,9079,1319
වත,6458,1341
ඔය,8258,1321
දර,5790,1338
පස,4269,1351
මද,5867,1335
වග,5066,1328
මත,4873,1328
ඔව,9890,1273
දවසක,3672,1324
කක,4803,1273
ඇහ,5880,1246
මට,4756,1252
අන,4243,1256
ලස,4699,1246
එය,12238,1159
සහ,5847,1206
ජ,5123,1209
ඒක,4264,1215
අම,9529,1162
ඩක,4655,1195
පටන,3150,1207
යක,3373,1204
සන,3486,1194
ඕන,3358,1181
ඇත,3625,1175
වට,3101,1170
මම,4579,1154
වක,3058,1166
ඉන,3553,1143
බල,3583,1126
ඉත,3043,1126
ගන,3383,1117
දවස,2744,1117
ඳ,3576,1086
ලම,4945,1051
උද,2345,1071
නක,2296,1070
ආව,2296,1059
යට,2482,1050
ටම,2488,1039
එකත,2824,984
තවත,1994,982
උදව,3171,967
කල,2135,974
ඇස,2331,953
ටත,1939,949
ඇය,4203,910
තමය,1932,918
ඒත,2210,912
මල,7198,840
යම,2189,876
අත,1922,876
ආය,2219,854
අල,2465,849
එළ,2397,840
ඔහ,8072,784
ඊට,1829,832
කම,1849,822
ගම,3270,808
කරම,1757,817
පන,1664,816
තය,2201,809
අද,1980,801
ළමය,3600,783
ඇව,1580,801
බලන,1540,801
කද,1405,797
එහ,1692,791
කරල,1519,790
මග,1597,782
වලට,1748,777
ආදරය,1967,770
ගස,2175,768
නවද,1371,766
තමන,1800,759
චර,1456,754
නත,1562,749
කව,1590,733
කර,1702,728
කන,2116,724
යනව,1361,727
ෂ,4245,699
වර,1710,715
රය,1721,714
රත,1859,709
තන,1383,709
ලට,1697,706
දන,1393,705
කරනව,1295,703
මය,1241,698
ඉක,1162,696
ශ,2039,685
පර,1871,686
අය,1878,680
අතර,1359,683
ඉග,1544,676
ධ,1410,675
නය,1807,658
දක,1112,663
ගමන,1647,653
සනය,1157,656
තර,2535,638
පත,1533,638
එන,1063,639
ඈත,826,639
එකට,1244,632
සම,1388,629
එද,837,633
බය,1586,606
ලය,1946,602
තරම,990,606
ආදර,1149,602
ටක,998,601
ඉර,1198,599
මක,1014,594
ළඟට,1061,590
ගමක,667,590
තව,932,586
ලක,1219,579
යනක,989,579
තක,1291,568
ගල,1361,562
ඊළඟ,736,563
එප,833,551
හම,959,538
රන,2721,515
සල,2205,508
එතක,819,517
උත,1136,512
කවද,711,502
කය,1143,494
ඒව,971,494
තට,894,490
ඉස,1166,485
ආස,715,482
අහස,1504,474
අරග,890,476
තටම,692,472
බව,716,470
ලන,1276,463
ලග,997,465
ඳට,781,466
මටත,753,460
වය,820,452
ඉවර,653,444
රක,957,441
ඳය,662,442
එකක,710,439
කඳ,702,438
මතක,599,437
අරන,841,434
ළඟ,723,434
ගය,832,431
ගහක,661,431
ඇඳ,923,425
ආසය,628,426
දඟක,485,427
බලම,664,417
නයක,653,417
රට,1268,411
නග,690,400
ඹ,1791,388
රස,771,396
වම,574,397
ඳම,560,386
සමහර,768,381
මනට,547,376
උඩ,609,368
නට,642,364
නස,511,364
හද,506,363
රණය,486,361
ටප,482,361
බහ,463,361
ගහ,1421,345
ටය,729,349
කමක,481,351
සනට,478,350
හදන,884,346
මන,767,344
මහන,513,345
කරග,437,345
