word,count,doc_count
a,135569,2485
sa,133771,2485
na,48226,2481
v,40802,2483
že,31523,2475
s,30593,2442
si,30519,2431
ako,25535,2469
to,28148,2415
ale,21282,2430
je,22934,2397
keď,17325,2425
do,16460,2422
bol,16581,2383
z,14395,2372
o,16187,2314
čo,13574,2301
po,11490,2283
ktoré,10115,2290
tak,9970,2290
bola,10588,2237
k,9720,2250
ich,12518,2176
aj,11744,2188
ktorý,8899,2234
boli,8974,2162
ho,10607,2052
už,9028,2042
bolo,7052,2076
len,7651,2047
kde,7410,2051
jedného,3810,2094
aby,7206,2019
jeho,10627,1945
za,6311,2021
jej,12784,1876
ktorá,5600,1983
so,5365,1906
vždy,5682,1897
od,4873,1904
dňa,4040,1902
povedal,7526,1809
potom,5684,1839
som,8409,1738
veľmi,7812,1746
deň,5391,1780
mu,7203,1714
každý,4469,1761
ju,6532,1700
malý,4446,1722
povedala,6377,1684
pre,5001,1699
nie,5404,1691
mal,4542,1696
všetko,4459,1682
niečo,4272,1677
ešte,4307,1653
by,4902,1630
pri,4385,1613
slnko,4178,1608
nikdy,3499,1605
im,5046,1536
sú,4159,1550
tam,4117,1542
všetky,3482,1546
raz,3124,1541
svoje,3302,1508
tom,3370,1506
zrazu,3849,1476
byť,3455,1473
cez,3582,1469
okolo,3054,1466
oči,3034,1446
až,2576,1420
pred,2900,1406
zo,2706,1397
malé,2946,1385
no,3927,1366
svoju,2718,1384
pod,3087,1375
mala,2895,1356
všetci,3885,1330
ti,3539,1334
cestu,3135,1324
spolu,2922,1323
lesa,4216,1295
jeden,2251,1330
začal,2902,1318
vo,2482,1298
bude,2670,1273
toho,2164,1273
seba,2413,1264
ja,3784,1236
malá,2385,1259
úsmevom,2313,1256
nich,2350,1250
začali,2685,1231
teraz,2616,1216
nakoniec,2161,1222
tu,2853,1209
domov,2636,1205
naozaj,2450,1196
má,2327,1196
radosti,2342,1182
nej,2427,1179
nové,2596,1169
plný,1997,1178
lese,3351,1143
všetkých,2083,1162
srdce,2505,1147
menom,1559,1156
mali,2207,1139
nájsť,2172,1139
svoj,2050,1133
ak,2486,1115
viac,2130,1112
krásne,1993,1112
ten,2258,1105
svojej,1924,1110
trochu,2289,1100
späť,2069,1095
mi,2286,1087
svojich,1832,1092
plné,1669,1091
svet,2717,1070
les,3206,1058
celý,1790,1082
malej,1475,1070
začala,2041,1055
srdci,1768,1049
nad,2089,1037
svete,1874,1036
príbeh,2305,1028
očami,1503,1040
pomaly,1843,1032
radosť,2278,1024
neho,1831,1018
stalo,1674,1015
svojho,1581,1016
sme,2863,992
usmial,1864,997
však,1535,996
stromy,1763,990
vedel,1947,986
ktorí,1640,990
starý,2131,979
tie,1687,984
medzi,1567,982
pretože,1541,970
možno,2373,954
deti,5041,901
opatrne,1636,963
miesto,1738,950
cesta,2096,942
nimi,1614,950
stále,1618,948
usmiala,1834,938
pomôcť,1859,935
tým,1552,936
môže,1643,930
spýtal,2069,922
opäť,1594,925
cítil,2198,911
áno,1770,918
kto,1821,916
ním,1593,919
dobre,1752,916
malú,1402,917
sebe,1458,915
ani,1479,904
radosťou,1359,899
spýtala,1809,889
veci,1442,894
chvíli,1422,894
práve,1390,894
prečo,1686,888
ktorú,1323,889
aké,1348,885
chvíľu,1424,883
alebo,1522,880
videl,1587,877
predtým,1259,879
dobrodružstvo,1941,866
ďalej,1474,872
čas,1518,871
chcel,1613,868
plná,1246,873
hneď,1348,869
dobrodružstvá,1579,858
spoločne,1641,851
stromov,1267,855
jemne,1580,849
odpovedal,1575,846
nebol,1293,845
najprv,1256,839
akoby,1936,824
žili,1171,835
veľa,1421,827
ty,1783,819
žil,1121,830
ťa,1533,822
ísť,1472,822
život,1375,822
ceste,1449,818
dôležité,1397,818
nič,1366,817
pomoc,1572,812
prišiel,1408,815
kvety,2092,802
ňom,1299,815
stal,1478,811
ráno,1321,813
hrali,1308,803
vďaka,1278,795
začalo,1140,797
iba,1350,793
svojimi,1152,795
krásny,1216,790
dokonca,1227,787
rád,1446,777
príbehy,1741,771
veľké,1213,776
kvetov,1346,768
očiach,1145,769
rozhodol,1477,761
pozrel,1300,758
lebo,1561,753
robiť,1208,759
toto,1236,758
nebola,1096,758
ste,1727,744
rýchlo,1226,752
hlasom,1028,753
odpovedala,1312,747
mohol,1191,744
priateľov,1342,737
zvláštne,1070,740
navždy,1187,736
