word,count,doc_count
je,198658,2205
in,97194,2205
se,70578,2205
so,49690,2203
v,42376,2205
da,34844,2205
ki,27766,2201
na,26942,2198
z,19895,2186
ko,14334,2173
bil,13830,2112
po,11756,2132
bila,13049,2113
s,12535,2053
za,10734,2056
kot,8657,2035
bi,9323,1995
od,6863,2012
ni,8977,1967
vedno,7424,1964
pa,10374,1928
to,8052,1949
o,9853,1916
vse,7331,1941
še,6882,1926
ga,9081,1897
jo,9869,1878
do,6642,1911
tako,5628,1922
si,8312,1862
lahko,6401,1871
ne,9278,1836
bilo,6231,1868
iz,6009,1844
kako,6662,1803
jih,6415,1801
bo,6146,1792
kjer,4717,1791
dan,5606,1762
kaj,6297,1745
tudi,4584,1712
nekaj,4466,1667
sta,14822,1502
svojo,4366,1615
svoje,4341,1615
ampak,5164,1604
skupaj,5927,1571
tem,3901,1538
vsak,3669,1539
a,4069,1525
med,3590,1528
zelo,6624,1480
veliko,3447,1480
bili,3787,1426
rekla,4356,1391
samo,3346,1389
kar,2719,1371
sem,4370,1341
pri,3507,1343
rekel,4099,1336
naprej,2523,1352
sonce,2825,1335
imela,3036,1332
mu,4284,1304
nekoč,1901,1330
vsi,3673,1302
ti,3459,1272
imel,2900,1258
skozi,2362,1258
nekega,1941,1259
pred,2409,1253
oči,2291,1253
dne,2111,1250
pot,3404,1209
nato,2642,1215
bile,2437,1212
ob,2236,1188
ji,3685,1170
živela,2097,1187
vseh,2079,1184
začela,2473,1176
bolj,2199,1160
že,2311,1156
več,2170,1146
gozdu,3763,1122
le,2027,1141
zgodbe,2683,1109
ali,1999,1115
imenu,1467,1116
ta,1922,1093
proti,2083,1090
te,2062,1086
okoli,1873,1082
začel,2392,1074
gozd,3546,1061
tam,1791,1076
pod,2005,1070
če,1935,1070
svoj,1927,1044
nikoli,1884,1042
vendar,2056,1037
potem,2097,1036
k,1852,1038
počasi,1933,1036
jim,2554,1024
svet,2511,1022
svojih,1638,1017
poti,2088,996
saj,1967,997
prišla,1760,995
zdaj,2003,992
ker,2100,986
res,2057,981
malo,1926,974
seveda,1898,970
nove,2081,965
živali,2958,955
prišel,1716,957
svetu,1813,952
čudovito,1595,952
vsako,1686,944
vprašala,1819,941
mi,2003,927
nad,1597,926
živel,1376,928
drevesa,1813,923
vsem,1547,923
nazaj,1608,910
vedela,1965,905
očmi,1284,910
nežno,1550,901
čas,1703,896
stvari,1550,889
hitro,1608,888
spet,1572,886
gozda,2141,876
medtem,1373,884
jaz,1963,877
najprej,1385,881
vprašal,1703,872
majhen,1286,873
svoji,1349,872
postala,1573,869
poln,1342,871
velik,1434,862
življenje,1614,857
srce,1622,855
videla,1684,851
takrat,1093,853
svojim,1300,847
dobro,1637,842
danes,1436,835
vedel,1851,823
prijatelji,1982,821
zgodba,1832,819
zato,1421,823
čez,1400,822
toda,1588,818
jutro,1336,815
novo,1436,809
odgovoril,1578,805
rad,1511,787
najbolj,1264,789
odgovorila,1525,784
bodo,1609,783
takoj,1275,785
polno,1138,786
naj,1248,784
njena,1609,779
bom,1478,780
svojimi,1199,779
njegova,1440,771
daleč,963,776
skrivnosti,1649,767
ima,1128,771
svojega,1144,769
biti,1289,767
veselo,1329,766
morda,1312,766
videl,1362,755
srcu,1192,756
mali,1705,750
polna,1077,754
tega,1102,752
majhna,1049,749
srečno,1023,749
zgodilo,1137,742
njegovo,1256,737
mora,1103,734
prav,1073,728
otroci,3074,700
končno,1044,716
koncu,1024,710
njen,1257,703
domov,1104,703
pomembno,1117,696
dolgo,997,693
kmalu,1027,692
nebo,1207,689
našla,1264,687
vem,1193,684
začeli,1316,680
drugi,1018,681
eno,974,681
ljubezni,1228,678
imeli,1075,676
nasmehnila,960,677
njegov,1171,672
pomoč,1256,669
čudovite,1087,667
zgodbo,1192,661
njim,938,663
njegove,1102,660
odpravila,1066,660
moč,1326,656
pomagala,1293,654
čeprav,918,651
bomo,1354,645
niso,960,649
dni,878,648
del,1062,645
celo,943,646
barve,1258,642
zakaj,1072,642
sončni,994,641
majhni,785,643
njih,886,639
sebe,878,639
svojem,854,637
ljubezen,1236,631
njimi,889,634
njene,1103,630
velike,894,631
njeno,1103,623
povedala,982,624
ves,931,624
kdo,900,624
majhno,847,624
odločila,1085,619
pomagal,1168,618
našel,1171,616
ponovno,1067,611
videti,807,599
prijatelje,1011,596
hvala,917,597
naslednji,818,598
čarobni,1576,589
glas,1016,595
povedal,1039,594
veselje,1014,593
čarobno,1205,589
čudovit,825,591
igrali,908,589
pogledal,899,589
pogledala,848,587
najti,809,587
njej,771,587
ptice,969,582
kje,885,582
globoko,788,579
glasom,728,576
konec,681,575
vas,1101,563
veter,1204,561
veseljem,784,564
smo,1057,560
druge,824,562
dreves,787,561
življenju,778,560
opazovala,941,557
ljudje,1438,551
trenutku,807,556
časa,772,554
en,770,554
sebi,735,554
jutra,606,555
posebno,736,552
deklica,1069,546
prijazno,759,547
pomagati,909,544
tukaj,818,545
zagledala,891,543
začelo,688,545
moramo,1031,540
živeli,755,542
vasi,1630,530
prijatelja,904,538
previdno,730,539
prvi,706,539
srečo,850,537
postal,869,535
prišli,861,535
njeni,859,533
veselja,800,533
velikim,698,533
ljudi,995,526
radoveden,720,529
včasih,816,526
lepo,746,525
žarki,709,525
novih,767,524
majhne,670,523
seboj,660,519
nasmehnil,716,518
vrnila,709,518
tisti,678,518
slišala,736,517
srečala,988,514
boš,871,515
njegovi,776,516
prijateljstvo,931,514
nas,747,515
rada,743,514
nič,746,513
njem,683,513
nasmehom,680,513
čudovita,679,513
življenja,768,512
vesela,808,511
tistega,602,511
odločil,804,508
starega,703,508
radi,786,507
sveta,793,506
prej,671,506
