word,count,doc_count
le,3812,24
o,2061,24
i,1678,24
e,1634,24
ma,935,23
na,805,23
ai,596,24
ia,532,23
mai,342,23
se,428,22
a,419,21
ua,406,19
mea,292,19
atu,288,19
te,268,19
aso,95,20
ona,238,18
lona,188,18
fiafia,184,18
tele,154,18
alu,131,17
ou,280,16
ae,106,17
aiga,175,16
lava,103,16
tala,116,15
tasi,108,15
mo,78,15
fale,150,14
maua,131,14
iloa,127,14
ni,240,13
amata,76,14
sa,552,11
taimi,73,14
tagata,127,13
uma,118,13
totonu,37,13
vai,91,12
luga,89,12
lea,88,12
tatou,85,12
mafai,83,12
tama,75,12
uiga,74,12
isi,72,12
la,137,11
latou,267,10
vao,64,11
motu,45,11
lenei,44,11
igoa,16,11
alofa,136,10
toe,98,10
avea,47,10
oe,33,10
pei,25,10
sina,182,9
pea,22,10
manu,73,9
lelei,52,9
loto,45,9
foi,31,9
nei,30,9
tatau,29,9
fia,29,9
samoa,26,9
tupu,15,9
nu'u,163,8
tamaitiiti,109,8
lua,106,8
fai,73,8
faia,51,8
ola,38,8
tamaiti,37,8
pe,36,8
sili,35,8
manatua,34,8
lena,32,8
lou,23,8
ala,20,8
lagi,20,8
malosi,20,8
lo,17,8
iai,17,8
fa'apea,151,7
maualuga,62,7
teine,36,7
fa'alavelave,31,7
taua,29,7
laiti,26,7
fesili,25,7
sami,25,7
olaga,21,7
leai,21,7
matua,18,7
lalo,14,7
afai,14,7
fefe,12,7
aua,11,7
sau,10,7
nofo,8,7
fo'i,92,6
lalolagi,81,6
nuʻu,71,6
uo,52,6
lanu,50,6
atoa,49,6
lo'o,49,6
tamā,41,6
toa,30,6
fou,28,6
mata,26,6
tali,25,6
laitiiti,25,6
fesoasoani,25,6
matagofie,23,6
ina,20,6
tulaga,17,6
faalogo,14,6
ui,13,6
manuia,13,6
ioe,13,6
au,12,6
nofoaga,10,6
lana,9,6
nonofo,7,6
lani,75,5
a'o,65,5
a'oga,51,5
ana,49,5
i'a,48,5
faiga,48,5
malaga,48,5
vaai,45,5
lagona,33,5
tusi,29,5
outou,28,5
leo,28,5
laau,22,5
loa,21,5
atua,16,5
po,15,5
tau,14,5
eseese,13,5
luma,13,5
tausaga,13,5
tausia,12,5
manao,11,5
ata,11,5
fa'afetai,10,5
inu,9,5
afiafi,8,5
mulimuli,7,5
mafaufau,5,5
taeao,5,5
uso,104,4
puipuia,55,4
laʻau,37,4
savali,29,4
fa'apitoa,22,4
niu,20,4
mana'o,19,4
mama,18,4
felelei,17,4
va'a,16,4
tatala,14,4
mauga,13,4
tutupu,13,4
papa,12,4
tinā,12,4
faigata,12,4
manatu,11,4
agaga,11,4
tama'ita'i,11,4
moana,10,4
meaai,10,4
iʻa,9,4
mātua,9,4
galuega,9,4
nai,8,4
auala,7,4
mumu,7,4
tausi,6,4
sosoo,6,4
tagi,6,4
vaega,6,4
tilotilo,6,4
lanumoana,6,4
talanoa,6,4
solo,5,4
pupula,5,4
vaaia,5,4
ane,5,4
uliuli,4,4
galu,4,4
tapu,117,3
vaiaso,93,3
mele,71,3
tina,57,3
vaitafe,40,3
vavau,39,3
ava,39,3
sa'o,35,3
faʻaalia,30,3
ʻo,28,3
a'u,28,3
fa'amalosi,28,3
faigofie,22,3
pule,21,3
oo,20,3
matafaga,20,3
faʻapea,19,3
galulue,14,3
matou,13,3
fa'aaogāina,13,3
talofa,12,3
tetele,11,3
matuā,11,3
fa'atasi,11,3
gata,10,3
mau,9,3
fanau,9,3
ese,9,3
aoga,9,3
tolu,8,3
fatu,8,3
afi,8,3
faafiafia,8,3
aʻoaʻoina,8,3
auā,8,3
sui,8,3
pese,8,3
ifo,8,3
malo,7,3
loo,7,3
loʻo,7,3
fea,7,3
ataata,7,3
siomia,7,3
faalogoina,7,3
taalo,7,3
faaauau,7,3
tu,6,3
meaalofa,6,3
muamua,6,3
tua,6,3
faafetai,6,3
taumafai,6,3
mavae,5,3
ē,5,3
so'o,5,3
mamao,5,3
faʻaauau,5,3
lanumeamata,5,3
fafo,5,3
feiloai,5,3
avatu,5,3
tiga,4,3
ao,4,3
faatasi,4,3
fuga,4,3
o'o,4,3
mauaina,4,3
leva,4,3
eleele,4,3
aemaise,4,3
lima,3,3
tino,3,3
toatele,3,3
ato,3,3
fausia,3,3
foliga,3,3
latalata,3,3
tamaʻi,3,3
taofi,3,3
moni,3,3
masani,3,3
saogalemu,3,3
tulafono,3,3
ulu,3,3
tapena,3,3
vasega,62,2
povi,61,2
fa'amatala,56,2
faʻafiafia,52,2
fetu,46,2
iloaina,40,2
lā,33,2
afio,31,2
la'au,26,2
fa'amalie,24,2
afa,22,2
sesega,22,2
faʻaaogaina,22,2
na'o,22,2
ta'ita'i,21,2
lautele,18,2
tamaititi,17,2
faʻaalo,16,2
fa'amalamalama,16,2
fa'afiafiaga,15,2
ʻou,15,2
mafutaga,14,2
fa'aaloalo,14,2
moli,13,2
pili,13,2
fagu,13,2
fa'ailo,12,2
fa'apefea,12,2
fa'amanuiaina,12,2
fa'alogo,11,2
te'a,11,2
a'e,10,2
aʻu,10,2
aisea,10,2
fa'atalanoa,10,2
tamaitai,9,2
fa'amoemoe,9,2
leʻi,8,2
osofa'i,8,2
faʻalogo,8,2
vasa,8,2
susulu,8,2
fa'ata'ita'iga,8,2
po'o,8,2
maliu,7,2
faʻaali,7,2
foʻi,7,2
leaga,7,2
naunau,7,2
mana'omia,7,2
tao,7,2
taofia,7,2
fa'aalia,7,2
fagota,7,2
faʻapelepele,6,2
upu,6,2
aoao,6,2
agalelei,6,2
fugalaau,6,2
faanoanoa,6,2
vave,6,2
faamoemoe,6,2
maise,6,2
alolofa,5,2
loʻu,5,2
malamalama,5,2
falealili,5,2
manino,5,2
faapea,5,2
fanua,5,2
faapotopoto,5,2
aoaoina,5,2
natura,5,2
lototele,5,2
sāmoa,4,2
toʻa,4,2
malolo,4,2
potu,4,2
va'ai,4,2
oʻo,4,2
i’a,4,2
lamatia,4,2
sauni,4,2
malulu,4,2
fua,4,2
matutua,4,2
ave,4,2
aofia,4,2
samasama,4,2
palapala,4,2
lalelei,3,2
lei,3,2
ile,3,2
paka,3,2
ʻua,3,2
aʻoga,3,2
uō,3,2
lele,3,2
neʻi,3,2
faapitoa,3,2
manufeai,3,2
tumu,3,2
faaaoga,3,2
suia,3,2
ea,3,2
lesona,3,2
lauiloa,3,2
ta’u,3,2
lapoa,3,2
talosaga,3,2
tumau,3,2
taʻua,3,2
faamatala,3,2
timuga,3,2
auina,3,2
popole,3,2
goto,3,2
maliliu,3,2
faʻamatala,3,2
taunu'u,3,2
fa'avavau,3,2
pele,3,2
feso'ota'i,3,2
feai,2,2
lafi,2,2
la'i,2,2
momo,2,2
ʻi,2,2
ono,2,2
ipu,2,2
va,2,2
to'a,2,2
manaʻo,2,2
faapefea,2,2
fa'ata'ita'i,2,2
suʻe,2,2
masina,2,2
tamai,2,2
afioga,2,2
aʻe,2,2
moe,2,2
filemu,2,2
matamata,2,2
paepae,2,2
malie,2,2
a'au,2,2
amataga,2,2
taunuu,2,2
faaleaganuu,2,2
tuli,2,2
faatau,2,2
tuu,2,2
filifili,2,2
saunia,2,2
itula,2,2
liliu,2,2
paolo,2,2
fiu,2,2
manaʻomia,2,2
meaola,2,2
talitonu,2,2
manogi,2,2
onosaʻi,2,2
talitonuga,2,2
fusi,2,2
faaiuga,2,2
atunu'u,2,2
feau,2,2
onomea,2,2
mamanu,2,2
una,2,2
fa'aaoga,2,2
