word,count,doc_count
oo,36189,999
u,27953,997
ku,23495,1003
waxay,23995,983
iyo,17551,1000
ay,18694,966
ah,13455,992
ka,13826,981
aad,13497,948
badan,9803,977
soo,8335,946
in,9298,916
wuxuu,11267,858
la,7221,964
si,7530,932
ugu,7336,934
uu,8566,894
mid,5680,940
ee,5071,943
leh,5522,923
kale,4886,908
inay,5435,870
waxa,6499,837
wax,5079,872
yar,3722,901
isku,4677,862
waxaa,3824,868
aan,4249,851
waa,4627,827
ayaa,5017,810
maalin,2334,841
weyn,3257,801
waxaan,4471,761
sida,2752,799
ahaa,2971,792
tahay,2641,789
jiray,2736,784
laakiin,2559,767
markii,2493,755
sii,2206,752
wanaagsan,2501,737
inuu,3480,706
yihiin,1937,738
qurux,2279,720
farxad,2133,713
ayuu,3821,664
wada,2584,697
way,3301,676
ahayd,1950,707
kala,2102,690
loo,2043,690
dadka,2781,667
yahay,1773,690
ma,2092,678
walba,2554,659
maalmaha,1175,697
lagu,1585,672
uga,1442,655
fiican,1552,630
kasta,1253,623
ayay,2389,582
iyagoo,1838,596
duwan,1646,601
meel,1490,605
dhan,1407,601
isaga,2408,572
mar,1475,575
isagoo,1857,563
inaan,1909,557
waxayna,2031,553
faraxsan,1312,560
waan,1623,549
iyadoo,1534,550
ahaayeen,1619,533
wuu,1573,534
saabsan,1316,540
laga,1094,532
isla,1144,528
dib,1068,518
dheer,967,517
qof,1340,502
marka,942,500
sidoo,1066,495
lahaa,910,498
cusub,1205,479
gabar,989,468
wiil,902,462
arkay,1145,451
dhulka,1284,444
iska,838,455
adag,882,450
tiri,1551,429
jira,851,448
iyaga,930,445
yiri,1909,415
dhammaan,841,438
dad,859,432
dhex,748,426
kuwa,839,422
xiiso,937,414
is,872,414
dhoola,956,411
jireen,956,410
inta,717,414
sheegay,855,410
waxaad,887,405
haddii,731,408
inaad,1015,400
karo,717,406
sidii,771,404
gaar,624,408
jirtay,877,400
waxyaabo,791,397
yidhi,1640,372
iyada,1138,382
sheeko,978,385
hore,678,392
jecel,706,391
baahan,719,389
dhacay,711,389
kuwo,692,388
noqdeen,615,388
dhamaan,791,381
hadda,664,382
magaalada,1421,361
noqday,1084,370
nolosha,890,375
quruxda,852,371
nool,703,375
muhiim,695,371
noolaa,565,373
waxaana,737,365
hal,573,366
loogu,571,362
ahayn,595,358
arkeen,721,349
noqotay,647,350
ahaan,579,351
bilaabeen,628,349
jeclaa,584,347
haa,763,342
maxaa,574,345
maanta,600,341
doonaa,696,336
faadumo,3315,263
socda,475,341
wuxuuna,1091,319
bilaabay,551,331
markiiba,527,330
aragtay,694,324
markay,613,326
sheekooyin,838,319
maalintii,531,321
qaar,512,320
ayey,818,311
sheekada,698,309
guriga,641,310
lahaayeen,465,310
halkaas,445,309
helay,544,306
aysan,502,306
jeer,565,304
nin,560,304
ogaadeen,585,302
waxyaabaha,481,304
geed,483,303
waqti,446,303
waaweyn,515,300
had,580,297
karaan,492,298
xitaa,482,297
carruurta,783,288
awood,554,294
yaryar,577,293
sameeyo,492,292
qaaday,413,294
indhaha,405,291
cod,404,291
maxay,480,288
biyaha,759,280
bartay,557,285
isu,442,287
biyo,640,281
ula,457,284
kaliya,394,285
waday,388,279
lahayd,442,276
socday,390,277
xoog,439,273
ilaa,391,273
ama,400,271
jawaabay,504,268
kadib,370,269
yimid,494,264
macaan,568,259
caruurta,798,251
dhow,390,262
odhan,401,261
tidhi,570,256
sheegtay,435,259
madow,402,256
noqon,359,257
waad,394,255
sheekooyinka,594,249
dadku,447,253
bay,471,252
isugu,361,254
taasi,409,252
ciyaaro,440,251
sameeyay,368,251
tuulada,998,233
taas,346,248
qosol,547,242
halka,330,248
caawin,430,245
heli,378,246
kulmeen,480,243
jiraan,340,246
tuulo,291,245
yaab,401,239
geedka,908,224
kor,361,239
ogaaday,414,237
soomaaliya,585,231
uusan,360,237
qurxoon,467,234
qorraxdu,383,236
qayb,372,235
nolol,359,233
caan,358,233
sameeyeen,378,232
cagaaran,405,231
karin,321,232
guri,462,228
caqli,308,230
dadkii,405,224
indho,286,227
cunto,466,222
karaa,316,225
lahayn,324,224
qaatay,305,224
sare,442,220
doonaan,343,222
dhacday,286,223
helaan,304,222
dambeyntii,322,221
kartaa,341,220
laba,296,221
meesha,327,220
geedaha,411,217
dhab,301,220
karto,291,220
gabadh,371,217
dareemay,387,216
caruur,378,216
baxay,286,217
cali,2012,169
hooyo,751,203
heleen,292,215
cabdi,1830,172
wixii,340,213
magaalo,301,213
dhinaca,294,213
gacan,401,209
adduunka,396,209
sameeyaan,309,211
barto,345,210
qalbiga,437,207
doono,344,209
maxamed,1590,174
noolaayeen,309,209
dhigay,272,210
farxadda,344,205
taal,233,208
dareen,326,205
xoolaha,898,189
gacanta,305,204
socdeen,284,204
tusaale,283,204
runtii,311,203
arki,270,203
sidaas,258,203
ogaatay,389,199
dhalaalaya,308,200
maxaad,265,201
dareemeen,325,199
qabtay,243,201
leeyahay,456,195
xeebta,606,190
geedo,301,197
caawiyaan,319,196
leedahay,292,196
helo,325,195
karnaa,388,193
dhibaato,273,196
baahanahay,298,195
rabaa,302,194
noqdaan,249,195
caadi,265,194
cajiib,364,191
sidee,284,193
caawiyo,312,191
leeyihiin,320,190
madaxa,278,191
fudud,253,190
dambe,233,190
qiimaha,286,187
cirka,459,182
naxariis,309,186
hor,229,188
carruur,333,184
barteen,279,184
buu,350,182
muddo,224,184
aqoon,292,182
midka,279,182
bilowday,281,181
intii,240,182
qaateen,233,182
ha,269,181
arko,262,180
qorraxda,350,177
noqdo,259,179
xun,281,178
faraxsanaayeen,273,177
joogto,228,178
waliba,277,176
dhaqanka,445,171
ciyaarta,454,170
