word,count,doc_count
të,67496,933
e,48603,933
dhe,32977,933
një,27867,933
i,21764,933
në,17716,933
me,15747,932
për,11884,932
u,10902,930
që,9802,925
ishte,9351,927
duke,8920,916
nga,6662,917
se,6373,902
por,4325,902
më,5010,884
vogël,4178,891
si,4629,869
shumë,4784,849
nuk,3696,863
ditë,2331,869
kishte,3700,845
ata,6220,807
ajo,6531,784
së,3050,809
ai,6593,760
mund,2710,785
tij,4692,748
tyre,3639,759
gjithë,2493,770
ishin,2934,762
tha,3784,744
do,3036,741
ku,2037,738
kur,2109,728
çdo,2309,712
madhe,1798,719
po,2575,692
saj,3973,666
filloi,1818,659
është,2460,640
ta,1756,643
pa,1628,621
gjatë,1364,618
bukur,1501,616
pas,1307,618
nëpër,1492,607
parë,1647,602
madh,1237,602
mirë,1569,571
edhe,1218,572
kjo,1335,570
lumtur,1815,556
gjithmonë,1320,561
re,1242,551
sy,885,554
zë,1025,548
vend,1159,545
vetëm,1079,546
kështu,853,547
ndërsa,1026,541
këtë,1007,529
unë,2012,506
kishin,1217,516
çfarë,1120,517
fshat,1120,516
gjitha,1033,510
atë,1024,510
veçantë,939,484
sytë,919,483
jetonte,686,485
pyeti,1109,478
bë,974,474
mbushur,836,472
dielli,851,470
filluan,1129,464
mbi,859,462
duhet,1015,435
gjithçka,802,436
çuditshme,1016,428
vjetër,1292,423
quajtur,680,429
zemër,734,426
diçka,771,420
pranë,803,418
butë,701,416
gjë,693,416
brenda,762,414
histori,850,409
bërë,751,406
lule,1007,400
kujdes,693,397
sa,679,396
tjetër,633,396
flokë,538,396
mrekullueshme,741,392
bukura,697,391
vajzë,678,381
gjëra,840,377
vazhdoi,677,379
ato,808,376
disa,744,376
kohë,565,376
reja,824,370
fshatit,1043,366
kthye,546,372
shtëpi,674,370
jam,807,364
jetë,565,367
dukej,736,364
botën,850,361
ka,672,363
cili,678,360
tregoi,675,357
mos,593,354
fortë,587,354
fund,490,355
rreth,588,353
cila,633,350
donte,849,345
pjesë,612,348
errët,651,347
drejt,574,347
përgjigj,763,344
pemë,616,345
ndryshme,577,345
larta,473,346
kuptoi,622,342
thellë,501,342
ne,1070,333
vërtetë,573,337
dëgjuar,544,337
jo,582,336
treguar,495,334
fëmijët,1366,320
plot,634,328
djalë,670,327
fshatin,616,326
ri,597,326
dashur,512,327
ngjyra,634,324
prej,492,324
mësuar,666,321
njerëzit,807,318
gëzim,607,320
ti,883,316
mori,498,320
vendosi,534,319
dritë,652,316
dashuri,542,312
sikur,610,310
zemrën,520,311
tani,557,310
bashku,553,310
janë,554,308
bardhë,667,305
gjetur,566,305
vogla,540,305
jetën,541,303
kurrë,456,301
dy,543,298
dëgjoi,421,297
kam,610,293
këtu,475,291
dinte,528,290
fshehur,624,287
botë,586,287
bënë,424,288
diellit,507,286
rrugën,494,281
gjallë,451,281
mëdhenj,369,281
ky,439,280
qiell,466,279
sepse,482,278
arritën,446,276
qetë,385,274
njohur,414,273
ndjeu,474,272
gjeti,457,272
afrua,381,273
lehtë,398,271
pyll,657,267
tjera,402,270
lartë,390,268
aty,413,265
je,466,261
gëzuar,575,259
bënte,426,261
jetonin,371,261
mëdha,366,260
te,395,256
drita,706,251
aq,408,255
tjerë,438,254
fëmijë,426,250
tjerët,425,250
ngrohtë,351,251
magjike,751,245
kaluan,371,250
herë,351,250
kuqe,407,248
gjërat,394,247
mes,341,247
pastër,394,246
na,514,244
ndihmuar,440,242
këto,366,243
ujë,409,242
pak,406,242
dha,330,243
fshati,411,239
tregonte,388,238
iu,430,237
a,368,237
emrin,301,236
moment,315,235
kësaj,324,234
ju,557,230
pastaj,326,233
mrekullueshëm,325,233
nën,368,230
kthyen,293,229
buzëqeshje,320,228
pemët,354,227
atje,333,226
përsëri,321,226
qielli,343,225
mësoi,415,223
rëndësishme,319,224
zemra,336,223
ndritshme,319,223
arriti,360,222
historinë,402,220
gjelbër,328,221
natyrën,430,219
dritën,370,219
shkëlqenin,300,219
bashkë,378,217
duhej,349,217
nëse,315,217
shkëlqente,316,216
mbuluar,311,216
era,1009,205
fluturonte,425,213
zog,370,213
aventura,343,211
pse,335,211
panë,429,209
këngë,414,208
qenë,306,209
vendosën,363,207
gjithashtu,286,207
dashuria,344,205
zëri,321,205
para,341,204
deri,263,205
tek,305,203
di,319,202
jetës,303,202
natyrës,435,200
shkonte,271,202
historia,312,200
ditët,242,200
buzëqeshi,291,196
qiellin,279,196
vegjël,363,194
aventurë,285,195
ul,258,195
mënyrë,252,195
kaluar,246,195
cilët,312,194
çuditshëm,295,194
vazhduan,334,193
gurë,253,192
kaltër,241,192
kalonte,236,192
shpellë,397,189
udhëtimin,368,189
jemi,338,189
bëri,257,190
marrë,254,190
pyllit,610,185
fëmijëve,420,187
urtë,419,186
nevojë,266,188
përmes,298,187
ngjyrë,290,187
pemëve,245,187
njëri-tjetrin,297,186
mëngjes,213,187
zogjtë,418,183
veten,269,185
njerëzve,312,183
shihte,303,183
rrugë,292,183
yjet,530,179
dashurinë,290,181
ke,293,180
gjata,212,180
ndihmonte,278,179
shpejt,253,179
botës,284,178
shtëpisë,270,177
miq,253,177
atëherë,238,177
miqtë,413,174
zemrat,253,176
vështirë,244,176
pasi,222,176
shpirt,269,173
malet,261,173
rrugës,238,173
vete,209,173
lart,329,171
mësonte,315,171
dashurisë,293,171
humbur,352,170
natë,338,170
fliste,251,171
shpesh,216,171
luanin,220,170
pyllin,359,168
vinte,214,170
artë,420,167
dinin,243,169
dhënë,216,169
gjetën,337,167
fjalët,310,167
mbante,220,168
njerëz,220,168
zbuluar,260,167
vetë,224,167
shikonte,237,166
vuri,223,166
vendosur,214,165
vjetra,280,164
bënin,207,165
zgjuar,237,164
shkoi,226,164
luante,201,164
kënaqur,319,162
gati,238,163
tokë,231,162
luajtur,212,162
vëmendje,206,162
ajër,239,161
uji,280,160
plotë,275,160
mbajtur,185,161
ëmbël,245,160
vendin,228,160
bardha,251,159
kafshët,447,156
dëshirë,244,157
quhej,242,157
udhëtimi,306,156
grua,206,157
ngrit,199,157
pyje,260,156
maleve,247,156
udhëtim,229,156
gëzimi,354,154
thanë,276,155
menjëherë,194,155
grup,236,154
zogu,564,149
gjethe,268,153
hapur,194,154
lulet,316,152
shtëpia,225,153
aventurat,268,152
kërkuar,202,152
shkëlqim,197,152
erdhi,189,152
fuqinë,242,151
sekrete,238,150
gur,278,149
pasur,189,150
male,182,150
qëndronte,176,150
ngjyrat,316,148
zërin,212,149
bukurinë,211,149
kaq,209,149
shtëpitë,202,149
eksploruar,197,149
historitë,259,148
guximshëm,256,148
orë,181,149
tonë,249,148
kemi,248,148
kafshë,212,148
qeshur,210,148
sjellë,183,148
dëgjuan,180,148
blu,229,146
magjik,283,145
ndihmën,193,146
përreth,186,146
afër,177,146
kuq,222,144
rëndësinë,209,144
frikësuar,197,144
ndërtuar,181,144
ari,290,142
fluturonin,199,143
ftohtë,222,142
përpara,176,142
zbuloi,208,141
druri,196,141
kanë,194,141
largët,178,141
dritës,460,137
cilat,189,140
shtëpinë,249,139
sekretet,245,139
hapi,170,140
dëgjonte,206,139
kaloi,173,139
luleve,254,137
lumë,180,138
erë,174,138
tëra,164,138
malit,302,136
thirri,198,137
ime,214,136
këndonin,186,136
ashtu,172,136
fuqishëm,203,135
ecte,203,135
menduar,200,135
kuptuan,189,135
krijuar,185,135
lumturi,181,135
ndonjëherë,180,135
krahët,236,134
gjelbra,163,135
gatshëm,229,134
ia,191,134
asgjë,174,134
atyre,173,134
shpjegoi,169,134
zeza,155,134
sigurt,199,133
treguan,175,133
çmuar,173,133
larg,155,133
gjethet,222,132
lumit,280,131
dua,227,131
rrethuar,147,132
thoshte,193,131
kuptonte,181,131
shikoi,180,131
kthyer,174,131
verdhë,155,131
errëta,194,130
faleminderit,172,129
kokën,170,129
ngushtë,155,129
freskët,152,129
banorët,287,127
fshehtë,282,127
natës,333,126
zhurmë,172,128
shpejtë,169,128
harmoni,184,127
apo,161,127
nisën,157,127
fuqishme,184,126
kërkonte,162,126
fort,161,126
simbol,153,126
ndjerë,151,126
gjera,158,125
ulur,154,125
asnjë,153,125
gjithnjë,152,125
doli,146,125
mendonte,185,124
frikë,172,124
krahë,169,124
pamje,162,124
koha,160,124
fjalë,207,123
krijesa,204,123
magji,199,123
pazakontë,177,123
përdorur,165,123
bëhej,174,122
nis,165,122
gjithëve,163,122
dorë,153,122
kush,150,122
zogjve,222,121
asaj,148,122
diell,141,122
ushqim,181,121
aventurën,179,121
shpresë,164,121
shikonin,162,121
shkonin,156,121
këtij,150,121
sekret,203,120
mira,271,119
shpirtin,174,120
pylli,241,119
kthehej,152,120
shkëlqyer,149,120
thjesht,145,120
ndjekur,144,120
dendura,133,120
shikuar,149,119
ardhur,149,119
kujtuar,146,119
mbrojtur,214,118
jetoi,138,119
trishtuar,166,118
ndarë,143,118
ose,140,118
kalonin,138,118
mësuan,179,117
gjalla,178,117
papritur,175,117
dhomë,173,117
qiellit,193,116
rrezet,151,116
misterioze,193,115
jeni,192,115
mendoi,186,115
dendur,137,115
le,208,114
bukuri,175,114
rëndësishëm,158,114
shqetësuar,139,114
guxim,136,114
ngadalë,133,114
këndonte,198,113
mundi,195,113
bëjmë,164,113
arin,1026,101
ndritshëm,148,113
guximin,142,113
gjerë,130,113
shpellës,240,111
tënde,166,112
habitur,140,112
ndjenjë,138,112
njëherë,113,112
takuan,170,111
orësh,167,111
mundur,162,111
qytet,210,110
yje,176,110
natën,159,110
ndihmoi,132,110
gëzimin,174,109
njeri,173,109
melodi,169,109
miqësia,168,109
fuqi,167,109
ty,157,109
dhuratë,152,109
takoi,150,109
siç,138,109
lodhur,126,109
bukuria,155,108
duket,147,108
tillë,145,108
emocionuar,207,107
sot,156,107
kuptuar,156,107
shihnin,143,107
kënaqësi,141,107
gjendej,139,107
mbushura,116,107
shkojmë,176,106
ndihmë,150,106
ëndrrat,199,105
fundit,126,106
dita,177,105
libër,167,105
bota,162,105
kohës,154,105
pemës,225,104
ndihej,149,105
ndihmoj,141,105
jeta,137,105
qendër,133,105
erës,234,103
rruga,161,104
sërish,148,104
gjejmë,147,104
shkruar,144,104
flisnin,139,104
lënë,123,104
shndritshëm,122,104
fluturoi,173,103
vazhdonte,124,103
mal,161,102
errësirë,141,102
krijesë,139,102
ecur,134,102
shfaq,124,102
sekretin,196,101
tokën,193,101
shpella,187,101
mençur,154,101
shpejtësi,145,101
rrugët,140,101
gjejë,138,101
mendjen,121,101
zogj,143,100
lumi,280,98
qytetit,382,96
guri,231,98
arta,364,96
ditur,143,99
qeshi,142,99
thënë,128,99
filluar,118,99
merrte,115,99
magjinë,201,97
dorën,122,98
lashtë,261,96
vajza,146,97
shkuan,140,97
ende,124,97
ndryshëm,119,97
im,186,96
entuziazëm,105,97
ndihmojë,163,96
jetuar,153,96
pranoi,123,96
shkojë,186,95
shpëtuar,150,95
rinj,145,95
fluturuar,140,95
ndaj,133,95
vendi,127,95
pyjet,165,94
buzëqeshur,136,94
miqësisë,133,94
dobët,128,94
thjeshtë,121,94
hap,110,94
prindërit,242,92
libra,125,93
perëndonte,99,93
ëndërr,154,92
ditën,135,92
mbrëmje,134,92
lumturisë,127,92
degë,111,92
shembull,109,92
legjendë,105,92
kafshëve,128,91
thotë,127,91
degët,127,91
fruta,124,91
ndodhte,117,91
thella,112,91
forcë,110,91
pritur,109,91
