word,count,doc_count
je,53891,861
i,35063,863
da,25297,858
su,19544,858
se,16757,858
u,14613,859
na,7588,856
sa,5755,850
od,4147,844
bio,5423,815
ali,4546,814
kao,3649,808
koji,3656,807
za,3085,791
a,3782,777
bila,3562,779
nije,3111,763
o,3803,750
dok,1814,745
što,2477,729
to,2348,730
sve,2206,709
koje,2202,704
po,1693,698
ga,2637,677
kako,2138,681
koja,1726,686
kada,1891,659
bilo,1691,661
do,1880,655
kroz,1671,655
iz,1520,648
jednog,1030,650
dana,1414,636
bi,2210,621
ne,1895,617
samo,1572,619
svoje,1356,617
šta,1480,608
će,1786,602
tako,1248,610
rekao,1914,573
bili,1685,566
ih,1571,567
uvek,1729,564
nešto,1234,571
gde,1434,552
sam,1759,537
mali,1256,527
mu,1639,504
on,2554,489
još,1013,509
svojim,909,490
rekla,1425,475
put,1042,472
ti,1265,466
ja,1401,462
imenu,669,470
svoju,846,467
jer,974,454
bile,983,444
već,763,444
oko,778,442
sunce,883,426
ona,1269,414
više,723,419
jutra,496,420
jednom,637,416
joj,1291,404
oči,713,411
očima,638,411
svi,913,406
је,13290,201
selu,872,398
mnogo,650,400
dan,752,396
oni,1463,384
im,933,389
malom,462,396
ovo,802,388
svaki,647,387
jedan,777,381
zajedno,798,379
šume,937,376
biti,664,380
šumu,989,374
mi,888,374
priča,693,375
tog,479,377
pored,651,373
si,797,369
svoj,626,366
sebe,582,366
svom,567,365
ponovo,706,361
te,581,363
počeo,714,360
li,683,360
imao,609,357
imala,574,355
sada,580,354
priče,677,343
šumi,974,337
prema,573,343
sunčanog,351,344
malo,691,338
živela,418,342
srcu,570,338
može,607,334
svet,736,331
stvari,656,329
znao,686,328
ljudi,901,318
kući,506,320
veliki,547,319
mesto,576,317
nisu,504,315
tajne,758,310
pažljivo,540,312
tu,463,313
mogu,519,312
njega,489,310
nakon,528,308
svetu,562,305
mala,535,305
njih,449,305
dobro,514,302
и,6750,201
video,704,294
koju,438,298
да,6256,204
počela,491,295
boje,518,293
preko,465,290
ima,488,287
kraju,388,288
voleo,548,285
svojoj,394,287
srce,538,283
ka,470,284
nego,413,284
živeo,327,283
ljubavi,479,277
nikada,488,276
veoma,1093,266
avanture,494,275
dalje,431,276
čuo,419,276
ako,448,275
pa,584,271
iza,433,273
tada,371,273
glas,489,270
nove,547,269
zatim,418,270
tamo,433,269
vreme,508,267
s,433,267
mora,485,266
znala,566,264
uz,402,266
су,4445,201
svog,368,265
odmah,428,264
onda,397,263
treba,406,262
ispod,419,260
one,466,256
odgovorio,466,256
svih,370,257
iako,341,257
starog,378,255
у,3660,202
čak,343,254
nekoliko,438,252
се,3586,201
šuma,604,247
malu,336,250
pre,319,250
avantura,430,248
deo,427,248
kad,405,247
svim,423,244
ptice,483,243
postala,366,244
pun,340,243
postao,416,239
njima,339,240
bude,368,238
velikim,326,237
ko,350,236
prvo,305,236
nebo,392,234
stigli,402,233
devojčica,400,233
njegova,424,232
polako,353,231
avanturu,398,230
sela,417,229
među,337,230
krenuli,359,228
odlučio,568,223
selo,462,224
velike,327,226
ljubav,464,223
на,1924,199
videla,484,222
dečak,371,222
brzo,302,223
njena,360,221
vidi,315,221
svakog,306,220
ili,295,220
са,1528,200
njegove,338,219
priču,382,218
zvezde,590,214
reke,395,217
znali,377,217
shvatio,391,216
osmehom,284,217
mogao,344,215
radost,364,214
trenutku,299,215
počeli,335,214
pomoći,322,214
gledajući,315,214
živeli,272,214
male,312,212
život,303,211
smo,431,206
tom,268,208
srećan,449,205
iznad,402,205
jedna,269,207
kuće,315,206
zauvek,300,206
videli,356,205
jedne,292,206
био,1090,193
од,995,194
pomoć,296,205
tajnu,402,203
nje,310,204
životinje,427,202
pred,276,204
prijatelji,396,202
била,1075,191
али,1133,189
odgovorila,317,202
bez,310,201
odjednom,292,201
srca,297,198
njoj,272,197
pomogne,325,195
svako,255,195
за,751,187
njegov,311,194
nastavio,311,194
radosti,292,194
toliko,361,192
unutra,294,193
nas,283,193
tome,251,193
njen,286,192
ću,284,192
а,950,181
njene,285,191
као,832,182
hvala,265,191
znam,290,190
volela,283,190
који,693,183
često,238,190
srećno,229,190
planine,348,188
svetlost,395,187
njihova,329,188
ispred,256,189
о,922,178
njemu,233,189
veliku,287,188
čula,301,187
putovanje,398,185
ptica,390,185
toga,242,187
velika,231,187
možda,333,185
drugi,248,186
није,737,178
drugima,290,185
srećni,352,184
nastavila,276,185
drveta,310,184
krenuo,288,184
života,247,184
sveta,341,182
velikog,266,183
vratili,235,183
čuda,399,180
glasom,215,181
deca,500,176
mogla,247,180
druge,251,179
то,630,172
које,491,174
moramo,337,176
spreman,253,177
nikad,276,176
zdravo,256,175
jednu,237,175
nežno,234,175
све,497,170
njihove,239,174
док,386,171
drveće,254,172
glavom,242,172
zvezda,546,167
sreće,285,171
zašto,250,171
једног,311,170
gledao,245,171
poput,238,171
која,456,167
sunca,256,170
било,486,166
што,477,166
upitao,269,169
tajna,326,168
nastavili,263,169
živi,233,169
posle,229,169
vremena,226,169
само,462,165
pitao,326,167
igrali,240,168
naučio,298,167
ovaj,227,168
upitala,278,167
shvatila,278,166
када,520,162
из,441,163
zemlji,320,164
svaka,250,165
zelenim,186,166
tajni,292,164
не,658,158
staru,220,165
puno,209,165
cveća,264,164
ovde,256,164
до,440,161
како,561,159
avanturama,247,164
blago,426,161
ju,230,164
zaista,226,164
nebu,283,163
дана,402,161
godine,214,164
tiho,211,164
vratio,222,163
bojama,216,163
otvorila,204,163
prijatelja,243,162
pitala,249,161
čarobni,512,156
moć,341,158
neko,215,160
čudno,203,160
drveća,236,159
ste,292,158
čarobne,286,158
по,326,157
шта,535,153
vode,218,158
zemlje,246,157
sedeo,176,158
sreću,232,157
naravno,223,157
odlučila,268,156
pogledao,204,157
били,444,153
boja,233,156
važno,227,156
srećna,225,156
cveće,337,154
miris,234,155
zemlju,296,154
sebi,211,155
otvorio,205,154
vrata,389,151
način,193,154
га,465,149
puna,201,153
zvuk,257,152
osetila,295,151
где,414,149
marko,1844,126
prijateljstvo,274,151
čarobna,325,150
pesme,261,151
najbolji,245,151
ljudima,295,150
рекао,469,146
osećao,261,149
istražuje,214,149
prvi,207,149
sedela,191,149
konačno,186,149
skrivene,240,147
kraj,173,148
увек,388,143
taj,193,146
ће,369,143
životinjama,226,145
postali,214,145
moraš,201,145
hrabrost,231,144
reči,330,142
vam,256,143
duboko,174,144
godina,171,144
petar,1649,120
čuli,206,143
stari,201,143
svakom,200,143
своје,307,141
hrasta,305,141
ponekad,212,142
ni,243,141
kosom,167,142
primetio,193,141
ništa,175,141
ćemo,226,140
mesta,216,140
igra,211,140
krenula,206,140
prirode,238,139
svima,210,139
dva,199,139
би,429,135
кроз,297,137
počelo,163,139
poznata,163,139
žive,217,138
vetar,271,137
ove,205,138
želim,254,137
posebno,171,138
noći,293,136
их,311,135
vetra,216,136
danas,200,136
uzela,197,136
stare,185,136
njegovim,175,136
сам,540,130
pronašao,211,135
odlučili,303,133
svojom,158,135
malog,172,134
vazduh,169,134
imali,175,133
vrhu,166,133
prijatelj,211,132
нешто,260,131
ono,192,132
životu,176,132
pogledala,174,132
vratila,172,132
prijatelje,226,131
osetio,226,131
njim,176,131
poznat,156,131
svojih,162,130
takođe,221,129
duge,186,129
zbog,186,129
она,548,123
ljude,189,128
stigao,186,128
došao,173,128
krije,164,128
neobično,145,128
uzviknula,203,127
naučila,176,127
gledala,172,127
svetlosti,234,126
primetila,168,127
knjige,288,125
velikom,150,127
čuvar,202,126
osmeh,198,126
hrabrosti,195,126
mogli,185,126
životinja,183,126
novu,170,126
ova,158,126
simbol,214,125
ugledala,193,125
nalazi,192,125
ključ,560,119
budu,175,125
мали,297,123
koliko,178,124
рекла,455,119
prolazile,138,124
vodu,182,123
dao,180,123
ubrzo,149,123
opet,180,122
очима,179,122
njegovom,158,122
njeno,156,122
licu,141,122
knjigu,251,120
ја,367,118
svetlo,178,121
njegovo,169,121
jedno,166,121
један,228,120
reče,287,119
prijateljima,154,121
vidim,152,121
knjiga,322,118
своју,234,119
nasmejao,166,120
grane,164,120
planina,160,120
dešava,138,120
me,184,119
zato,169,119
mnoge,230,118
ruku,165,119
dobar,154,119
pokazao,154,119
већ,198,118
stajao,135,119
тако,197,118
krila,187,118
он,423,114
mestu,167,118
pojavio,153,118
moći,205,117
nazad,142,118
ipak,133,118
svega,132,118
pronašla,179,117
srcem,155,117
obali,154,117
suncu,153,117
vrati,152,117
pod,143,117
zlatnim,162,116
novo,154,116
njegovu,147,116
putu,132,116
vi,188,115
nova,187,115
čarobnim,166,115
својим,221,114
veliko,140,115
hrabro,138,115
krilima,199,114
šapat,183,114
му,366,111
jako,230,113
čovek,223,113
možeš,142,114
između,135,114
велики,241,112
neke,170,113
legenda,159,113
najlepše,154,113
postoji,151,113
njihov,146,113
pevale,138,113
poseban,137,113
око,191,112
znajući,128,113
njihovim,163,112
dve,151,112
novim,148,112
umesto,145,112
pronašli,206,111
neverovatno,138,112
lepo,134,112
ruke,132,112
neki,153,111
možemo,149,110
stigla,146,110
svaku,132,110
našao,188,109
stara,167,109
vodi,151,109
kraja,141,109
došla,134,109
najvažnije,127,109
dugo,125,109
čita,181,108
много,175,108
uzviknuo,175,108
пут,217,107
čudne,147,108
dovoljno,145,108
pravi,142,108
spremni,140,108
lišće,133,108
mudrosti,184,107
још,164,107
kamen,340,104
svake,148,107
jutro,147,107
nam,146,107
niko,142,107
lepote,186,106
noć,175,106
ти,298,104
snagu,147,106
njenim,141,106
imam,136,106
sama,130,106
davno,129,106
strane,128,106
rukama,128,106
ovog,127,106
spremna,127,106
najviše,119,106
iznenada,117,106
potoka,177,105
stvorenja,169,105
ugledao,157,105
osećala,149,105
brda,135,105
stajala,132,105
им,252,103
sobom,122,105
reka,178,104
pećine,173,104
vide,149,104
čarobnu,203,103
večeri,140,104
igraju,139,104
voleli,170,103
prijateljstva,169,103
сви,212,102
kod,139,103
potrebno,123,103
baš,116,103
drvo,303,100
neba,144,102
skrivenom,120,102
ceo,120,102
puta,115,102
ли,224,100
voda,159,101
си,221,100
oblaka,272,99
nađe,196,100
njenom,129,101
imaju,126,101
glavu,125,101
pokušavajući,122,101
trenutak,114,101
tajnama,173,100
заједно,214,99
kamena,144,100
nisam,139,100
очи,175,99
jednoj,111,100
бити,162,99
čuva,152,99
leti,208,98
slušao,123,99
bića,183,98
prišla,120,99
ostala,118,99
ikada,116,99
kosu,113,99
stvarima,135,98
кући,172,97
cvet,339,94
ćeš,143,97
izgleda,128,97
uspeo,122,97
sigurno,114,97
sva,114,97
tih,112,97
običan,107,97
punim,105,97
prirodi,153,96
visoko,142,96
otkrio,137,96
shvatili,133,96
uspeli,133,96
pričao,124,96
stvar,123,96
neku,120,96
nju,120,96
čudan,113,96
njegovi,170,95
tri,215,94
kuća,152,95
јој,268,93
мало,200,94
razne,133,95
misli,129,95
lišća,126,95
sledećeg,121,95
zna,116,95
они,303,92
uzeo,114,95
malim,109,95
pune,109,95
tebe,109,95
voli,150,94
vas,144,94
ми,206,93
nalazio,127,94
ovu,108,94
биле,168,93
guste,105,94
pomalo,105,94
приче,207,92
hajde,134,93
želeo,130,93
pronaći,127,93
pokazala,122,93
gledali,119,93
nalazila,118,93
potragu,116,93
lepoti,114,93
smeh,165,92
pomognu,140,92
hrabar,136,92
sreo,131,92
putovanja,130,92
radi,113,92
počele,113,92
grad,298,89
baka,353,88
сваки,165,91
prolazili,102,92
čvrsto,100,92
ствари,161,91
поново,160,91
почео,157,91
pećinu,149,91
након,148,91
dete,146,91
moja,132,91
свет,256,89
naći,121,91
izgledala,115,91
igrala,111,91
izgledao,110,91
jače,110,91
oduševljen,103,91
plave,96,91
našli,146,90
imati,142,90
biljke,141,90
mudrost,128,90
dogodilo,124,90
želiš,119,90
ušli,116,90
pokazujući,114,90
čini,112,90
pojavila,107,90
neka,101,90
pričali,100,90
uzbuđenja,100,90
prišao,97,90
sreli,157,89
почела,154,89
sreća,138,89
oblake,136,89
najveća,105,89
šumom,105,89
сада,166,88
више,166,88
milica,1161,72
ikad,155,88
idemo,134,88
ово,191,87
nasmejala,125,88
