word,count,doc_count
anu,22625,856
jeung,16469,886
di,11363,915
ka,8581,890
éta,9500,839
nu,12155,728
aya,6376,898
ku,5888,848
hiji,5272,864
téh,7694,761
tapi,4770,851
teu,5486,790
jadi,4555,815
pikeun,4700,779
pisan,4626,763
manéhna,7461,648
dina,4488,759
bisa,3648,760
ti,2845,776
geus,3418,723
urang,4728,612
ngarasa,3730,636
kudu,2718,675
deui,2196,672
si,8262,412
kana,2570,638
keur,2118,646
ogé,1982,632
ceuk,3433,558
yén,2566,586
ieu,2251,598
hirup,2000,595
leutik,2069,592
sarta,3599,527
tina,1746,556
leuwih,1601,561
ngeunaan,1955,539
budak,1733,536
poé,1354,551
boga,1800,519
resep,1353,533
ngan,1337,533
maranéhna,3235,453
tempat,1577,519
sora,2174,490
bari,2469,475
leuweung,2907,456
ngaranna,979,531
mah,1937,486
kuring,3047,441
terus,1268,503
sok,1502,491
bakal,1401,488
naon,1142,497
ayeuna,1162,491
kumaha,1431,465
ngajaga,2131,434
hayang,1403,457
alam,2142,420
henteu,1169,458
anjeun,2262,411
tetep,1153,448
rasa,1313,429
mimiti,1255,431
sagala,1089,436
cai,1793,404
jalan,1283,421
kitu,795,430
hal,950,422
lembur,1651,392
jalma,1226,407
anjeunna,2511,351
sareng,1843,375
kalayan,1163,397
ningali,1036,397
jero,897,396
kahirupan,1036,383
loba,1025,383
harita,571,398
nyieun,1177,372
gedé,742,385
tangkal,1326,360
ngadéngé,948,374
biasa,754,374
kuat,820,367
aranjeunna,1497,330
jauh,624,361
datang,619,361
nepi,753,352
balik,691,353
carita,938,336
lain,682,346
cara,740,336
nyaéta,582,341
imah,974,325
gunung,1330,306
haténa,666,332
lamun,674,331
sababaraha,621,333
kalawan,1001,315
nalika,667,328
penting,594,330
tur,1051,306
abdi,1454,284
geulis,629,317
waktu,518,321
ngomong,1038,298
naha,532,314
ujang,3731,180
tuluy,1030,285
dinya,542,304
beuki,734,295
sawah,1107,279
siga,779,292
sanggeus,619,298
héjo,663,296
teh,1569,259
éndah,1185,274
saha,522,298
luhur,713,286
hayu,594,289
diri,636,284
lila,487,290
ngumpulkeun,650,282
dieu,546,285
pernah,532,285
haté,665,278
batu,1304,251
nyaho,536,278
ngajak,599,275
waé,447,280
sabab,683,266
bungah,526,270
lalaki,462,272
seuri,621,265
ukur,508,269
diajar,742,258
tiasa,671,258
sisi,483,265
sorangan,469,265
walungan,998,241
senang,691,253
lega,451,262
panonna,503,259
nya,594,253
sunda,1657,209
séjén,590,251
luar,502,254
paling,590,250
sanajan,474,254
ulah,516,249
beureum,654,242
silih,800,236
rada,422,249
alus,415,248
mikir,427,247
langit,745,234
ngajawab,639,237
carana,456,244
kacida,690,233
kawas,493,240
rupa,466,241
atuh,510,239
atawa,361,244
pinter,434,240
manuk,975,218
ngalakukeun,509,235
kaluar,378,240
peuting,452,236
ngagunakeun,659,227
panon,433,235
angin,562,225
anyar,457,228
eta,670,219
conto,360,231
ari,433,228
pinuh,427,228
nuhun,356,230
salawasna,397,228
tengah,354,226
hébat,465,221
nyarita,408,222
ngajarkeun,439,220
awéwé,374,222
sadayana,424,219
unggal,382,220
kembang,1240,185
ngaliwatan,597,211
kebon,940,197
sato,780,202
rupa-rupa,433,216
jalma-jalma,550,211
saurang,455,214
pangalaman,445,214
taneuh,443,214
na,514,210
ngalaman,407,213
panjang,322,216
kaayaan,334,215
saé,424,211
langsung,460,209
seueur,430,208
salah,307,212
saukur,340,210
nyaritakeun,380,208
dunya,592,198
séjénna,381,206
ngajadikeun,485,201
bodas,574,197
matak,487,200
ngagambarkeun,492,199
sieun,406,202
bener,329,205
hideung,392,202
imahna,329,203
ngadeukeutan,322,200
ngobrol,400,196
ngarasakeun,637,186
pentingna,358,197
mikiran,316,198
sangkan,389,194
kajadian,314,194
nempo,352,192
leumpang,341,192
gampang,284,194
ngarti,319,190
désa,1264,151
meunang,337,187
cinta,476,181
panonpoé,352,186
sedih,330,185
manehna,789,166
masih,266,187
mana,274,186
hate,313,184
hésé,309,184
moal,309,184
tengah-tengah,258,185
warna,345,181
cahaya,371,179
béda,336,179
hirupna,253,182
terang,271,181
siap,312,179
kakuatan,456,172
saperti,350,176
antara,251,179
handapeun,268,177
hatur,266,177
gede,389,172
ahirna,273,175
wah,292,174
ngaluarkeun,255,175
aki,1543,122
nanya,283,172
ngajelaskeun,329,170
masalah,328,170
perjalanan,376,168
kolot,299,171
barudak,537,161
awakna,257,172
sumanget,296,169
beurang,243,171
méré,295,168
katelah,216,171
warga,585,155
inget,278,167
lingkungan,491,158
hoyong,293,166
kabagjaan,387,161
jawab,287,165
