word,count,doc_count
och,128968,2577
en,75559,2577
att,60844,2577
de,51351,2569
var,46493,2576
i,45046,2577
som,43359,2576
det,38120,2573
med,34591,2577
på,33670,2576
den,33707,2572
av,27060,2571
han,46769,2168
sig,24759,2571
för,22458,2571
till,22149,2568
hade,20912,2548
men,20062,2551
om,20243,2539
ett,19294,2526
inte,18540,2511
är,22058,2429
hon,36185,2115
liten,11678,2496
jag,21796,2292
så,11496,2474
när,11220,2464
sin,11966,2440
sa,15672,2330
alla,11882,2388
där,9555,2377
började,8037,2369
efter,8718,2325
sina,8646,2324
ut,7966,2334
från,7168,2338
du,13031,2217
upp,8299,2306
såg,7954,2264
kunde,7786,2254
visste,7658,2226
skulle,7809,2220
kom,6576,2212
vad,7124,2166
över,6407,2157
bara,6456,2132
vara,6432,2119
alltid,6797,2110
stor,5825,2095
allt,5799,2058
något,5765,2035
blev,6023,2029
dag,5380,2031
dem,6629,1997
hur,6053,1986
solen,5354,1993
fram,5225,1987
har,6518,1957
ner,5046,1964
lilla,7255,1894
kände,5475,1929
här,5755,1917
kan,6187,1901
lite,6956,1869
runt,4878,1869
stora,4734,1869
andra,5607,1850
ögon,3803,1873
nu,4536,1858
tillbaka,4595,1855
små,4986,1844
fortsatte,4310,1831
vid,4058,1832
genom,4212,1820
satt,3853,1822
vi,9043,1709
mot,4100,1804
också,4115,1802
in,4282,1790
frågade,4354,1780
tittade,4143,1776
sitt,4039,1772
gick,4599,1746
under,4155,1750
varje,4411,1743
sedan,3863,1752
älskade,3625,1745
log,3667,1737
mer,3527,1721
dagen,3039,1729
mycket,4012,1683
ska,4539,1669
aldrig,3418,1684
bodde,2240,1694
igen,3524,1663
tog,3423,1662
dig,4091,1631
försiktigt,4007,1618
fick,3588,1626
sprang,4789,1575
äventyr,4901,1564
tillsammans,3827,1578
hans,6460,1524
gång,2655,1563
plötsligt,2704,1561
se,3129,1549
hörde,2835,1552
slut,2914,1545
hela,2935,1543
göra,3336,1519
utan,2879,1506
än,2658,1485
fanns,2844,1477
man,3291,1468
hennes,5628,1416
honom,4866,1425
då,2862,1453
ha,2903,1450
stod,2635,1450
ja,3418,1420
berättade,3063,1417
vänner,3304,1396
precis,2575,1406
deras,3512,1384
låg,2426,1405
bästa,2804,1396
henne,4664,1357
skogen,6346,1314
skrattade,2621,1387
hette,2200,1386
svarade,2948,1370
glädje,2891,1354
måste,2728,1351
många,2665,1352
hitta,2749,1344
litet,2472,1343
tänkte,2476,1329
glad,2536,1326
förstod,2984,1315
gå,2387,1307
hjälpa,3131,1284
röst,2123,1304
full,2064,1297
åt,2354,1286
stort,2057,1284
mig,2521,1271
medan,1965,1278
gav,2155,1272
hittade,2697,1252
kanske,2875,1247
ville,3193,1237
nya,2714,1246
vän,2609,1239
bestämde,2327,1240
viskade,2263,1225
lika,2128,1225
eller,2056,1219
vet,2415,1207
själv,1904,1193
världen,2490,1173
visade,2045,1179
ta,1984,1174
tack,2213,1149
sett,1934,1154
gjorde,1837,1153
nickade,1743,1151
vacker,1911,1144
leende,1855,1139
vill,2355,1121
vackra,2164,1122
ännu,1857,1119
kommer,2085,1114
hjärta,2115,1113
ju,2345,1104
ur,1681,1110
bra,2078,1097
min,1998,1095
någon,1865,1096
först,1597,1098
gammal,1770,1094
högt,1837,1090
väldigt,2303,1069
hem,1930,1075
komma,1644,1078
även,1703,1069
himlen,1926,1055
hoppade,1905,1055
stund,1695,1059
några,1757,1053
saker,1868,1049
träd,1778,1043
morgon,1734,1043
varandra,2130,1032
plats,1932,1035
vinden,2357,1024
bli,1549,1040
ljud,1566,1038
försökte,1848,1025
bort,1681,1027
helt,1576,1025
luften,1473,1022
bakom,1679,1015
få,1597,1015
glada,1828,1007
ingen,1532,1008
ibland,1832,1001
höll,1422,998
följde,1475,993
redo,1623,986
lyssnade,1543,985
ropade,1640,976
spännande,1666,972
snabbt,1525,964
letade,1769,958
någonsin,1347,963
gröna,1608,949
lekte,1720,946
lärde,2000,938
oss,1661,933
djupt,1304,923
länge,1360,920
nästa,1269,921
nästan,1360,915
blommor,1749,907
hej,1521,901
långt,1342,903
mitt,1262,897
rädd,1658,889
hjälp,1494,890
satte,1251,890
lång,1255,889
speciell,1318,885
flög,2117,869
hjälpte,1444,880
sken,1178,879
färger,1580,868
djur,1835,854
iväg,1211,861
längre,1262,857
träden,1394,845
ny,1307,844
marken,1336,842
får,1464,837
mamma,4146,783
annan,1170,842
leka,1905,821
vägen,1363,830
snart,1237,832
mest,1180,833
glatt,1247,827
behövde,1336,825
gör,1169,825
stannade,1140,819
varför,1385,813
fortfarande,1184,816
glittrande,1487,806
verkade,1206,809
huvudet,1108,808
vänskap,1509,799
liv,1385,800
titta,1282,802
leta,1381,796
behöver,1342,794
varit,1079,799
ni,1938,780
insåg,1142,788
kärlek,1702,774
ge,1185,782
varm,1157,778
fylld,1092,778
namn,1086,776
öppnade,1124,771
sjöng,1446,764
finns,1196,768
vilken,1040,771
gamla,1489,762
framför,1038,771
ledsen,1219,766
ögonen,1061,764
dansade,1268,757
pratade,1134,759
bredvid,1032,757
sten,1263,749
ser,1195,750
glittrade,985,753
äta,1232,747
din,1248,745
röda,1323,743
första,1055,741
verkligen,1084,737
visst,1113,733
fast,1019,731
levde,979,730
höga,966,729
åh,1120,725
mötte,1129,717
fantastiska,1308,713
tackade,1026,712
hus,1332,703
hand,1180,702
förbi,1008,699
del,1174,690
vattnet,1789,676
dags,951,692
ensam,1098,688
nej,1031,689
hittat,1019,689
flicka,1017,688
resa,1571,675
riktigt,949,687
dess,1243,681
lät,930,685
brukade,1015,683
trött,999,681
livet,1092,678
lärt,1089,678
annat,829,681
alldeles,966,678
delade,962,678
hört,909,675
genast,956,673
idag,1026,668
löv,1155,663
lyste,991,666
gott,975,666
väg,970,666
stenar,1034,663
tror,1046,660
två,912,662
skratt,1045,659
suckade,811,663
tyckte,929,656
gjort,875,655
hemligheter,1351,645
utforska,1058,650
dagar,804,655
vaknade,859,653
