word,count,doc_count
na,42492,796
ya,17255,796
kwa,14114,796
wa,11744,795
alikuwa,6070,770
katika,4866,765
siku,3365,778
moja,2044,774
za,3966,732
yake,4562,718
kuwa,4289,723
lakini,3044,715
kila,3458,700
sana,4147,686
kama,2972,705
furaha,3707,687
kwamba,3552,686
kubwa,2497,681
ni,2842,674
la,2261,667
kwenye,2401,654
wake,2406,636
cha,2426,629
walikuwa,2921,614
wote,2278,594
kulikuwa,1157,601
zaidi,1718,590
ilikuwa,1723,586
wengine,1982,576
wakati,1432,575
hiyo,1528,568
kutoka,1285,568
nguvu,1996,539
mkubwa,1458,548
mwenye,1447,544
mmoja,1204,547
wanyama,3587,502
kufanya,2197,528
jinsi,1707,532
muda,1144,538
alisema,1804,525
sauti,1824,524
mdogo,1361,527
kuhusu,1866,510
mrefu,1147,512
yao,1627,501
yenye,1279,506
pamoja,1690,496
mara,1032,506
hivyo,1144,501
hadithi,1929,481
baada,984,497
pia,1036,491
nzuri,1142,488
zake,1309,481
watu,2325,461
kitu,1166,476
kazi,2154,456
mtu,1311,471
ili,1263,464
miti,1218,461
mengi,1088,460
njia,1169,456
kidogo,864,453
maji,2029,424
wao,1161,437
mzuri,1060,436
mambo,1187,431
maisha,1239,423
nyingi,795,425
karibu,814,423
chini,871,420
ulikuwa,1109,411
kijiji,2519,383
macho,877,413
huo,984,404
moyo,1027,402
hata,767,400
muhimu,874,397
kupata,832,393
ajabu,1168,385
rangi,1065,386
mimi,1162,380
kuona,811,385
aliona,826,381
mkuu,1080,370
kujifunza,1264,364
makubwa,672,368
ambaye,688,366
mti,1413,352
jua,890,361
upendo,1085,356
wengi,755,359
akili,830,357
tu,650,356
zao,801,349
hii,691,350
tena,596,345
ambayo,566,344
juu,734,338
lake,587,334
mpya,671,326
vya,786,319
tofauti,663,321
marafiki,1005,314
aliendelea,607,320
nini,604,318
ujasiri,1032,309
alipenda,610,315
ndani,740,312
hilo,684,312
mwingine,482,314
hapo,438,312
mahali,782,305
alijua,568,303
kwenda,540,302
sababu,627,299
haraka,569,300
safari,1008,291
lilikuwa,576,299
ulimwengu,928,291
chakula,840,292
watoto,1455,279
amani,1171,284
zote,479,296
hadi,449,296
alianza,484,292
simba,2185,260
huyo,921,281
jina,439,288
huu,629,284
mirefu,424,287
mbali,477,286
yote,457,286
yalikuwa,523,281
wenye,482,278
mtoto,883,269
mazuri,537,274
akiwa,438,275
ndege,993,263
mbalimbali,495,270
nyumbani,462,270
uwezo,909,261
alijifunza,589,265
sehemu,534,266
sasa,468,263
mwisho,396,261
mama,1516,238
mzee,1196,241
makini,379,256
ambapo,388,255
chake,465,253
msitu,1222,238
aliamua,457,251
kilikuwa,525,249
tembo,1945,222
aliuliza,409,248
kijani,654,242
kuliko,363,246
kucheza,510,243
ndogo,412,244
vizuri,429,243
maua,677,236
eneo,704,234
hatimaye,319,241
nyumba,665,234
majani,502,236
alipata,543,234
ambao,363,237
aliyeitwa,382,236
ajili,475,230
hakuwa,318,232
kuanza,353,230
kupitia,402,229
kelele,424,227
kawaida,332,228
bora,490,224
wewe,413,225
kutafuta,368,224
kisha,366,224
mlima,908,213
mvua,955,212
bidii,534,218
akasema,574,217
mto,774,213
wadogo,453,216
umuhimu,434,214
kweli,386,213
hicho,436,212
jambo,385,211
usiku,627,206
kujua,326,211
urafiki,523,206
walianza,303,210
vile,352,209
kwanza,337,209
mawazo,496,206
au,310,208
hamu,299,208
yako,394,205
zilikuwa,369,204
kuna,299,205
matunda,630,198
mbele,299,204
alijibu,338,203
upole,318,203
yeye,358,202
rafiki,514,199
kupendeza,349,201
aligundua,329,201
hao,484,198
alimwambia,397,198
msaada,334,199
alihisi,379,198
unaweza,334,198
tunaweza,467,195
aina,302,198
je,322,196
ujuzi,556,191
bila,329,194
hayo,375,193
yangu,390,192
waliokuwa,268,191
kipekee,444,187
siri,807,180
utulivu,358,187
hofu,398,186
wakicheza,264,187
mfano,264,186
walipata,408,183
hapa,297,185
maneno,278,185
walifanya,369,183
walijifunza,342,182
hakuna,258,183
nyingine,257,183
yetu,448,179
juma,2062,148
mapya,334,180
kabisa,251,180
alifurahi,301,179
bali,268,179
mazingira,566,173
alifanya,260,178
hili,274,177
kuishi,358,175
uzuri,358,175
kutumia,343,175
wangu,280,176
kusaidia,386,174
hizo,278,176
hali,304,174
lazima,297,173
shida,278,173
mimea,376,171
sawa,269,173
alichukua,235,173
si,266,171
upepo,467,166
leo,265,169
aliishi,204,170
huzuni,311,167
huku,306,167
kali,247,168
chochote,233,167
ndefu,224,167
ngumu,251,166
alijaribu,250,166
ambacho,222,166
zamani,249,165
kurudi,274,164
uzoefu,264,164
mchanga,415,161
mikubwa,244,164
kibichi,214,164
samahani,250,163
walijua,324,161
thamani,265,162
kupanda,364,160
tabasamu,243,162
wasiwasi,243,161
habari,332,159
ghafla,223,160
kutoa,264,159
walifurahi,289,158
tamaa,231,159
tayari,214,159
waliona,301,157
asubuhi,220,158
upande,208,158
aliyekuwa,206,157
dunia,366,154
katikati,197,157
hatua,271,155
familia,480,151
alifikiria,257,155
aitwaye,197,156
mnyama,374,152
kwake,226,154
kuendelea,286,152
akawa,341,150
mingi,222,152
haya,213,152
kuvutia,310,150
kichwa,202,152
ikiwa,201,152
kusema,286,150
ambazo,226,151
shukrani,216,151
wakubwa,216,151
alitabasamu,201,151
milima,272,149
nyota,953,136
safi,306,147
vitu,323,146
tatu,1697,120
ndiyo,241,147
kufikia,347,144
kuwasaidia,293,145
pa,287,145
waliishi,177,147
wako,235,145
hatari,284,144
salama,332,143
huruma,261,144
msituni,396,141
huko,196,144
kung'aa,185,144
kusikiliza,226,143
alikumbuka,206,143
gani,200,143
ndoto,401,139
wakiwa,195,142
nyuma,193,142
kuzungumza,243,141
waliamua,276,140
alikutana,209,141
kuelekea,186,141
hekima,282,139
nyimbo,315,138
angani,246,139
naye,192,140
wawili,253,138
lenye,203,138
kusikia,182,138
mwake,177,138
wetu,281,136
kula,265,136
mwingi,184,137
miguu,237,136
alitumia,255,135
alimtazama,185,135
mwa,175,135
walipenda,215,134
kikubwa,189,134
mwenyewe,180,132
ndio,179,132
kutembea,230,130
ambalo,168,131
akicheza,162,131
misitu,311,128
tangu,148,131
kuchukua,191,130
alipokuwa,187,130
nao,177,130
sio,190,129
uvumilivu,255,126
changamoto,227,126
sijui,162,127
kabla,160,127
nje,194,126
zenye,179,126
ilianza,175,126
mfupi,170,126
chao,205,124
mawingu,356,121
kutokana,184,121
ushirikiano,344,118
kwani,180,121
kujaribu,171,121
mshangao,150,121
mwishowe,141,121
yoyote,162,120
zawadi,640,111
busara,206,119
tunahitaji,326,116
miaka,196,118
kusoma,355,115
aliweza,231,117
alisikia,171,118
dhahabu,213,117
wazo,196,117
moyoni,160,117
hisia,195,116
samaki,614,108
iliyofuata,133,117
waliendelea,180,116
alirudi,143,116
awali,137,116
akaanza,149,115
wenzake,232,113
mwema,176,114
kukimbia,214,113
kati,148,114
kile,144,114
matatizo,173,113
michezo,199,112
kumbukumbu,187,112
walicheza,182,111
kijijini,213,110
kuzunguka,150,111
maana,146,111
uangalifu,199,110
kasi,198,110
kuruka,192,110
hawa,241,109
kutosha,193,109
nzima,129,110
anaweza,148,109
harufu,199,108
wakifanya,184,108
akifanya,130,109
alionekana,142,108
hizi,193,107
mabadiliko,179,107
nyasi,169,107
kupiga,165,107
asante,160,107
wanaweza,152,107
kupenda,141,107
kumsaidia,185,106
tamu,185,106
kadhaa,129,107
haikuwa,123,107
tatizo,168,106
alifika,142,106
mrembo,191,104
kina,169,104
mzima,152,104
akajibu,148,104
kivuli,294,101
nyani,347,100
asili,184,103
polepole,126,104
kufikiria,179,103
kufurahia,169,103
una,135,103
shauku,133,103
tabia,183,102
akitafuta,124,103
jioni,177,102
alitembea,117,103
kuleta,165,102
manyoya,158,102
akamwambia,201,101
sisi,142,102
hivi,132,102
bustani,262,99
hiki,170,100
mafanikio,170,100
matawi,167,100
kuanzia,113,101
unahitaji,164,100
nafasi,152,100
kuonyesha,162,99
mengine,151,99
mwanga,361,95
mbaya,145,99
twiga,350,95
bado,134,99
ardhi,234,97
akitazama,118,99
wapi,135,98
kujenga,184,97
akitembea,123,98
kuelewa,164,97
vingi,162,97
wazuri,155,97
aliwaambia,133,97
kundi,176,96
giza,227,95
chenye,116,97
heshima,162,96
anga,213,95
kukutana,132,96
peke,129,96
kuimba,235,94
kipenzi,1556,69
matumaini,160,95
nina,154,95
akipenda,118,95
mikono,116,95
baridi,157,94
sungura,528,87
walifika,145,94
mawe,196,93
mpole,132,94
wale,154,93
mpaka,136,93
kushangaza,132,93
mioyo,126,93
mito,125,93
kale,172,92
walirudi,108,93
hakika,104,93
joto,156,92
walipokuwa,145,92
kupita,113,92
asha,960,76
waligundua,142,91
kukua,121,91
shughuli,152,90
kuangalia,148,90
mji,513,83
sherehe,245,88
madogo,133,90
viumbe,302,86
mchezo,353,85
bahari,673,79
kimya,136,89
daima,130,89
alipofika,120,89
laini,119,89
machozi,116,89
kushinda,165,88
mfalme,481,82
ana,134,88
nyekundu,123,88
alicheka,115,88
kutengeneza,165,87
