word,count,doc_count
த,91567,808
க,88718,808
ம,54914,808
ப,49665,808
ன,45486,808
ட,40548,808
ச,37616,808
ய,36454,808
ர,35288,808
ல,35087,808
ந,32477,808
கள,31317,807
ற,30593,808
வ,28692,808
ள,15097,806
ஒர,10277,807
ண,9998,796
இர,8091,796
என,8749,774
தத,8035,767
ழ,5779,782
பட,4941,751
அந,5502,737
அத,4503,743
கவ,3672,736
தன,4566,721
யத,3064,686
அழக,2613,680
அன,3270,668
கண,3260,666
டன,2716,666
வந,2161,670
றத,2542,664
வர,3481,646
மற,2558,654
கத,3552,643
டத,2445,639
மக,2237,636
அவர,4311,615
ங,3912,615
டம,1860,618
பல,1876,597
பத,1921,596
வத,1938,587
எப,1742,586
தம,1835,567
அட,1394,559
ஆன,1376,550
னத,1531,527
கம,1624,519
ரம,1647,518
யர,952,524
மத,1372,517
அற,1996,507
பற,1377,497
சர,1459,482
தல,1042,479
கப,1240,477
பர,1423,474
இந,1342,472
அதன,1253,471
அப,1320,456
எல,1369,455
இன,1196,445
தனர,1671,440
அம,1631,440
டங,825,435
யன,1217,430
தப,1091,431
தங,1090,430
மல,1551,424
அர,1029,428
ஆச,1088,425
யம,1115,424
உள,880,425
தனத,1266,420
கர,1153,420
நண,1267,416
சம,1124,413
இல,942,413
அவன,2935,390
ரத,916,404
அங,783,397
வண,1282,392
கற,1093,389
றக,807,387
பச,847,384
கட,902,379
பறவ,1486,372
ஒன,762,377
கல,1126,373
தக,968,371
சத,1195,367
சந,1278,363
னர,690,356
நட,1026,351
ஒவ,862,352
எட,702,351
வழ,680,351
இத,781,348
ஆர,673,343
னம,753,339
யல,1198,326
லத,737,327
நன,579,324
நம,699,322
நல,802,321
ஞ,1108,316
ஒள,814,318
ழந,1431,312
உர,653,316
றன,635,315
உதவ,861,311
வம,538,313
உற,521,312
ஏற,521,311
தர,578,310
ஆரம,664,308
மரத,991,305
லம,871,306
மரங,651,306
அழ,539,301
அவ,596,297
எத,554,297
றந,511,291
பக,494,290
எழ,624,288
யப,490,287
உணர,531,285
மனத,504,282
எனக,522,280
அவள,1622,268
றப,455,270
நடந,428,264
வளவ,457,262
ரங,826,258
இப,408,260
டர,407,260
ஓட,612,253
ணங,480,254
வக,420,254
எங,422,252
டனர,530,251
வன,651,248
அவற,424,250
யவ,372,250
ஜ,1278,242
உண,426,246
றம,487,245
லங,657,243
கக,382,239
உங,501,235
ரச,394,231
பன,977,225
ளத,510,226
பள,526,224
கழ,419,224
மலர,967,219
அமர,347,223
ஆம,651,218
கச,344,220
வச,360,218
ஏன,346,215
இடத,336,215
எவ,341,214
மட,296,214
பழ,400,208
டல,527,205
ஷம,543,204
உன,402,202
பறந,428,199
வளர,347,198
சல,389,197
மம,306,197
உய,407,195
பவ,308,195
பயணம,491,193
அல,444,193
மன,494,192
ரக,453,191
யற,351,191
வல,324,190
யங,429,188
தவ,272,188
றனர,312,187
தந,368,186
பயணத,364,182
னவ,358,182
மண,574,180
ரல,341,182
சக,420,181
வயத,245,182
சன,363,179
உனக,280,178
ஷயங,321,177
இரவ,357,174
கனவ,650,171
ளம,248,174
வட,294,173
கவன,271,171
வதற,221,171
தட,276,169
பயந,253,169
எண,275,168
சயம,261,167
உடன,297,166
கங,406,163
தய,235,164
தண,389,162
பண,371,162
மர,399,160
றங,255,161
யட,199,161
பயன,293,160
அச,226,160
ணன,1220,146
எந,203,154
ஏத,195,153
ஆற,372,151
ஆக,240,152
அள,209,152
பம,250,151
உணவ,308,149
உலக,305,149
ளக,291,149
உட,224,149
வப,298,148
ரகச,553,144
ணமயம,191,145
உலகம,245,144
இங,212,144
லவ,257,142
டப,206,141
மழ,753,136
பதற,166,141
பறக,425,137
அவனத,334,137
மரம,386,136
இடம,175,136
ஊர,339,133
இயற,335,133
ஆட,235,133
ணத,333,130
அதற,167,131
சள,219,129
உத,156,129
மஞ,234,128
இடங,187,128
ரணம,168,127
அண,365,125
மந,541,123
னக,195,125
உலகத,265,122
இவ,181,122
ணம,196,121
ஒல,175,119
மனம,153,118
றவர,193,117
யந,153,117
நடக,150,117
இரண,141,117
ழல,264,113
னங,245,112
கவனம,136,111
நகர,164,110
கடல,1055,102
யவர,264,107
கடந,145,107
பவங,147,106
மறக,119,106
இற,124,105
ணப,144,104
வங,158,102
ரவ,825,95
இண,122,101
கவல,147,99
கன,433,96
ஷத,154,98
ஆவல,109,97
யக,197,96
பவம,115,96
னஞ,129,95
அடர,128,95
கலந,119,95
லப,150,93
பயம,146,93
இறங,132,93
வற,112,93
தனக,139,92
எள,114,91
டவ,106,91
சய,186,90
பழங,245,89
பயப,129,90
ஆழம,108,90
உச,161,89
அலங,113,89
சற,109,89
கஷ,147,88
பலவ,116,88
