word,count,doc_count
న,74214,809
ర,52070,809
చ,48253,809
ల,45277,809
క,44000,808
ప,41723,809
త,39855,809
ద,35898,809
వ,33054,809
డ,28145,809
గ,26106,809
స,25515,809
మ,23176,807
ట,20287,805
య,18761,806
జ,8618,803
ఒక,6938,803
ఉ,6351,799
అన,7566,771
ఆ,5566,760
ళ,7769,732
లన,4047,761
ష,5479,724
శ,5552,723
అ,4864,704
తన,4049,684
మర,3912,683
ఉన,2765,690
కల,2782,688
బ,5464,653
భ,2990,639
ధ,2949,639
హ,3224,634
అద,2905,610
వచ,1799,599
ఎ,1791,582
దర,2541,571
కడ,1697,572
రత,2016,559
తమ,1918,540
లల,2016,535
పట,1563,531
ఎల,1252,526
లత,1361,524
కన,1400,517
అడ,1160,509
లక,1729,501
నవ,1854,497
మన,1929,495
అక,1228,499
తర,1080,491
పక,1943,478
అతన,3356,461
ఆన,1327,482
ఎప,1100,480
అప,1116,469
పర,1563,464
చర,1127,466
రక,1347,463
కర,1161,461
ఈ,1184,459
ఒకర,1156,459
ఆశ,972,454
నద,1232,448
ఆల,1031,437
ణ,1803,424
వర,1315,425
వడ,921,423
రమ,1202,418
టల,1207,416
దమ,865,414
సహ,1262,406
దగ,1028,408
ఇ,1072,402
సర,935,386
వస,674,388
చడ,774,379
అవ,933,369
నడ,656,372
తల,1006,368
థ,879,363
యడ,751,362
ఆక,1000,357
ఏమ,654,357
ఇద,847,353
అర,805,353
ఎక,684,352
చన,612,350
నప,628,349
షయ,719,344
అయ,636,344
ఆమ,2297,325
పడ,623,343
దల,722,331
డట,641,330
పచ,769,327
పన,847,324
రప,1008,316
రయత,666,315
ఇష,529,315
ఖ,758,311
తగ,701,311
అల,645,310
ఆడ,724,309
కథ,721,309
గడ,553,305
పల,699,300
గర,612,294
యక,597,294
మనస,600,290
సమయ,481,289
సమ,716,285
యప,446,286
రవ,772,275
ఆసక,480,278
లవ,487,275
రయ,749,272
అమ,1085,260
అడవ,1367,255
ఎవర,457,262
ఎన,462,261
వల,446,261
జర,445,261
యమ,404,257
తక,892,249
లప,385,252
భవ,430,250
టన,519,246
రద,512,245
కష,511,245
మధ,389,246
మళ,458,245
కప,458,243
ఇచ,362,244
నట,460,242
కథల,760,238
రణ,535,237
గరక,378,236
ఏ,392,234
దన,404,232
కట,433,231
ఆహ,440,229
నక,833,224
యన,378,228
యల,447,224
షణ,420,224
డగ,332,222
ఇల,361,216
డల,330,213
ఎద,323,210
ఇక,374,205
ఇతర,353,202
నల,340,202
ఇప,292,202
కళ,327,201
తయ,768,192
దట,263,197
టపడ,276,194
వద,261,194
నమ,334,190
చల,281,190
నన,287,187
రశ,310,186
ఎగ,448,183
మత,401,182
చద,487,181
ఉత,314,182
శక,336,179
వరక,244,180
రహస,568,176
వత,471,176
కద,280,178
ణయ,245,178
మల,487,175
ఏద,255,175
భయపడ,245,175
ఒకప,184,171
ఞ,344,169
దయ,282,167
ఆటల,344,164
ఊర,750,155
హస,359,157
వన,241,154
భయ,274,148
మద,213,146
పద,319,143
ఇవ,226,143
అభ,220,143
ఫ,304,142
లగ,215,142
మనక,225,141
ఉదయ,200,141
మక,198,141
తప,229,140
కమ,206,139
బల,194,139
దక,189,139
ఆకర,187,135
ధపడ,186,135
ఆర,262,133
లలక,208,133
చక,223,132
ఘ,484,129
రన,188,131
గల,279,129
బట,188,129
ఉపయ,208,127
డద,176,127
ధన,191,126
ఎత,174,126
శబ,255,124
రహ,252,124
యత,209,123
నగ,227,122
మగ,218,122
లర,265,121
నస,152,122
ఏర,174,121
షత,490,116
దవ,214,118
ఆయన,275,117
నచ,167,118
పస,207,117
ళన,196,117
టమ,173,116
హల,253,115
యద,145,116
ఎర,275,114
ఇస,165,114
యవ,157,114
దద,152,114
సరద,226,113
బయటక,169,113
ఠ,249,112
టడ,148,113
రజల,246,110
ఒకట,134,111
డడ,144,110
రకరక,152,109
ళల,150,109
ళత,133,109
టక,190,108
అత,161,108
సమస,172,107
జన,166,105
టలన,135,105
ఠశ,320,101
గమన,158,102
రల,151,101
కరమ,119,99
డవ,143,98
ళక,195,97
బయల,140,97
చనల,132,96
తనక,132,95
కలల,362,92
ఉద,155,94
సన,152,94
వగ,116,94
గట,123,93
గత,136,92
లబడ,110,92
షమ,146,91
ఖచ,111,90
టర,190,89
తజ,110,89
జమ,108,89
ఆదర,106,88
లభ,104,88
డన,122,86
వరణ,143,85
చబడ,97,84
వక,129,81
ళడ,106,81
టప,144,80
కత,108,80
అస,101,80
హర,462,75
లయ,165,78
ఆవ,135,78
అవసర,102,78
కగ,90,76
థమ,82,76
చవచ,90,75
కలన,115,74
రగ,198,73
ఇళ,103,74
యపడ,94,74
రస,117,73
రదర,167,72
ఞతల,87,72
వలన,81,72
కస,94,71
శవ,100,70
టలత,90,70
ఓ,102,69
గద,143,68
బహ,91,67
ఆత,118,66
మహ,117,66
భయపడక,87,66
తట,74,66
లమ,95,65
చయ,91,65
సల,166,64
హన,257,63
గమ,82,64
వయస,77,64
ధగ,76,64
బద,75,64
అతడ,143,63
కథలన,92,63
కథన,93,61
కక,88,61
యజ,77,61
శన,99,60
ఉప,99,60
ఆస,83,60
రజలక,81,60
ఓహ,72,60
దకరమ,68,60
ఒ,125,59
బడ,116,59
ఏన,189,58
ఆకట,75,58
బయట,71,58
జయ,133,57
లలన,88,57
అధ,82,57
వరగ,61,57
వణ,85,56
యతన,85,56
కడక,70,56
ఆప,70,56
లడ,69,56
శర,79,55
ఫల,71,54
తత,64,54
బలహ,89,53
మనల,74,53
చట,74,53
ధత,73,53
గరగ,61,53
ఏడ,86,52
యలన,81,52
బలమ,71,51
డత,70,51
పత,62,51
ఒకస,61,51
లలత,60,51
చగ,54,51
సట,53,51
అవక,61,50
డక,59,50
పగ,54,50
ఒడ,73,49
బయళ,135,48
షస,429,44
మమ,189,46
వట,74,47
మలన,69,47
చదవడ,79,46
ఈర,59,46
దడ,58,46
తరచ,51,46
నయ,105,45
తవ,75,45
అలస,59,45
టలక,52,45
వలస,50,45
అట,48,45
బర,123,44
కలత,53,44
ధమ,47,44
నగర,120,43
ఆట,97,43
షల,86,43
ఓడ,68,43
ఊప,53,43
ఆధ,51,43
ఖర,72,42
నమస,67,42
ధర,67,42
ఇబ,64,42
థల,58,42
ఆగ,57,42
వహ,50,42
ఆకల,73,41
టణ,102,40
