word,count,doc_count
ва,33154,973
ба,26992,968
дар,25445,973
ки,21531,972
аз,17682,972
бо,14284,955
буд,9468,966
онҳо,10686,871
ин,8094,900
як,8906,831
ӯ,8216,838
он,5643,895
кард,5233,850
мекард,4180,859
худ,4231,853
барои,4012,826
шуд,3301,814
аст,3538,776
гуфт,4034,747
ҳар,3517,761
зиндагӣ,2144,780
рӯз,2200,767
буданд,2318,752
ҳамеша,2784,732
дигар,2532,712
мекарданд,2694,687
чӣ,2463,664
то,2166,667
дошт,1745,679
ҳама,2086,667
худро,1876,669
пур,2269,650
ман,3511,611
карданд,2420,638
хеле,3051,599
дод,2037,622
зебо,1943,614
ҷо,1748,613
аммо,1778,594
вай,3107,544
номи,1004,604
деҳаи,1405,587
вақте,1582,571
шуда,1285,579
карда,1158,570
ҳам,1539,553
бораи,2013,538
шуданд,1433,539
мо,2505,498
кунад,1283,514
дили,1292,511
пайдо,1207,506
баланд,1075,506
тавр,1153,500
бояд,1560,488
хуб,1296,470
танҳо,1178,472
чашмони,842,473
нигоҳ,1090,465
нав,1089,454
ҳамаи,1124,450
шумо,1674,432
зебои,894,448
назди,850,446
рӯзи,864,443
мешуд,752,443
онҳоро,1035,434
пас,842,436
деҳа,1603,411
ӯро,1209,417
онро,789,423
боз,859,420
бозӣ,1395,404
хурд,865,419
офтоб,1013,411
дид,830,413
низ,861,412
баъд,781,399
ту,1554,371
пурсид,888,390
яке,708,394
роҳ,800,391
хурди,624,389
даст,717,386
ҷавоб,965,378
рафт,638,387
гирифт,700,384
тамоми,869,378
нишон,639,384
рӯзе,633,383
ҳамин,606,381
кӯҳҳои,726,377
мекунад,817,370
балки,661,372
бошад,623,367
роҳи,779,361
агар,651,364
ҷои,639,364
зиёд,716,361
на,643,360
вақт,575,358
вале,734,345
наздик,530,349
табассум,746,342
гуна,728,341
ҳеҷ,624,344
омад,591,343
расид,588,343
хонаи,714,339
мисли,762,337
кунанд,746,337
ҳаёти,625,339
ҷойгир,476,341
бештар,564,336
кор,765,328
кардан,579,333
гуногун,636,331
дорад,586,332
хона,613,331
меҳрубонӣ,925,321
калон,544,327
дигарон,707,319
тоҷикистон,553,321
меҳрубон,618,315
дарахтони,504,315
бузург,628,311
доданд,553,313
мекунанд,717,303
осмон,894,296
гулҳои,674,302
об,890,295
фикр,633,302
сар,502,303
болои,539,299
сӯи,518,297
чанд,537,296
нақл,627,292
ҷолиб,611,292
назар,566,292
дӯст,647,286
ду,473,290
пеш,451,290
оғоз,444,289
ҳатто,505,284
кардани,411,285
аҷиб,579,280
доштанд,438,284
овози,531,281
медод,447,275
шодӣ,628,269
кунем,614,268
ёфт,399,272
дарёи,651,262
гоҳ,444,268
ҳамдигар,540,264
садои,455,265
чизи,472,264
қадар,434,265
замин,442,264
вақти,439,264
кӯдакон,941,249
табиат,804,251
мехост,449,261
духтари,443,259
метавонад,469,258
муҳаббат,523,256
байни,410,259
ҳаяҷон,477,257
ҳис,440,258
оби,585,253
чиз,375,259
ҷаҳон,462,251
мешавад,433,249
кӯмак,670,242
аввал,356,249
дарк,439,246
қарор,365,248
ҳаёт,407,245
зеро,449,242
овард,359,244
дарахти,547,237
медонист,366,242
бисёр,432,240
ёд,397,241
рафтанд,388,241
мерафт,362,241
сафар,675,231
кӯҳҳо,542,234
дода,315,240
якдигар,403,237
нури,425,236
дароз,304,239
сабз,401,236
рангоранг,427,235
шавад,350,236
зери,437,233
муҳим,379,234
монанди,372,234
одамон,470,230
ҳамон,361,233
шаҳри,658,223
ҷамъ,409,230
мешуданд,335,232
рӯзҳои,463,227
ҳангоми,356,230
ҳайрат,350,230
шод,680,220
дидани,332,230
мекунам,395,228
расиданд,365,228
сафед,375,226
чизе,377,225
боғи,460,222
кӯшиш,357,225
дида,320,226
шурӯъ,405,222
зиндагии,378,222
гирифтанд,348,222
ниҳоят,320,221
ҳаво,346,220
нигарист,334,220
фаҳмид,394,217
модараш,660,209
баргашт,297,219
лаззат,395,215
кунед,364,214
чизҳои,355,214
нест,301,215
нишаста,307,214
якҷоя,421,210
лаҳза,284,214
баромад,291,210
диққат,287,210
зиёде,319,209
сиёҳ,381,207
диданд,433,205
дошта,329,207
рангҳои,414,204
оё,309,207
гарм,265,206
хуш,322,204
ҷаҳони,447,200
гӯш,300,204
ранги,480,198
ширин,547,196
мегуфт,269,204
гулҳо,523,196
баъди,348,201
дӯстӣ,472,197
рӯи,291,201
хурсандӣ,313,200
омода,269,201
имрӯз,299,200
гирифта,259,201
монд,290,199
хурсанд,368,196
баргаштанд,282,197
доранд,295,196
мехоҳам,325,194
чун,290,195
хурде,244,196
ҳамчун,310,194
табассуми,291,194
канори,270,194
тоза,303,192
бузурги,245,193
ҷой,275,192
шудааст,299,191
таври,273,191
хушҳол,404,187
вуҷуд,311,189
шавқ,327,186
дӯстони,353,185
наздикии,301,185
ё,301,185
дурахшон,300,185
кумак,453,180
дур,274,185
сурх,375,182
каме,257,185
омада,252,184
берун,283,183
баланди,268,183
касе,299,182
истифода,373,179
дарё,645,171
бале,317,180
калони,249,181
идома,246,181
ҳайвоноти,429,175
боқӣ,227,180
бурд,261,179
сафари,456,173
кунам,342,176
ҷустуҷӯи,306,177
хурдсол,235,179
ҳикояҳои,505,171
табдил,250,177
салом,342,174
омаданд,271,176
ҷавон,312,173
атрофи,235,175
дилаш,254,172
зуд,281,171
медошт,243,172
дасти,223,171
равшан,238,170
медиҳад,264,169
хоҳад,253,169
баъзе,239,169
ором,232,169
боғ,533,160
шаҳр,674,155
кабуд,256,167
сари,214,168
ҷое,232,167
дарахт,427,161
қалби,250,166
мардуми,568,156
дигаре,222,166
кӯдакони,311,163
охир,199,166
номаш,232,165
диҳад,218,165
дарахтон,246,164
умед,256,162
эҳсос,219,163
хушбахт,261,161
сӯҳбат,247,161
ҳайвонот,433,153
ташаккур,246,158
беҳтарин,200,159
дунё,225,158
медонистанд,218,158
албатта,208,158
набуд,201,158
ҳикояи,262,156
пинҳон,294,154
хоб,324,153
меомад,206,156
кас,227,155
модар,417,148
бори,203,154
сахт,222,153
хотир,194,153
парвоз,392,147
чашмонаш,192,152
дил,221,151
гуфтанд,249,150
бошанд,220,150
сохта,217,150
паси,194,150
гул,328,146
табиати,256,148
кӯдаки,281,147
гули,550,139
давом,201,148
метавонем,231,147
писари,191,148
олами,316,144
азиз,451,140
зад,246,146
паҳн,195,147
шудан,193,147
эҳтиром,243,145
рӯзҳо,208,146
сипас,196,146
ханда,298,143
хуби,254,144
оянда,207,145
беҳтар,198,145
мехонд,216,144
медоданд,193,144
ҳоле,206,143
аҷибе,186,143
мебурд,184,143
даъват,231,141
фаҳмиданд,224,141
таҷрибаи,220,140
таҷрибаҳои,270,138
баланду,199,140
якчанд,188,140
кӯҳ,352,135
саёҳати,264,137
мактаб,357,134
даруни,186,139
нави,216,138
сиёҳи,175,139
мӯйҳои,193,138
ҳастам,191,138
хушбахтӣ,244,135
ҷангал,580,125
кабуди,157,137
мебурданд,189,136
шаб,253,134
ҳастанд,181,136
ҷониби,203,135
фаромӯш,185,135
бениҳоят,218,134
мешаванд,183,135
тааҷҷуб,180,135
ҳаракат,179,135
ҷойи,231,133
инро,176,134
чи,203,133
куҷо,161,134
тасмим,177,133
ҳақиқат,180,132
фаро,179,132
чизро,164,132
мегирифт,156,132
зард,185,131
бозии,284,128
боло,179,131
миёни,203,130
меовард,163,131
гузашт,190,130
