word,count,doc_count
และ,79906,2727
ที่,57856,2727
ของ,44328,2722
ใน,35655,2724
ๆ,35418,2701
ไป,33826,2712
ได้,32781,2715
มี,26331,2723
ก็,27943,2653
กับ,23211,2707
ให้,23369,2668
เป็น,21381,2691
จะ,21099,2647
ด้วย,22305,2546
อยู่,19176,2630
ไม่,18684,2638
ว่า,18266,2649
อย่าง,18407,2570
แต่,14515,2600
การ,16319,2487
มา,13809,2540
แล้ว,15224,2461
พวกเขา,22361,2160
น้อย,19953,2169
มาก,10736,2418
ขึ้น,10242,2392
ตัว,13207,2270
มัน,15166,2154
จาก,8507,2360
เขา,25460,1772
กำลัง,8586,2328
นี้,9226,2301
หนึ่ง,7255,2354
เมื่อ,7639,2340
กัน,10420,2212
ต้อง,8918,2261
วันหนึ่ง,4766,2357
เห็น,7487,2263
นั้น,8265,2233
เรา,13128,2046
รู้สึก,8183,2194
ดี,8131,2190
เริ่ม,7632,2207
คือ,6867,2217
ถึง,6687,2193
อะไร,7416,2082
ทำ,7809,2049
เลย,9820,1979
ใหญ่,6689,2074
แห่ง,8352,1984
มีความสุข,6486,2036
เธอ,20131,1570
ยัง,5728,2056
นะ,8859,1946
พบ,7082,2001
ต่างๆ,7514,1963
เรียนรู้,6763,1962
ตอบ,8439,1903
มากมาย,5740,1990
ช่วย,7665,1916
เพื่อน,9393,1830
สี,6666,1914
ถาม,6229,1928
เรื่องราว,6286,1921
ที่สุด,4954,1958
สิ่ง,5449,1929
ที่จะ,5566,1920
เล่น,8151,1821
ทำให้,4811,1923
บน,5712,1877
ความ,4935,1903
เพื่อ,5255,1850
รู้,4280,1869
เดิน,5696,1820
ชอบ,4616,1856
เสียง,5915,1750
ใช้,5969,1748
ลง,4760,1779
ต้นไม้,7338,1691
ชื่อ,3762,1807
มอง,4605,1760
เล็ก,4749,1751
ความสุข,5952,1708
กลับ,3789,1770
สามารถ,4823,1733
พูด,6100,1685
ออก,3945,1737
ช่วยเหลือ,6755,1626
ฉัน,10945,1467
เจ้า,18823,1177
รีบ,4425,1667
เสมอ,3706,1687
ยิ้ม,4325,1665
คน,5372,1622
ดู,3771,1670
ยังคง,4303,1648
ขอบคุณ,4279,1642
จึง,4248,1642
ใช่,3802,1649
สวยงาม,4151,1631
ณ,1831,1686
เข้าไป,4030,1600
เคย,3533,1614
ฟัง,3980,1588
อยาก,4279,1570
ดีใจ,3294,1600
บ้าน,6100,1503
น้อง,23792,830
เต็มไปด้วย,2851,1531
มาจาก,3219,1516
เพราะ,2846,1498
ไว้,3020,1492
อีก,2968,1493
อาศัย,2250,1513
อีกครั้ง,2991,1486
ผ่าน,3046,1471
ทุกคน,4192,1421
ลูก,8607,1259
บอก,3100,1434
พยายาม,3383,1423
เด็ก,6424,1318
ใส,10223,1172
เหมือน,3192,1405
พา,3418,1390
วัน,2758,1405
น้ำ,7894,1227
วิ่ง,3454,1360
ใหม่,3537,1354
กว่า,2615,1384
ตาม,2602,1384
ป่า,7215,1217
ต่อไป,2603,1372
กล่าว,4272,1313
หลังจาก,2575,1368
ใกล้,2491,1367
สดใส,2455,1368
ค่อยๆ,2769,1352
ก่อน,2479,1357
ในที่สุด,2443,1351
กลับมา,2747,1335
ผม,5424,1242
ขณะที่,2066,1352
รอบ,2479,1323
สอน,3447,1288
โลก,4713,1241
ร้อง,2960,1296
ด้วยกัน,3583,1270
ตัดสินใจ,2502,1302
ผู้อื่น,3850,1253
สัตว์,4819,1219
