word,count,doc_count
sa,170906,2397
ang,162468,2397
ng,135608,2397
na,127236,2397
at,101547,2397
mga,97536,2396
ay,70672,2395
ni,50152,2377
isang,43742,2391
kanyang,45490,2358
si,42362,2381
niya,32763,2318
may,24540,2352
hindi,20956,2349
siya,23255,2296
ito,16637,2298
araw,12404,2326
habang,9438,2301
kanilang,17644,2163
kung,11664,2215
sila,16415,2115
nakita,10187,2182
lahat,11404,2160
puno,10671,2156
nang,7335,2075
para,8137,1998
maliit,6177,2012
sabi,10488,1949
naging,8239,1967
nila,11450,1883
mula,5159,1968
mo,8928,1907
ngunit,7332,1916
tanong,6653,1902
ko,7941,1872
pa,6177,1870
sagot,8349,1828
puso,8409,1818
batang,4815,1841
malaking,5009,1834
siyang,5776,1817
dahil,5438,1808
rin,4945,1785
mas,5983,1766
alam,4685,1770
kay,5724,1748
ako,6824,1730
kaibigan,6408,1692
ano,4231,1719
mata,3908,1720
niyang,5333,1692
kulay,7612,1639
bawat,5637,1657
bagay,4770,1663
kanya,4863,1648
ka,5191,1640
tungkol,5768,1629
buong,4235,1639
bata,6040,1600
upang,5250,1610
noon,2512,1609
paano,4370,1579
parang,4438,1556
ibang,3987,1557
bahay,5359,1536
buhay,4710,1543
kailangan,4369,1546
lamang,3875,1534
maraming,3782,1531
silang,4937,1513
saan,3506,1522
isa,3802,1511
nito,3500,1513
naman,4420,1494
kahit,3687,1487
laging,4037,1481
pagmamahal,4740,1448
masaya,3577,1462
tao,5574,1429
iba,3934,1440
po,8893,1370
lugar,3659,1443
iyon,3015,1445
naglalaro,3207,1439
din,3253,1423
gusto,3729,1408
loob,3390,1409
kaya,3048,1412
kwento,5391,1372
pagkatapos,2810,1402
sinabi,3296,1391
mundo,4577,1359
kanila,3234,1371
walang,3055,1363
maging,3496,1340
patuloy,3052,1339
bagong,3543,1309
natin,4052,1298
pag-asa,4408,1284
pero,3451,1294
ilalim,2930,1294
ba,2658,1297
kundi,2689,1288
pang,2593,1282
sarili,2612,1278
nasa,2556,1258
tunay,2705,1248
natutunan,2928,1240
tayo,3646,1198
kakaibang,2722,1200
nilang,2953,1188
iyong,3389,1176
sigaw,3143,1175
paligid,2152,1182
lang,2560,1171
ngayon,2140,1174
bulaklak,5306,1126
babae,2568,1158
tuwing,2263,1157
lalaki,2784,1149
lumapit,1980,1148
magandang,2231,1144
kasama,2115,1141
hayop,4834,1094
nagbibigay,2490,1126
buhok,1810,1126
huwag,2060,1121
mahilig,1690,1122
nagsimula,2006,1117
malakas,2084,1110
nakatira,1474,1117
nakikita,2002,1107
gabi,3108,1091
dito,2171,1104
lalo,2040,1104
mayroon,1928,1103
salamat,2161,1089
panahon,2028,1086
naglalakad,1711,1088
bakit,1913,1075
gawa,2233,1058
makita,1796,1053
nagkaroon,2035,1049
saya,2703,1038
oo,2146,1037
o,1737,1041
nagulat,1747,1040
ibon,3711,1007
tulong,2012,1025
mayroong,3003,1011
anong,1804,1024
pagkain,2400,1014
ating,3153,997
ngiti,1760,1012
ngumiti,1791,1009
tubig,2613,997
hangin,2322,995
halaman,3396,971
ilang,1641,995
tumulong,2166,986
palaging,1900,986
liwanag,3697,954
doon,1654,982
hanggang,1528,981
aking,2156,971
inspirasyon,1975,971
gitna,1614,973
ilog,2821,955
lakas,2245,963
dumating,1605,971
bumalik,1508,971
biglang,1784,967
pag-ibig,3177,930
agad,1791,949
kilala,1360,946
kang,1544,934
nagpatuloy,1597,928
dapat,1731,924
oras,1509,927
kasiyahan,1917,921
kapag,1842,920
kayo,2104,913
tila,1804,909
lola,9943,788
itong,1433,906
pagiging,1740,895
wala,1489,894
bituin,3741,861
ganda,1802,885
tulad,1407,888
tabi,1387,885
napansin,1279,884
ikaw,1812,875
mong,1704,874
nagngangalang,1222,874
akong,1486,867
nakakita,1662,860
kong,1607,856
minsan,1566,852
matandang,1812,845
paraan,1358,851
ginagawa,1354,851
kahalagahan,1518,848
kuwento,2850,828
nagiging,1439,841
anak,2604,818
lumang,2658,811
