word,count,doc_count
ve,88278,2745
bir,80843,2745
bu,21359,2710
her,16847,2682
için,13949,2599
çok,15301,2547
en,13126,2563
o,12986,2560
daha,13646,2527
gün,10447,2586
sonra,10206,2556
da,10826,2480
de,11750,2424
ama,10806,2380
gibi,8372,2371
birlikte,9952,2285
dedi,14827,2133
küçük,7496,2287
diye,10049,2199
zaman,6377,2172
güzel,7321,2121
devam,6350,2135
kadar,5470,2114
etti,7477,2046
büyük,6076,2068
ne,6003,2052
başladı,6079,2028
yeni,7957,1959
vardı,5171,1998
minik,7100,1818
olan,4358,1889
doğru,4723,1869
sadece,4360,1835
çünkü,3830,1843
dolu,4261,1770
onu,4200,1756
onlara,5159,1711
gözleri,3317,1764
ise,4233,1689
önce,3253,1692
olarak,3781,1673
artık,3591,1676
ona,4027,1660
şey,3398,1679
oldu,3840,1656
ki,3487,1665
diğer,4989,1617
olduğunu,3409,1657
ben,4661,1610
değil,3189,1619
onun,4256,1555
heyecanla,2865,1583
farklı,4279,1517
verdi,3404,1538
hiç,2871,1554
tüm,3976,1516
günden,2313,1559
sordu,3604,1513
hemen,3281,1521
içinde,2802,1515
ancak,3767,1483
onları,3211,1498
yardım,4493,1418
çocuklar,6376,1339
güneş,3253,1434
mutlu,2976,1418
sonunda,2430,1434
rengarenk,2725,1420
iyi,2948,1401
altında,2883,1389
geldi,2545,1390
aynı,2750,1382
onların,3246,1323
nasıl,2953,1328
gülümsedi,2716,1333
uzun,2608,1331
arasında,2245,1328
mi,2641,1308
yanına,2201,1317
biraz,2632,1302
üzerinde,2443,1287
ettiler,2879,1273
onlar,3000,1236
kocaman,2471,1237
var,2438,1223
ilk,1993,1228
karar,2117,1212
hep,2211,1172
yaşayan,2074,1171
dans,3077,1127
önemli,2049,1151
zamanda,2152,1142
sen,2289,1136
evet,2590,1125
baktı,1962,1133
şekilde,1732,1132
başladılar,2079,1119
ile,2079,1110
eski,2793,1072
birbirlerine,2238,1089
sabah,1751,1102
yer,1825,1095
çıktı,1750,1080
sevgi,2831,1025
elif,12628,720
kendi,1976,1040
ormanın,4458,957
adı,1447,1045
ayşe,9327,781
biri,1698,1017
yemyeşil,1323,1023
yine,1824,1007
anlattı,1807,1007
geri,1785,1003
aldı,1633,1006
oyunlar,2077,991
bugün,2073,986
gözlerini,1561,989
geçti,1477,979
macera,1958,960
ediyordu,1420,970
gizemli,2458,937
doluydu,1414,968
sanki,1686,959
oyun,2469,931
harika,1825,946
zamanlar,1115,964
herkes,1760,942
benim,1736,942
şeyler,1512,946
güneşin,1807,934
ormanda,2684,900
böylece,1347,941
merak,1475,933
dünyanın,1694,924
şimdi,1727,922
sonsuza,1429,929
etmek,1584,924
gibiydi,1407,927
bağırdı,1611,919
renkli,1854,910
merakla,1255,921
etmeye,1436,914
hem,2588,874
hayal,2120,886
mı,1601,901
bile,1329,908
burada,1503,901
teşekkür,1486,901
yaşlı,1687,893
günler,1238,902
sihirli,3600,826
yere,1353,895
kalbi,1439,892
olmak,1623,882
yola,1322,891
annesi,2732,841
parlak,1439,872
hikayesi,1771,859
cesur,2235,844
fark,1214,873
üzerine,1284,863
şaşkınlıkla,1149,863
tekrar,1303,853
değildi,1154,849
boyunca,1233,845
etrafında,1245,843
sevdiği,1172,843
altın,1755,824
meraklı,1131,842
son,1261,831
belki,1626,817
birçok,1590,817
ağaçların,1396,818
olmuştu,1171,824
ağacın,1787,802
özel,1351,812
çocukların,2108,784
merhaba,1364,804
kaldı,1176,802
çalıştı,1269,793
derin,1232,792
bazen,1733,773
gizli,2424,749
sesi,1281,784
dünyayı,1452,777
şeyi,1168,784
yavaş,2021,756
sana,1277,776
bilge,2493,738
senin,1353,773
kalbinde,1187,774
büyülü,1911,748
deniz,6915,591
gördü,1193,763
buldu,1212,759
çocuk,1616,743
yaklaştı,1054,755
neşeyle,1108,749
etrafına,1043,751
sevinçle,1041,750
biz,1397,738
başını,1027,743
sırada,994,744
verdiler,1296,732
çocuklara,1589,718
su,1671,714
yavaşça,1009,729
parıldayan,1098,725
arkadaş,1387,715
hepsi,1054,722
tatlı,1534,706
yol,1068,719
kırmızı,2138,685
sevimli,1224,711
köyün,2709,660
asla,1021,711
yeniden,1277,700
süre,977,702
yeşil,1356,690
hikaye,1403,684
seni,1235,688
derinliklerinde,995,694
sayesinde,1021,692
olduğu,906,690
dek,1022,686
çiçekler,1269,675
döndü,890,683
karşı,1202,670
yaşamaya,923,678
gerçekten,971,674
can,4779,555
tam,855,676
parladı,850,676
mutluluk,1090,667
an,898,662
orada,962,658
orman,1608,637
maceralara,1001,655
hayran,924,657
açtı,877,656
neden,950,652
anda,886,652
dikkatle,883,651
oldular,1041,646
gerçek,1088,642
yaptı,1005,644
gece,1326,633
yanında,847,647
dünya,1050,640
arkadaşları,1564,624
düşündü,984,641
destek,1150,635
görünce,882,643
kez,906,641
eğlenceli,1180,632
mavi,1982,603
başka,882,637
gökyüzünde,1534,616
istiyorum,979,632
onlarla,968,632
ortasında,773,637
ağaçlar,967,630
maceralar,914,628
içinden,901,628
hatta,846,621
cevap,1019,614
ses,1063,612
gökyüzüne,1220,606
maceraları,988,613
tıpkı,898,615
kız,1031,609
umut,1427,596
gökyüzü,1021,607
onunla,977,604
hayvanlar,1513,585
böyle,782,607
ertesi,701,609
anne,2014,566
gelen,856,602
köy,1667,576
yerine,816,601
yüksek,909,596
parlayan,894,595
elif'in,2862,533
birkaç,770,595
rüzgar,1348,577
parlıyordu,733,594
cesaret,1095,580
pamuk,3533,504
neşeli,955,584
bana,926,584
elbette,827,587
sarı,1115,578
koştu,803,587
ardından,755,586
içindeki,856,582
pembe,1109,574
geldiğinde,833,580
ormana,1080,570
yaşadığı,818,578
hayat,820,576
bütün,910,573
değerli,826,574
güçlü,955,567
gülümseyerek,810,571
olabilir,817,569
akşam,794,569
sevgiyle,903,561
yapmaya,874,561
söyledi,822,562
ışık,930,557
ağaç,1312,545
eder,785,560
hayranlıkla,718,561
hoş,831,557
yakın,652,562
dostluk,1115,543
babası,1703,523
gösterdi,736,550
köyde,1138,537
karanlık,1125,537
şarkılar,909,539
birbirinden,729,544
varmış,1020,534
dinledi,762,541
büyüdü,717,541
birden,680,542
araya,757,536
eden,785,534
ediyor,710,536
çiçeklerin,943,527
garip,836,529
heyecan,705,532
dikkatli,799,527
kötü,1306,511
kullanarak,910,523
buldular,965,519
peşinden,870,520
neşe,877,519
sahip,691,523
çocukları,963,514
olacak,702,522
bulmak,780,517
biliyordu,618,522
yaşarmış,596,517
kuşlar,821,510
gücünü,784,511
