word,count,doc_count
һәм,10158,887
иде,9580,822
ул,8877,881
белән,7667,893
бик,7070,811
алар,6486,858
бер,5680,904
аның,5081,816
зур,3365,759
да,3407,754
бу,3385,743
дип,2965,677
күп,2307,685
дә,2055,681
аларның,2228,631
өчен,1879,626
булып,1740,616
мин,2578,530
булган,1952,581
булды,1664,604
иң,1662,599
кечкенә,1613,582
матур,1822,563
диде,2191,514
шулай,1147,568
яңа,1668,514
аны,1379,531
турында,1542,500
көнне,1037,544
итеп,1065,540
көн,1138,530
ләкин,1563,490
аңа,1478,487
бар,1045,524
генә,1055,514
үзенең,1343,477
без,1737,439
төрле,1220,468
соң,969,481
яхшы,1296,450
ә,1289,448
шул,1111,463
кояш,1283,446
башлады,1061,463
кебек,1021,465
торган,1193,447
бергә,1151,445
кызыклы,1244,433
ярдәм,1299,428
алып,870,449
аларны,893,435
тагын,1021,408
яшәгән,740,424
карап,810,406
килде,685,405
килеп,709,400
чөнки,729,394
итте,751,392
бирде,783,387
әмма,876,377
ничек,773,385
син,1198,340
җылы,969,356
безнең,1022,349
янына,648,377
китте,641,362
һәрвакыт,761,351
башка,635,358
сорады,655,356
арасында,696,352
алды,596,353
анда,606,350
нинди,639,345
вакыт,597,348
күзләре,556,349
җавап,654,339
бөтен,692,335
авылда,812,320
бер-берсенә,768,323
аларга,814,313
һәр,681,319
кирәк,576,328
исеме,511,330
кызыл,945,289
үз,604,318
ак,967,283
балалар,930,286
яшел,906,288
минем,813,295
ук,507,319
көчле,635,306
күрде,590,308
авыл,896,276
карады,560,305
калды,484,311
әйтте,661,292
торды,512,297
тулы,548,292
янында,513,292
барлык,660,277
вакытта,441,296
сөйләде,514,289
тора,456,292
кыз,580,280
нәрсә,555,278
урман,987,239
килә,421,289
чыкты,418,281
таба,464,275
дәвам,457,275
күңелле,543,266
тиеш,453,271
яраткан,425,271
кошлар,627,252
беренче,422,263
астында,521,254
әле,459,257
инде,430,259
итә,406,254
көннәр,390,252
кара,492,242
кеше,453,244
су,641,225
булырга,405,246
башладылар,386,246
була,385,246
берничә,358,248
бала,449,236
чәчәкләр,530,228
итәргә,394,239
агачлар,381,240
барып,382,237
гына,341,239
түгел,375,235
якты,391,233
күк,519,221
килгән,328,237
авылның,956,181
агач,510,219
тиз,360,230
барысы,398,226
малай,459,218
бәхетле,412,221
нурлары,340,227
урманга,501,211
яшәүче,730,190
хәзер,346,224
йөри,326,225
акыллы,380,219
эчендә,422,215
кешеләр,413,214
менә,391,215
авыр,388,213
алтын,630,191
үзләренең,394,212
зәңгәр,463,204
әмир,1517,110
әнисе,575,193
сез,438,205
урманда,691,181
ике,374,209
булдылар,350,209
җил,525,193
исемле,264,211
күңел,335,204
уйнап,337,203
шуннан,279,207
әйе,389,197
бераз,327,201
юк,327,201
рәхмәт,323,201
уеннар,450,188
кенә,458,187
дигән,434,189
аша,330,198
озын,328,198
булса,290,201
аңлады,316,198
күрә,306,198
икенче,266,201
озак,298,198
синең,429,185
тәмле,492,179
яши,298,196
безгә,342,190
үзен,307,193
икән,304,193
үтте,266,196
кына,260,194
миңа,384,182
бергәләп,395,181
үзе,251,192
әлбәттә,280,189
барды,280,188
якын,250,190
дуслар,356,180
күңеле,304,184
шатлык,319,182
күреп,295,183
уйлады,253,185
юл,281,182
иттеләр,303,178
дуслары,363,172
берсе,267,179
җир,401,167
елга,496,158
кар,899,121
күз,247,179
заманда,197,183
җырлар,325,170
серле,536,151
тик,276,173
шат,257,174
өстендә,295,170
йөрде,255,171
тырышты,264,170
җиргә,261,170
әгәр,245,171
бүген,262,169
куйды,225,172
каршы,237,170
белә,234,170
тавыш,296,164
ярата,242,167
көч,275,164
яшь,281,162
бара,239,165
уйлап,279,161
булмаган,228,165
елмаеп,261,160
киттеләр,219,163
уйнарга,276,157
аннан,242,159
теләде,240,159
булуын,227,160
сезнең,328,151
тапты,212,161
җирдә,237,158
әни,409,142
җылылык,292,152
уйнадылар,245,155
кычкырды,267,153
елмайды,244,155
монда,274,152
сиңа,294,150
ала,203,158
шунда,223,156
исә,217,156
табигать,291,149
үзенә,201,157
әтисе,455,134
булыр,219,155
хәтта,217,155
авылга,303,147
беркайчан,219,153
буе,218,153
тыныч,211,151
кыш,433,131
башта,212,150
җитте,198,151
саен,202,150
яшәде,207,149
көннән,184,151
күбрәк,225,147
серләрен,419,129
сүзләрен,279,141
нык,210,146
барысын,197,147
хис,236,143
ерак,195,146
йомшак,247,141
ни,211,143
бирә,199,144
күңелендә,212,142
яктылык,234,140
кереп,197,143
белергә,274,136
кайтып,194,143
иделәр,222,140
икәнен,211,140
сары,289,133
чыгып,210,140
йөрәге,203,139
табигатьнең,275,132
әби,565,106
сезгә,225,136
әкият,331,125
башлап,162,140
дөнья,194,137
әллә,201,136
күзләрен,189,137
кышкы,447,114
мәхәббәт,297,127
чыктылар,179,137
әйдә,220,133
салкын,217,133
хайваннар,368,119
уйный,214,131
барырга,178,133
күрергә,207,130
шатланып,193,131
матурлыгын,339,118
көне,210,129
алган,187,131
бервакыт,164,133
күккә,264,124
калган,182,131
һәрбер,236,126
шуңа,179,131
тыңлап,212,128
искиткеч,221,127
күрсәтте,176,131
уйнады,175,131
беркөнне,174,131
җиңел,211,127
ачык,193,128
кинәт,186,128
утырып,160,130
киткән,186,127
нәрсәләр,232,122
тапкыр,160,128
китә,177,125
биек,197,123
сәяхәт,272,116
кешеләргә,211,121
җиткәч,163,125
аннары,207,121
дуслык,243,116
кадәр,150,124
алдында,158,123
кайтты,146,124
олы,268,113
тотып,166,122
тә,159,122
мөмкин,165,121
күрделәр,198,118
алдылар,153,122
урында,174,120
ачып,182,119
әйдәгез,203,117
