word,count,doc_count
بىر,12179,1077
بىلەن,9783,1041
ۋە,10438,941
بۇ,6536,998
ئىدى,6693,946
ئۇ,7385,872
ئۇنىڭ,5013,867
ئۇلار,5826,775
ھەر,4404,884
كۈنى,2674,866
بار,2444,845
ئۇلارنىڭ,3417,708
ئۈچۈن,2647,756
قىلدى,2343,739
دېدى,3295,624
بولۇپ,1816,749
مەن,2854,624
ياخشى,2497,640
ئۆزىنىڭ,2450,644
يېڭى,2448,638
كىچىك,2061,666
دەپ,2368,609
يەنە,1449,615
بەردى,1571,584
ئەڭ,1522,588
كەتتى,1228,611
باشلىدى,1412,585
كېيىن,1279,591
بولدى,1447,574
چوڭ,1478,570
گۈزەل,1539,556
ئېلىپ,1347,556
بىز,2101,489
كۆردى,1218,556
بېرىپ,1079,545
قالدى,1081,539
قىلىپ,1021,542
قاراپ,1176,525
كەلدى,1040,531
كۈن,1182,495
خىل,1164,483
ھەممە,1173,474
قانداق,957,488
يېشىل,1337,451
ئۇنىڭغا,1177,460
نېمە,1007,464
ئىسمى,713,484
كېلىپ,780,466
ھېس,995,445
تۇراتتى,815,460
ئەمما,1089,435
ئىچىدە,831,451
تېخىمۇ,986,435
كۆپ,827,449
كۆرۈپ,791,442
بولغان,732,440
ۋاقىت,839,418
يەردە,830,414
خۇشال,962,401
لېكىن,909,405
ئۆز,916,400
ئۇلارغا,886,401
چىقتى,643,415
قىلاتتى,794,399
شۇ,848,394
ياردەم,1039,375
كېرەك,855,387
چۈنكى,712,396
خۇشاللىق,874,379
نۇرغۇن,827,383
قېتىم,641,398
ئۇنى,770,369
چىقىپ,605,379
سەن,930,345
ھەققىدە,785,357
سورىدى,837,345
شۇنداق,632,362
ئۇزۇن,683,357
باشقا,682,356
تۇرۇپ,588,364
بىللە,617,345
ئېيتتى,682,339
بولسا,580,346
ئېسىل,708,327
ئەگەر,613,333
يەرگە,565,336
قايتىپ,556,335
قىزىقارلىق,779,315
يېنىغا,533,336
ئوخشاش,523,336
بالىلار,890,293
ئۇلارنى,569,317
مېنىڭ,686,306
قارا,743,297
يېقىن,481,320
كۆزلىرى,482,318
ھېكايە,599,306
ئۈستىدە,528,312
ئەمەس,471,315
ئىكەنلىكىنى,564,306
تولغان,484,313
قىزىل,989,268
نەرسە,514,308
جاۋاب,676,293
كۈچلۈك,474,310
ئۆزلىرىنىڭ,671,292
بەك,780,282
بىرلىكتە,659,289
ھەيران,489,304
بىر-بىرىگە,552,298
ئۆتۈپ,420,303
سۇ,785,270
قىلغان,416,298
ھېكايىسى,486,287
ئىنتايىن,627,271
نەرسىلەرنى,489,283
كۆك,691,264
يوق,435,281
يېتىپ,450,269
ھەممىسى,425,271
قىلىش,435,270
ئۈچ,660,248
يەر,576,255
ئالدى,379,272
بارلىق,414,268
ئۆزىگە,402,267
ئۈمىد,500,258
قۇياش,600,248
ئارىسىدا,386,264
قىلىشقا,419,261
چىرايلىق,564,244
ئويۇن,743,226
بىرگە,537,244
بىرى,388,257
ئاخىرىدا,390,256
ھەمدە,443,250
ئېيتىپ,441,249
قويدى,359,256
شۇنىڭ,374,254
قىز,464,246
ياشايتتى,308,256
بولىدۇ,350,252
يېنىدا,361,250
ئاڭلاپ,369,249
گۈل,762,213
ئۆزىنى,388,246
رەڭلىك,473,238
مۇھىم,350,246
يەنىلا,377,243
ئېگىز,404,237
ئىش,377,237
كەلگەن,315,241
ئارزۇ,439,229
سېنىڭ,518,222
ئارقىلىق,374,233
ئاندىن,373,233
نەچچە,326,237
ئاستىدا,362,230
چۈشۈپ,315,233
سىرلىق,806,189
ئولتۇرۇپ,331,230
ئۆتتى,313,231
كىچىككىنە,505,214
قويۇپ,319,226
ناھايىتى,407,218
بىزنىڭ,404,214
ئەمدى,333,220
ئىگە,327,219
چوڭقۇر,355,215
ۋاقىتتا,290,219
بالا,462,203
ھەمىشە,367,207
سۆزلەپ,315,211
ئالدىدا,272,212
بىزگە,346,205
ياش,343,204
ھەم,365,202
ئويناپ,305,205
ھەتتا,275,207
قالغان,271,207
ئالاھىدە,287,204
ھەقىقىي,315,200
ئاق,428,190
باردى,283,202
كەتكەن,282,202
تاپتى,299,199
تېز,350,194
ياكى,321,196
قارار,286,199
سىز,465,183
ئىچىگە,275,198
ئۆيىگە,304,192
ھېچقانداق,258,196
ئۆزگىچە,420,180
ھەقىقەتەن,255,194
پەقەت,271,189
ئالتۇن,551,163
ئۆگەندى,290,186
بالىلارنىڭ,317,182
قارىدى,268,186
قۇش,683,149
يۈز,253,186
دادىسى,657,150
يول,297,181
دوست,350,175
دېگەن,275,180
تۇرغان,241,183
سىلەر,336,174
ھەرگىز,301,177
گۈللەر,348,172
ئايلاندى,252,180
ھالدا,265,178
دائىم,282,176
كۆرسەتتى,245,179
ئويلاپ,257,177
دوستلىرى,333,169
ئاستا-ئاستا,263,175
ھەرگىزمۇ,271,174
ئەلۋەتتە,291,172
نۇرى,279,172
تۇردى,255,174
ئۇنىڭدىن,231,175
بۈگۈن,287,170
ئاڭلىدى,232,174
كۈلۈپ,284,169
كۈلۈمسىرەپ,293,168
ئۇيغۇر,381,159
كۈندىن,206,174
ئوينىدى,271,168
ئۈستىگە,232,171
ياشايدىغان,295,165
مۇمكىن,249,169
ئىشلارنى,246,169
باشلاپ,208,172
ئايلىنىپ,248,168
ئاخىرى,248,168
قىزغىن,236,169
بالىنىڭ,256,165
ئىككى,255,163
شۇنداقلا,208,167
شۇڭا,250,162
كىردى,215,165
كۆرەتتى,229,163
رەھمەت,237,162
قەلبىدە,266,159
ئاۋاز,296,156
قايسى,239,161
ئاۋازى,282,157
قۇشلار,356,146
قىلىدۇ,225,157
مەڭگۈ,228,155
ئۆيگە,263,151
ئۆيدە,256,151
ئېرىشتى,207,155
ھازىر,217,154
قىلىدىغان,193,156
دەريا,406,137
تاغ,371,140
پەيدا,231,152
ئوينايتتى,206,154
بولۇشى,201,154
گۈزەللىكىنى,299,145
ئۆگەتتى,218,152
بولسىمۇ,200,152
تاغنىڭ,478,127
ماڭا,245,147
كىشىلەر,243,147
بىلىپ,191,151
چىققان,208,149
ئەتىگەندە,174,152
ئېچىپ,217,148
ھېكايىلەرنى,225,146
ئۇچۇپ,300,139
ئېنىق,186,149
كۈچى,206,147
ئەتراپىدا,211,146
دەرھال,197,147
دوستلۇق,241,143
ئۆسۈپ,207,146
قانچە,182,147
بويىدا,261,140
ئۇنتۇپ,193,146
ئائىلە,296,136
ئاز,185,145
بېرىش,201,143
سىلەرگە,246,139
چاغدا,176,145
مۇھەببەت,278,135
بۇنى,181,143
يۇقىرى,203,141
سېھىرلىك,481,116
سۆز,188,141
سېرىق,265,134
يۈگۈرۈپ,201,139
ئەقىللىق,224,136
قورقۇپ,211,137
كۆزى,185,139
كۆرىدىغان,195,138
پۈتۈن,227,135
ئويلىدى,208,136
باشقىلارغا,241,133
كۈچ,195,137
تېپىپ,194,137
كېيىنكى,170,138
ئانىسى,326,124
بولاتتى,174,137
يۈرۈپ,249,130
قىلىشنى,181,136
نۇر,223,132
ئىكەن,254,129
بېرىدۇ,185,135
كۆڭۈل,196,134
ھايات,196,134
خۇشاللىققا,193,134
ساقلاپ,186,134
كۆز,183,134
قەلبى,171,135
ئېغىر,204,132
شەھەردە,240,128
كېتىپ,171,134
ھالەتتە,187,131
ئويناشقا,182,130
قۇشلارنىڭ,270,122
ئۆي,222,126
كۆرگەن,164,131
ھېكايىسىنى,207,127
ئۆز-ئارا,269,121
مېنى,183,127
ئۆزى,168,128
ئائىلىسى,195,125
مۇنداق,246,120
قېلىپ,173,126
نەرسىنى,169,126
قارشى,180,125
يېرىم,197,123
كەلگەندە,150,127
ئۆيىنىڭ,163,125
بالىلارغا,184,123
كۆلنىڭ,457,98
چوقۇم,193,121
تۇتۇپ,170,123
ھاياتى,164,123
ئازراق,155,123
تولدى,152,123
قاراڭغۇ,206,118
ئاتا-ئانىسى,226,115
تېزلا,162,120
دوستى,178,118
ھەئە,192,116
قايتا,158,119
يولغا,169,118
بىلەتتى,156,119
ئەتراپىدىكى,181,116
پارقىراپ,155,118
بەرگەن,162,117
قاتتىق,150,117
كۈنلەر,153,116
ئالدىغا,140,117
كىرىپ,150,116
ھەرىكەت,159,115
سىزگە,177,113
ئادەم,171,113
ئاجايىپ,200,110
كۈچىنى,165,113
ئىسىملىك,134,115
كىتاب,273,102
ھايۋانلار,212,107
خېلى,144,113
بولۇش,143,112
كىشى,186,108
بۇنداق,134,112
خۇش,153,110
خۇشاللىقى,140,111
قىلىمەن,147,110
ھەرخىل,158,109
توغرا,139,110
بۇرۇن,138,110
چاقناپ,137,110
دۇنيانىڭ,207,103
مەكتەپتە,178,105
ئۆتكەن,127,109
كۈندە,134,108
ياردەملەشتى,153,106
كۆرسىتىپ,139,107
دۇنيانى,171,104
بەلكى,134,107
بىرىنچى,133,107
يۇمشاق,143,106
گۈللەرنىڭ,216,99
ۋاقتى,123,107
ئارزۇسى,156,104
بۇنىڭ,132,106
ئەتىسى,130,106
ئەركىن,429,79
يالغۇز,154,103
ئۆينىڭ,172,101
تاتلىق,182,100
يېزىلغان,169,101
كىشىلەرگە,155,102
ياشىغان,177,100
قوشۇلدى,129,104
تۈرلۈك,148,102
تاش,203,97
كېلىدۇ,132,103
يۈگۈردى,142,102
ياخشىلىق,241,93
بالام,207,96
تىرىشتى,138,102
ئاۋازىنى,135,102
گۈلنار,689,53
بىلدى,154,100
ھاياتنىڭ,142,101
ھاياتىدا,115,103
چۈشەندى,137,101
يىل,193,96
دەرەخلەر,151,99
ئولتۇردى,117,102
گۈلنىڭ,238,91
يېنىدىكى,124,101
قىزىقىپ,122,101
يۈرىكى,132,100
ئەھمىيەت,132,100
كۈلدى,132,100
بارلىقىنى,135,99
قوبۇل,121,100
خاس,130,99
تەييارلىق,128,99
نېمىشقا,126,99
ئىچىدىكى,124,99
ۋەدە,135,98
تاغلارنىڭ,267,86
ئوقۇپ,141,97
كەچتە,141,97
چۈشتى,118,99
رەڭدە,129,98
رەڭگى,160,95
يەتتى,111,99
گۈزەللىكى,144,96
ھاياتىنى,121,98
سۇنىڭ,184,92
دۇنيا,136,96
خەۋەر,131,96
زور,139,95
شۇنىڭدىن,105,98
سېنى,127,96
بايقىدى,127,96
يېنىك,124,96
سىلەرنىڭ,132,95
يورۇق,131,95
ئورنىغا,118,96
بېرىشكە,117,96
قىزغىنلىق,126,95
كۈنلەردە,121,95
دوستلۇقى,139,93
قايىل,114,95
ھېچكىم,110,95
بىراق,129,93
قويغان,106,95
تەبىئەت,173,89
ئەگىشىپ,115,94
ئالغان,114,94
دادا,271,80
بىرىنىڭ,135,92
ئويلىنىپ,134,92
چىقاردى,109,94
ئىزدەپ,142,91
ئىلگىرى,106,94
قانچىلىك,122,92
سىرىنى,200,85
دوستلار,129,91
بېرىشنى,117,92
ئاسان,105,93
ئاتا,150,89
بولسۇن,116,92
يۈردى,125,91
ئايشە,508,57
ئۇنداقتا,119,91
ئوينايدىغان,117,91
يەنى,104,92
كىشىلەرنىڭ,149,88
بەزى,137,89
كۆرىمەن,124,90
دەرەخ,177,85
ئويۇنلارنى,142,88
دىققەت,106,91
ئەسلىگە,117,90
ئېھتىياجلىق,115,90
ئويناۋاتقاندا,114,90
خۇددى,113,90
شەھەرنىڭ,224,80
ئاسمانغا,132,88
ئۆگىنىش,141,87
سېلىپ,106,90
كۈلكە,136,87
يېقىنلاشتى,110,89
يۈزىگە,117,88
كۈلۈمسىرىدى,135,86
قەدىمكى,177,82
ئويناشنى,119,87
دەيدۇ,333,68
ئۆيى,104,88
تۇنجى,103,88
گەپ,113,87
سۆزلىرىنى,123,86
ئادەملەر,121,86
يۈزىدە,117,86
تەسىر,105,87
ئادەمنىڭ,116,86
ئويناش,127,85
شەھەر,172,81
قۇياشنىڭ,172,81
ھېكايىلەر,126,85
جايدا,171,81
كۆرۈش,112,86
شەھەرگە,145,83
كۆل,203,77
ئۆيىدە,112,85
ئەخمەت,530,48
تاغقا,190,78
قەدەر,110,85
توغرىسىدا,120,84
ۋاي,141,82
ئورمان,163,80
ئورماندا,173,79
يولدا,116,84
بىرلا,104,85
سۇغا,126,83
قىممەتلىك,113,84
ھەممىنى,101,85
سىزنىڭ,111,84
قايتىدىن,122,83
ۋاقتىدا,110,84
ئاسماندا,119,83
ھاياتىنىڭ,94,85
قورقۇنچلۇق,139,81
ئاي,285,68
قىلىمىز,115,83
يېمەكلىك,137,81
ئاچتى,91,85
نەرسىلەر,124,82
ئۈستىدىن,101,84
قارىغاندا,99,84
ئەينى,109,83
ئېقىپ,115,82
كۆرۈشكە,101,83
ئوخشىمىغان,112,82
ھېكايىلىرىنى,119,81
كۆپلىگەن,130,80
ئەتراپتىكى,104,82
ئىشلىتىپ,103,82
دادىسىنىڭ,158,77
ئېرىشكەن,99,82
مەكتەپكە,144,78
ئېلان,106,81
تولۇپ,102,81
گۈللەرنى,111,80
قىزچاق,156,76
ئاكتىپ,99,81
دۇچ,110,80
ئايشەم,503,45
ئەھمىيىتىنى,107,80
ئۆز-ئۆزىگە,118,79
ئالما,378,56
ئېھتىيات,116,79
ئۆتكۈزدى,88,81
يۈرەتتى,97,80
ياردىمى,94,80
تەييار,93,80
ئورماننىڭ,171,73
دەرەخنىڭ,148,75
يېزىدا,124,77
ئۆسۈملۈكلەر,112,78
بۇنىڭدىن,89,80
تەسەۋۋۇر,110,78
ئەلەيكۇم,131,76
يەرنى,107,78
بەلكىم,95,79
ئوتتۇرىسىدا,94,79
بويىچە,127,76
ئورنىدىن,93,79
مۇھىملىقىنى,104,78
كۈننىڭ,99,78
داۋاملىق,98,78
بىر-بىرىنى,120,76
قولىنى,97,78
بولۇشنى,104,77
ئۇنداق,92,78
تۆت,169,71
كېلىدىغان,89,78
ئىشقا,97,77
ھەممىسىنى,97,77
بالىسى,142,73
مەنىسىنى,111,75
ئورۇن,88,77
چاچلىرى,96,76
چۈشەندۈردى,104,75
بولغاندا,91,76
تاپقان,89,76
يۈرگەن,98,75
بىرەر,97,75
تولۇق,97,75
ھېچقاچان,85,76
يوشۇرۇن,163,69
سۆيۈملۈك,135,71
دەريانىڭ,157,69
قىلىشى,84,75
يۈزى,84,75
ئۇنىڭدا,92,74
سۆزلەرنى,112,72
يىللار,89,74
تۇرىدىغان,95,73
ئورمانغا,150,68
تاماق,116,71
نېمىلەرنى,93,73
قەلبىنى,92,73
ئاخىرقى,101,72
كىم,101,72
بولغاندىن,87,73
قىزىق,120,70
ھۆرمەت,108,71
بولۇشقا,84,73
سالام,115,70
قولىدا,90,72
يۈرىكىدە,101,71
ئاخىرلاشتى,76,73
ئۈزۈم,200,62
تۇرمۇش,109,70
قەدىمىي,119,69
ئېلىش,84,72
بىر-بىرىنىڭ,116,69
سىرى,125,68
داۋاملاشتۇردى,91,71
توپ,121,68
يەردىكى,87,71
يەردىن,86,71
چۈشىنىپ,97,70
چىقىشقا,85,71
ئوتتۇرىغا,84,71
ھەرقايسى,95,70
يېتەرلىك,80,71
ئۆزئارا,102,69
ئاستا,102,69
بىر-بىرى,124,67
يېقىنلاشقاندا,88,70
سۆزلەر,86,70
ئەسلىدە,85,70
ئوقۇدى,96,69
مېۋە,118,67
خۇشاللىقىنى,83,70
گۈزەللىك,103,68
كۆتۈرۈپ,79,70
ياردەملىشىپ,90,69
قەلبىگە,75,70
بېرىدىغان,86,69
ئۆزگىرىش,93,68
بىزنى,92,68
ئاسمان,114,66
ئانا,170,61
ھاۋا,76,69
ئوخشايتتى,87,68
ئىشنى,86,68
يېزىنىڭ,139,63
بولغانلىقىنى,82,68
بۇلار,92,67
رازى,92,67
ئەتراپىغا,80,68
يۇلتۇزلار,180,59
سەل,87,67
سۆھبەت,98,66
ماڭدى,86,67
ھېكايىنى,97,66
ئۈچىنچى,84,67
ئەزەلدىن,84,67
يېدى,82,67
چاي,127,63
رەسىم,183,58
تىرىشىپ,80,67
باشلاندى,80,67
سىرلىرىنى,181,58
قار,327,45
ئىشلار,78,67
دەرەخلەرنىڭ,87,66
تېخى,87,66
يۇلتۇز,323,45
دوستلىرىغا,82,66
ياسالغان,80,66
بىلىم,136,61
ئەسسالامۇ,79,66
باغچىدا,101,64
جايغا,89,65
دۇنياغا,111,63
ھەممىگە,76,66
شامال,98,64
ئاستىدىكى,109,63
ئويلايتتى,75,66
چىقىرىپ,97,64
چۈشكەن,97,64
تېپىش,96,64
سالدى,83,65
ياشقا,70,66
ئېتىپ,80,65
بېرەي,78,65
يېقىنلىشىپ,78,65
كۈتۈپ,75,65
ئۇچراشتى,86,64
ساڭا,108,62
قۇلاق,119,61
قىسمى,85,64
قىزىقىش,72,65
تۇرىدۇ,83,64
مەسىلەن,83,64
يىراق,82,64
يېقىملىق,101,62
بېرەتتى,78,64
ئۆگىنىشكە,89,63
سۆزلىرى,76,64
بىلدۈردى,74,64
بېشىنى,74,64
ئادەتتىكى,73,64
ئىلھام,94,62
بويى,71,64
مېڭىپ,80,63
ئوچۇق,79,63
ياشايدۇ,90,62
بولمىغان,78,63
ياز,98,61
نۇرىدا,86,62
كۆرۈندى,74,63
سېھرىي,175,54
ئۈزلۈكسىز,83,62
تەرەپكە,71,63
بولىدىغان,71,63
قۇشنىڭ,116,59
ئەسلى,82,62
تاشنىڭ,172,54
