word,count,doc_count
اور,85666,2175
نے,78956,2174
کی,67153,2174
کے,63567,2175
اس,53867,2152
میں,52897,2174
سے,45111,2174
ایک,45064,2175
کو,37389,2173
تھا,32942,2162
کا,30642,2168
ہے,29631,2160
وہ,28785,2172
کہ,22940,2153
بہت,22835,2150
کر,19025,2143
کیا,19662,2116
تھے,17246,2100
پر,13933,2090
تھی,15757,2028
ہو,14302,2064
یہ,12671,2093
اپنے,12800,2059
بھی,12051,2067
دن,8712,2090
نہیں,11551,2016
کہا,14700,1936
ہیں,12137,1955
ان,12599,1931
جو,9281,1991
ساتھ,9009,1966
لیکن,8862,1957
گیا,9330,1940
تو,8883,1931
ہوئے,7850,1937
لیے,8852,1904
ہوا,7740,1929
اپنی,8371,1907
اسے,9067,1886
دیا,7074,1903
دیکھا,7284,1893
ہمیشہ,9698,1829
سب,8695,1850
رہا,7352,1873
جس,5443,1900
ہر,6775,1830
خوش,6908,1770
رہے,6750,1772
جب,5743,1776
ہی,5560,1779
خوشی,6951,1742
نام,3858,1814
کچھ,5846,1745
بعد,4902,1722
کرنے,6379,1656
خوبصورت,5089,1680
رہی,5798,1639
گئی,5689,1638
شروع,4310,1641
ہوں,6180,1582
انہوں,9302,1501
سا,3708,1638
گئے,4663,1604
طرح,4532,1598
تھیں,4799,1591
گھر,6007,1556
بڑا,3817,1599
طرف,3983,1577
بات,4135,1560
ہوئی,3970,1564
تم,6618,1495
پاس,4203,1555
پھر,3990,1552
کرتے,4439,1540
کہانی,5568,1499
مدد,7311,1450
گا,4370,1490
جہاں,3062,1487
کوئی,3504,1456
چھوٹا,2772,1456
کرنا,3857,1427
اب,3424,1405
دوسرے,4317,1380
سی,3135,1388
گاؤں,11100,1163
مل,3989,1343
دل,3577,1344
لگا,2818,1341
گے,3992,1305
ہم,5131,1252
وقت,2807,1296
مجھے,3712,1273
دی,2690,1296
کبھی,3208,1280
پہلے,2459,1291
کوشش,3095,1271
لیا,2391,1283
دیکھ,2572,1268
آیا,2502,1262
انہیں,3522,1233
لے,2482,1253
پوچھا,2849,1234
رنگ,3449,1218
کرتا,3083,1219
لوگوں,4595,1160
بارے,3418,1184
رہتا,2242,1210
نہ,2320,1188
بتایا,2827,1175
فیصلہ,2431,1185
کام,3406,1152
صرف,2203,1179
دوست,3213,1144
وہاں,2632,1156
درخت,4082,1114
گی,2896,1141
زیادہ,2254,1137
لگے,2184,1127
بن,2155,1121
سوچا,2292,1117
بڑے,2223,1105
ہمیں,3441,1063
جواب,2306,1086
کسی,2183,1084
زندگی,2678,1071
چھوٹے,2305,1071
واپس,2073,1073
یاد,2114,1066
لوگ,2840,1047
جیسے,2157,1044
محسوس,2138,1043
دوستوں,2994,1014
بچوں,4311,969
آنکھیں,1719,1031
مختلف,2376,1013
چاہیے,2987,995
اچھا,2089,1014
آپ,3475,976
تک,1730,1017
محبت,3179,978
والے,2008,1002
سکتا,1849,1004
ہوتی,1805,1001
بچے,3237,956
آ,1744,988
کرتی,2265,973
سکتے,2073,974
بلکہ,1738,981
جا,1669,972
پانی,3128,928
ہوتا,1658,961
پیار,2053,948
خاص,1699,954
چھوٹی,1911,946
رہتی,1704,949
تیار,1674,940
تمہیں,2102,925
دوسروں,2991,894
بڑی,1620,914
یہاں,1937,900
باتیں,1798,900
رکھا,1530,902
کیونکہ,1411,897
رہتے,1433,890
جانے,1477,885
شکریہ,1562,881
بار,1623,878
دور,1541,880
ختم,1377,882
سورج,1763,872
چیز,1472,878
جگہ,1668,871
پھول,2564,846
لگی,1473,870
چمک,1904,841
باہر,1520,850
ہونے,1331,854
مسکراتے,1456,841
نئی,1767,831
نظر,1416,838
کیسے,1535,832
دونوں,2096,817
کہانیاں,2274,808
رات,2314,797
کریں,1563,816
جاتا,1321,819
میرے,1599,809
ادا,1402,809
خیال,1503,798
جائے,1263,802
دنیا,2678,765
آئی,1261,796
نیچے,1370,793
اندر,1740,782
ہاں,1631,776
آئے,1148,788
کھیل,1866,767
بالکل,1306,778
آواز,1692,768
جنگل,4657,690
اچھی,1498,765
اچھے,1670,758
ایسا,1180,767
نئے,1688,741
بھر,1136,754
آج,1448,744
آسمان,1837,730
دوبارہ,1264,741
اچانک,1091,745
اگر,1229,739
قریب,1080,738
سیکھا,1365,729
ہوتے,1187,721
اگلے,936,726
لڑکا,1132,720
پھولوں,2027,697
سنی,1102,718
کھانے,1530,704
تمام,1307,702
بنایا,1255,703
بنا,1111,706
چاہتا,1291,700
روشنی,2075,679
ٹھیک,1240,698
پسند,1116,700
ہمت,1500,690
سکتی,1308,694
تیز,1293,690
آہستہ,1904,674
تلاش,1465,685
دوستی,2002,666
کتنا,1131,684
درختوں,1388,676
آخر,1040,683
بے,1056,678
مشکل,1147,675
کیوں,960,670
سر,977,669
اہم,996,665
سنہری,1499,645
جمع,1139,654
جاتی,1005,657
آنکھوں,954,657
رہنے,989,652
سمجھ,919,652
حیران,885,650
جان,3444,579
دے,888,643
جانا,947,640
اپنا,966,636
بیٹھ,868,638
والا,983,632
لڑکی,1167,625
کرے,988,628
سفر,2457,589
کیے,937,627
لگ,885,627
علی,7347,461
والی,957,617
ہاتھ,925,617
و,952,615
اکثر,862,617
دیر,902,611
سارے,1084,604
لگتا,939,606
موجود,868,604
لگایا,825,605
نیا,1046,598
دلچسپ,962,599
لی,794,603
تعریف,892,596
کھانا,1234,587
ڈر,1058,589
محنت,1657,573
حاصل,1149,582
جانور,1594,568
راستے,1056,575
کھیلتے,972,576
ہوگا,984,575
قسم,969,575
رہ,741,580
رنگین,1611,556
ارے,1044,570
جلدی,882,574
کار,852,573
حیرت,828,573
بہادر,1584,553
اسی,739,572
زمین,1153,561
صبح,836,569
بیٹا,1342,555
چلو,1088,560
وجہ,885,565
واقعی,802,565
برنگے,776,565
سن,814,564
طاقت,1206,554
میری,1027,558
ایسی,876,561
زندہ,911,560
مضبوط,908,560
کرو,960,558
اٹھایا,788,562
روز,839,559
شام,810,559
صاف,1129,550
سنا,813,558
والوں,1398,543
کرنی,951,553
جاری,787,554
چل,735,552
مزے,1259,538
دیکھنے,766,549
فوراً,908,543
جانوروں,1626,524
غور,742,543
روشن,1039,535
پوری,797,541
مسکرا,815,539
جن,901,536
پریشان,767,538
اتنی,764,538
ضرورت,821,536
جاتے,744,534
عجیب,916,527
سنائی,713,529
بنانے,1003,520
کنارے,1078,517
کیں,735,520
گئیں,718,517
چیزیں,830,513
احساس,736,515
شرارتی,653,516
پہنچ,720,513
ماں,1973,481
سبق,870,509
مزید,814,510
مزہ,912,506
رہیں,810,508
یوں,591,513
ضرور,687,510
وعدہ,725,508
ملا,666,502
جانتا,671,498
طور,671,497
اتنا,655,497
بچہ,886,487
دیکھو,760,486
راز,1407,469
پورے,669,483
واہ,852,474
تھوڑا,669,476
خوشبو,975,468
تمہارے,708,473
کروں,716,469
نکل,597,471
تاکہ,609,470
پیچھے,753,462
بھرا,589,465
کئی,650,463
دیتی,654,462
جادوئی,2018,427
بھری,592,463
آنے,614,460
ہمارے,747,451
بہادری,1142,437
استعمال,948,441
دیں,577,450
بہترین,623,448
شوق,554,448
اوپر,763,441
داخل,621,441
ہنستے,682,438
ابھی,607,439
بہتر,751,434
دلوں,666,436
پتھر,1249,421
سکے,608,437
سال,781,432
حفاظت,983,425
رکھنا,620,432
چلا,553,432
باغ,1845,399
آگے,611,430
راستہ,757,426
جانتے,580,430
سکھایا,662,426
پرندے,1090,415
دیتا,563,428
حوصلہ,684,424
خواب,1390,406
غریب,782,420
خود,574,425
دیکھی,547,425
کتنی,545,424
بال,736,417
سامنے,537,422
اہمیت,814,414
محفوظ,646,418
پھیل,534,419
حصہ,659,415
رہنا,566,417
دنوں,514,418
سارا,1578,390
جائیں,587,414
گلے,522,414
بیٹھا,492,414
ساری,628,410
بنائے,614,409
دیکھتے,594,409
کس,613,408
اڑ,670,406
رنگوں,1192,389
تمہاری,659,402
ذکر,459,407
بند,569,404
رکھتے,519,404
چاہتی,673,399
تھوڑی,546,401
پہنچے,565,400
ضروری,602,397
خوبصورتی,797,392
گہری,520,399
بھال,829,389
کھیلنے,667,393
دو,513,396
جلد,550,395
معلوم,500,396
ذہین,486,394
یا,524,393
آتی,507,393
گزرتا,449,394
لطف,576,390
تیزی,546,390
گرد,526,390
چمکتی,527,388
گر,554,387
متاثر,513,386
شہر,1722,355
یہی,517,385
پڑا,548,382
پیاری,567,380
میرا,561,378
رکھی,467,380
کہاں,520,378
ایسے,536,376
یقین,523,376
اتنے,493,376
دیتے,525,375
کون,519,375
شامل,487,375
درمیان,487,374
انسان,623,367
نرم,504,370
مشہور,498,370
دینے,502,369
مسکرایا,501,369
بدل,498,369
دیے,494,369
خوشگوار,471,368
دراز,439,368
کم,511,366
ادھر,859,357
چمکدار,499,363
ہلایا,473,363
دفعہ,416,364
آتا,452,362
اداس,569,358
شاید,516,358
ہاری,476,356
پتہ,466,356
مثال,498,354
پورا,520,353
کھڑا,433,352
پہنچا,483,350
رکھنے,501,347
فخر,460,348
مہربان,453,348
دھوپ,516,345
گھروں,531,344
بنے,435,346
انتظار,499,344
دیکھے,521,343
خوب,490,343
موسم,890,331
ہلکی,545,339
بارش,1416,316
دار,535,338
ہماری,573,336
والد,1328,315
خطرناک,540,333
آتے,420,336
ثابت,489,334
باتوں,516,333
سچ,774,326
پیدا,455,334
چاہتے,460,333
چلتے,512,330
پیش,450,331
امی,2178,287
والدین,793,320
دادا,2973,264
احمد,4148,234
رکھتا,389,327
بلایا,402,325
خواہش,559,321
بنائی,467,322
امید,583,318
کامیاب,475,319
سبھی,590,316
مسکراہٹ,466,319
دیکھتا,444,317
لمبی,510,314
سبز,571,312
زور,499,313
کمرے,646,307
ستاروں,1315,289
تجسس,424,311
مقابلہ,589,306
کہانیوں,619,305
ہنسی,569,306
خوشیوں,724,302
قائم,412,309
بس,435,306
جانتی,468,305
گھوم,378,306
کپڑے,726,297
جسے,374,305
اٹھا,372,305
چھپا,444,302
چہرے,372,303
خوشحال,475,300
آدمی,1044,285
طریقہ,431,300
صحیح,448,299
مذاق,643,294
چیزوں,447,298
پڑے,375,299
جاؤ,373,298
مت,363,297
وہی,387,294
آؤ,379,294
بزرگ,692,285
سامنا,455,290
نیک,657,284
پرندوں,723,282
پڑی,353,291
آرام,430,288
پھل,586,284
سونے,481,286
سمجھایا,350,289
چلنے,358,288
ستارے,1119,268
آخرکار,356,287
کھیلنا,461,284
دیکھنا,366,286
تھک,364,284
سفید,520,280
پہاڑوں,682,275
بوڑھے,800,270
جی,996,265
پیارے,519,277
مزیدار,471,278
سکھاتی,410,279
بیچ,349,280
چلی,355,279
مند,530,274
بیمار,403,277
مزاج,304,279
سمجھا,332,278
صحت,709,268
خوشیاں,424,275
تمہارا,370,275
کتنے,356,275
اڑنے,521,270
کمزور,363,274
بادل,1301,250
رکھ,340,274
چھوڑ,329,274
بھائی,608,265
دکھائی,328,271
ہونا,325,270
کھلونے,560,264
بیٹھے,317,269
پینے,342,268
سرخ,404,266
تجربہ,360,267
پتے,596,261
گرم,671,259
سکیں,375,266
بھرے,333,267
مہم,517,262
سنائیں,350,266
کتابیں,620,259
چمکتے,427,263
گھنے,301,266
عائشہ,3608,182
میدان,611,258
بولا,410,263
احترام,486,261
بیٹی,680,256
گھاس,578,258
خوابوں,801,252
مانگی,328,264
بڑھ,312,264
غروب,306,264
ننھی,398,260
لکھا,476,258
آئیں,312,262
لگیں,338,260
ندی,597,253
روزانہ,345,259
پودے,638,251
میلے,1027,241
احتیاط,352,258
قیمتی,350,258
گزر,302,256
اندوز,341,255
جیسا,290,254
بیٹھی,304,253
دریا,1163,231
عمل,392,250
لیں,293,252
کہیں,305,251
کھلے,272,251
کھولا,303,250
اسکول,771,238
نکالا,290,250
موقع,321,249
بوڑھا,384,247
ہنس,338,248
چلے,292,249
ملے,285,249
نقصان,360,247
رکھے,296,247
ملتا,295,246
روانہ,294,246
منہ,353,244
منصوبہ,367,243
دکھایا,319,244
سمجھدار,285,244
کہتے,298,242
ترغیب,376,240
سیکھنے,369,240
ننھے,487,237
ہوگی,323,241
کرنیں,277,242
پہلی,300,241
دوسری,310,240
شد,243,241
دینا,310,239
ہار,415,236
سانس,280,239
بنائیں,347,237
اونچے,337,237
توجہ,293,237
رکھتی,285,237
پرانے,402,234
کہہ,268,237
رکھیں,310,235
سکون,333,233
کھایا,311,233
خرگوش,1001,215
لینے,275,233
طاقتور,354,230
کامیابی,438,227
سمندر,1475,200
لڑکے,515,224
ممکن,312,229
آنسو,296,228
غصے,400,225
چاند,1221,204
مگر,384,225
امن,534,221
چھپ,335,226
سننے,308,226
ملی,267,227
خزانہ,700,216
نکلا,263,227
لگن,420,223
منظر,295,226
میٹھے,431,222
طوفان,588,217
ماحول,389,222
پہاڑ,607,216
سنتے,285,224
انداز,288,223
دوران,279,223
کھا,315,222
ملتی,274,222
شیر,1265,196
سوچ,304,220
خوف,359,218
ارد,276,220
کتاب,982,202
لکڑی,330,218
خاندان,474,214
پھیلی,235,220
شخص,410,215
پرانی,330,217
لال,748,206
ہوشیار,274,218
الوداع,262,218
گھبرا,248,218
بنی,285,217
میلہ,402,214
دیکھیں,260,217
باقی,299,216
نیلے,321,215
جل,354,214
شاندار,267,216
دوڑ,447,211
دیکھتی,301,214
مچھلیاں,414,211
تیاری,293,214
ملنے,282,214
مسکرائی,281,214
بناتے,281,214
نکلے,250,213
کھڑے,238,213
بھاگ,266,212
چاہے,247,212
فاطمہ,1738,174
پیارا,298,210
سیاہ,322,209
سو,280,210
کھیلتا,295,208
طریقے,289,208
دروازے,406,205
ابو,1364,180
عام,246,208
برنگی,285,206
جادو,707,195
مطلب,294,205
عمر,1109,183
تسلی,234,204
رقص,463,198
بادشاہ,961,185
فکر,283,202
بننے,301,201
لگائی,259,202
معافی,335,200
مہربانی,355,198
قدم,263,200
حقیقی,256,199
لگائے,252,199
مانی,244,199
چھپے,320,197
کافی,242,198
گلاب,973,179
غائب,258,197
تحفہ,290,196
ہیرو,269,195
تب,228,196
اونچی,291,194
دادی,1421,165
سیکھ,259,194
اصل,249,194
اڑتے,278,193
رکھو,232,194
رہو,249,193
جاؤں,237,193
گہرا,220,193
بندر,603,183
بھرپور,234,192
آسان,232,192
سامان,298,190
تجربات,324,189
علم,557,183
پایا,219,191
بولی,252,190
سیر,515,183
حل,317,188
آس,233,190
گھومنے,231,190
مسکرائے,253,189
لئے,463,183
شکل,255,188
ہلکا,239,188
دروازہ,346,185
پسندیدہ,225,187
پا,212,187
ذریعے,248,186
تنگ,280,185
پکڑ,230,186
اختتام,217,186
بلند,219,185
پتوں,333,182
پودوں,447,179
پہنچی,248,184
کھیلے,231,184
پہلا,229,184
گانے,313,180
بجائے,214,182
عزت,253,181
کھل,206,181
تعلیم,436,175
بنانا,276,179
اوہ,229,180
کھیتوں,338,177
سناتے,215,180
کھڑی,215,180
چکا,208,180
کسان,319,177
محنتی,237,179
جاننے,272,178
بوڑھی,585,170
چیخ,217,179
پتھروں,295,177
گہرے,221,178
پڑ,206,178
ملاقات,235,177
پور,897,160
ڈرتے,268,175
سچائی,463,170
چھپی,265,175
بستر,263,175
تتلیاں,375,172
چالاک,294,174
کاموں,254,175
گرمی,342,172
افزائی,254,174
پرندہ,369,171
کل,285,173
ڈھونڈ,247,173
سوچتا,201,174
اعلان,225,173
چڑیا,766,159
رو,253,172
بیٹے,323,170
