word,count,doc_count
va,23137,1022
edi,12381,1011
u,12582,996
bilan,11452,1013
bir,8753,1016
ular,9878,954
juda,8991,897
uning,6401,960
bu,5165,917
har,4274,861
uchun,3440,897
ham,3913,863
kuni,2529,840
ularning,3288,798
katta,2633,803
lekin,2799,793
bor,2367,811
qildi,2206,753
eng,2054,755
deb,2335,728
dedi,4054,648
yaxshi,2074,725
berdi,2026,695
haqida,2414,666
qanday,1755,687
o'zining,2595,645
bo'ldi,1962,665
hech,1852,667
esa,1832,663
o'z,2099,624
men,2842,591
yangi,2080,622
qoldi,1492,645
yordam,2158,615
yana,1696,610
bo'lib,1457,620
unga,1963,586
qilib,1215,617
ularni,1474,601
olib,1281,600
ko'p,1705,578
birga,1356,588
davom,1224,580
kichkina,1422,561
boshladi,1195,562
shu,1075,557
uni,1262,542
kerak,1322,539
go'zal,1425,525
qachon,1057,540
sehrli,3656,424
keyin,1006,533
boshqa,1136,522
quyosh,1345,508
ammo,1183,501
hamma,1110,491
chunki,1077,491
ajoyib,1292,481
biz,1658,457
doim,902,489
barcha,1080,481
nima,1022,482
qarab,962,483
endi,1101,469
keldi,942,476
qiziqarli,1246,461
ularga,1029,468
narsa,885,463
shunday,835,462
ketdi,770,461
chiroyli,987,450
oldi,802,458
harakat,827,451
his,828,449
bo'lgan,788,448
turardi,760,445
mumkin,801,440
edilar,1109,426
gullar,1038,428
javob,880,434
kun,725,437
qaror,769,434
butun,840,422
aytib,812,417
xursand,901,408
so'radi,858,409
ko'zlari,692,414
xil,976,401
kichik,794,408
turli,1033,397
qilishdi,851,402
bolalar,1315,380
o'ziga,872,399
yerda,828,392
emas,641,400
ko'rdi,824,382
o'zlarining,1273,359
paydo,606,382
ega,596,382
ichida,771,372
uzoq,583,380
birgalikda,792,366
doimo,713,367
birinchi,531,365
qilish,618,355
narsalarni,721,350
kuchli,660,347
siz,924,335
ekan,711,340
ostida,573,345
chiqdi,519,346
vaqt,541,344
balki,517,345
yashil,729,333
etdi,544,339
ko'rib,696,330
daraxtlar,599,323
yorqin,551,323
bola,800,308
o'sha,534,316
baxtli,559,314
sayr,608,307
baland,472,313
faqat,474,310
quvonch,504,307
yo'l,520,306
sen,774,288
orasida,448,302
topdi,507,299
biri,409,303
do'stlari,931,279
agar,491,295
bordi,458,296
kabi,455,295
qaytib,384,295
qilishni,458,290
aytdi,523,286
narsani,411,288
berishdi,454,286
uyiga,509,283
hayvonlar,702,274
mehribon,463,284
sirli,779,269
suv,692,272
oq,699,270
yaqin,382,284
xos,573,272
yosh,412,279
qizil,712,264
yuragi,462,275
yetib,461,274
qilardi,406,276
yanada,427,275
yo'q,441,274
tushdi,407,274
hayron,403,273
odamlar,560,265
qaradi,444,270
qattiq,435,270
qora,613,260
chiqib,403,269
kelishdi,479,263
o'zini,409,263
hayot,381,261
quvnoq,449,257
qishloq,859,237
daraxt,587,249
bo'lishdi,456,254
sevimli,484,252
ismi,344,255
yonida,334,251
berishga,382,247
aqlli,420,245
rang-barang,362,244
so'ng,328,245
sizga,504,237
o,2813,134
hikoya,397,240
ertalab,338,241
ekanligini,348,238
kim,311,238
nihoyat,333,237
qilishga,355,236
uchib,418,233
kulib,399,233
bir-birlariga,441,231
davomida,311,236
mening,456,229
qo'ydi,328,234
narsalar,414,230
boshladilar,388,227
sayohat,603,217
eski,408,225
yashar,313,229
unda,349,225
o'tib,290,226
oldida,315,224
salom,405,220
do'stlik,490,216
ha,411,219
to'la,296,223
ismli,277,223
albatta,311,221
o'tdi,296,221
qiziq,355,218
shirin,467,212
yumshoq,327,218
orqali,339,217
rangli,337,217
haqidagi,401,214
qolishdi,338,216
joylashgan,300,216
rahmat,337,214
turgan,262,217
nur,388,211
qushlar,461,207
menga,390,209
bir-biriga,322,212
oldiga,305,212
hayratda,325,211
oltin,718,193
muhim,298,211
yaxshilik,545,200
dunyo,377,206
qolgan,295,209
qilar,356,206
do'st,377,204
ko'k,393,202
bugun,338,201
qishloqda,428,197
necha,290,203
tayyor,282,203
onasi,543,191
hatto,307,201
ertak,525,190
uyga,338,198
duch,306,199
bizning,349,197
qadimiy,567,187
oddiy,272,199
o'rmon,657,181
o'rmonda,605,183
osmon,339,194
bilib,359,193
sariq,449,189
yashagan,252,197
qila,278,195
bizga,364,190
qanchalik,264,194
o'zi,260,194
ushbu,296,192
eshitib,356,189
bo'ladi,287,192
qildilar,367,188
tushundi,273,192
joyga,259,192
ko'proq,287,190
abadiy,307,189
dunyoni,320,188
qalbida,284,189
kelib,258,190
yoniga,276,188
uzun,241,189
yashardi,232,189
himoya,420,180
kutib,252,187
g'alati,360,181
oz,253,185
beradi,271,184
ko'plab,287,182
bo'ylab,282,181
berardi,255,182
joyda,242,181
porlab,241,181
sirlarini,350,176
mehr,300,178
ko,1364,131
borib,290,178
qiz,329,176
olishdi,237,180
orzu,296,175
hikoyalar,268,176
ulkan,283,175
joy,259,176
qiyin,233,177
daraxtning,345,172
qush,519,164
asta-sekin,228,176
bo,1263,130
alaykum,333,170
do'stlar,308,170
ochib,236,172
qiziqish,211,173
tez,255,171
assalomu,267,170
sarguzashtlari,343,165
bo'lishi,219,170
qilgan,226,169
to'g'ri,259,167
meni,256,166
osmonda,391,160
darhol,229,167
bilardi,223,167
tushib,212,167
tog,366,160
hayratga,221,166
ochdi,230,165
eslab,238,164
do'sti,212,165
sizning,276,162
ko'rardi,204,165
nurlari,220,164
sarguzashtlar,260,162
haqiqiy,236,162
uy,397,154
yulduzlar,550,147
o'yin,368,155
taklif,232,161
kirib,200,162
sizlar,305,157
hayoti,231,160
keyingi,212,160
yashovchi,345,154
chuqur,230,159
olma,590,143
bolalarga,309,155
tariqa,226,158
ovoz,242,157
ertaklar,374,151
ustida,236,157
kerakligini,186,159
diqqat,207,158
ovozi,229,157
ulardan,206,158
hali,224,157
yoqimli,221,157
qor,989,123
beraman,229,156
kuch,222,156
quyoshning,275,153
holda,203,156
o'yladi,219,155
kunlar,191,156
kuldi,242,153
gullarni,274,151
hikoyasi,240,152
undan,187,154
qishloqning,368,146
qarshi,314,148
turdi,194,153
gapirib,221,151
kirishdi,188,152
yerga,230,150
o'rmonning,560,135
saqlab,233,149
yashirin,339,144
qo,795,123
ko'rdilar,357,142
issiq,233,147
yozilgan,257,145
ko'rsatdi,186,148
qalbi,224,146
yaqinlashdi,189,147
shamol,279,143
berish,209,146
keng,185,147
berishni,206,146
dunyoga,209,145
topish,272,142
seni,225,144
to'ldi,187,145
ushlab,184,145
kuzatib,193,144
o'yinlar,275,140
o'zaro,228,142
bo'lsa,171,144
tog'lar,235,141
bog'da,312,137
aholisi,332,136
yoki,196,142
gul,399,133
yuragida,199,141
o'rgandi,209,140
olgan,161,142
buni,180,140
yurardi,172,140
ko'zlarini,184,139
bulutlar,273,135
qaytdi,172,139
osmonga,256,135
paytda,181,138
odam,244,135
nomi,176,138
daryo,376,129
borishdi,194,137
topishga,194,137
to'lgan,177,137
bo'lishni,192,136
qiladi,213,135
sovuq,228,134
bog,334,129
aylanib,215,134
shahar,462,123
payt,190,135
sizni,204,134
yashiringan,175,135
to,555,118
boshlab,157,135
go'zalligini,246,131
rangda,176,134
ko'rishdi,192,133
tabassum,168,134
aylandi,163,134
o'ylab,191,131
ochildi,167,132
boshini,160,132
senga,225,129
shundan,151,132
atrofida,184,130
hayotini,171,130
olish,168,130
odamlarga,256,126
hayotning,165,130
mevalar,224,127
bildirdi,168,129
ettirdi,187,128
hayrat,163,129
boshlandi,152,129
sevgi,240,125
yo'lda,191,127
sening,207,126
o'rtasida,160,128
nafaqat,159,128
bezatilgan,159,128
kitob,314,121
tosh,305,121
borligini,167,127
jasur,456,114
boshqalarga,197,125
kelgan,151,127
aytishdi,170,126
qichqirdi,163,126
yolg'iz,181,125
qo'shiq,263,121
go'zalligi,187,124
o'ynab,174,124
minnatdorchilik,173,124
qiziqib,162,124
qiziquvchan,146,124
ketishdi,168,123
o'rmonga,236,119
shuning,143,123
ko'rishni,165,122
tezda,165,121
o'zlarini,154,121
qabul,170,120
birdan,210,118
mashhur,163,120
uchta,208,118
safar,152,120
so,375,110
otasi,283,114
yubordi,146,120
yo,482,105
qishloqqa,184,118
qo'lida,155,119
dam,176,118
nega,169,118
mehribonlik,180,117
yugurib,147,118
sizlarga,229,114
qo'rqib,155,117
o'ralgan,144,117
qorong'i,162,116
bobo,690,92
sirlari,214,113
dilnoza,847,85
hayvonlarni,202,113
turib,150,115
o'ynashdi,195,113
xuddi,143,115
qilamiz,141,115
ertasi,130,115
g,469,100
to'lib,135,114
xursandchilik,134,114
birida,131,114
kulgili,241,109
oldin,127,114
sochlari,139,113
