word,count,doc_count
và,82965,2837
những,73964,2832
một,72700,2836
của,48884,2835
có,36119,2834
là,35276,2833
con,37719,2681
trong,29801,2829
không,29889,2825
về,29179,2791
người,30392,2749
mình,27542,2785
đã,26062,2799
được,24913,2823
bé,34464,2484
đến,23596,2799
cho,21929,2788
lại,21279,2771
thấy,20796,2787
với,20244,2783
nhỏ,20968,2749
bạn,29701,2426
chú,33415,2250
khi,17622,2773
cùng,18105,2718
ra,16736,2707
lên,17584,2678
ngày,16020,2726
đó,14800,2760
đi,18634,2615
như,15123,2709
đầu,14992,2704
nhưng,14979,2693
từ,13537,2721
cảm,15182,2639
để,14225,2668
đang,13132,2667
cả,14902,2592
nói,14966,2587
sự,14856,2565
rất,14473,2576
trên,12704,2629
vào,13228,2605
luôn,13238,2581
nhìn,12957,2571
sẽ,12495,2572
vui,14408,2488
làm,12890,2539
mà,10709,2578
trở,11290,2557
chuyện,12562,2506
chỉ,10980,2558
còn,11231,2537
mắt,10831,2547
này,10514,2552
nhau,14201,2409
biết,10515,2513
sáng,10619,2497
thể,10661,2495
điều,11216,2476
thành,11050,2457
đẹp,11202,2439
cây,15760,2277
cười,12543,2387
yêu,13160,2363
giúp,13703,2343
ở,10038,2467
cũng,9770,2472
tiếng,11627,2408
thế,9995,2457
mọi,11639,2376
bắt,8513,2478
chiếc,15519,2224
nghe,9921,2407
rằng,8876,2434
chúng,14460,2233
phải,9272,2410
sau,8232,2445
cô,24684,1862
nhiều,9121,2385
sống,9565,2344
xanh,11078,2279
hơn,8868,2348
qua,8571,2354
lòng,9649,2313
nhà,11746,2235
câu,9580,2305
cuộc,9521,2305
tình,11069,2233
các,14950,2097
khác,8165,2326
lớn,7999,2327
học,11298,2206
thích,7972,2300
tìm,10424,2193
gì,8017,2272
rồi,9633,2211
ta,12352,2110
mặt,7363,2274
thật,8465,2233
kể,8226,2228
đôi,6788,2261
hỏi,7647,2227
bị,7704,2219
nơi,7341,2225
vẫn,8170,2180
vẻ,7078,2175
vàng,10451,2054
ánh,7485,2147
trời,7555,2122
vì,6303,2148
nhiên,5633,2164
màu,8021,2080
theo,5995,2144
tiếp,5809,2148
đầy,5477,2157
hoa,14785,1833
bên,6170,2115
mỗi,5695,2114
muốn,6546,2083
tên,4141,2164
nó,9147,1989
tốt,7821,2024
họ,12883,1837
nhất,5434,2090
đều,5432,2089
lời,5943,2062
thương,8713,1952
vậy,5715,2045
sao,7378,1963
quanh,4861,2037
mới,6036,1960
nước,7257,1907
mang,5324,1959
quan,5310,1951
cách,6348,1914
ăn,8880,1825
động,5889,1915
nhớ,5550,1910
xuống,5160,1922
buổi,5098,1917
hiểu,5033,1917
thì,6264,1866
việc,6199,1864
gặp,5291,1890
đồng,5652,1874
tay,6149,1853
nhẹ,4953,1888
hai,8189,1776
hôm,4947,1875
khu,9462,1716
tục,4400,1889
đường,6178,1818
chơi,7951,1732
phá,6399,1774
nên,4177,1844
nào,4098,1846
sẻ,7161,1729
tươi,4239,1827
biệt,4195,1828
hạnh,4886,1797
ngôi,5913,1751
phúc,4591,1795
nọ,3110,1842
niềm,4556,1792
đỡ,6683,1713
trước,4063,1800
to,3851,1802
đây,4329,1785
cố,4857,1766
ơi,5988,1726
