word,count,doc_count
א,68694,1050
הא,38430,932
די,28090,1051
פ,31591,953
ט,30612,941
און,22441,1051
איז,16397,1038
אין,10293,1044
צו,11095,1022
דער,10657,1017
מיט,10105,1017
ס,12342,941
ן,11570,940
ער,10272,920
דעם,7190,950
געווען,8079,936
ווא,9657,903
זיך,5902,919
טא,5563,901
זיי,7310,874
דא,6849,881
ר,6644,868
נא,5872,872
בן,9190,788
פון,6589,820
מא,5378,832
עס,3876,850
גא,4959,828
ז,4088,831
בא,4727,811
ווי,3590,825
ל,3820,816
זא,3445,810
מען,2710,809
געהא,3228,801
איך,5122,770
געפ,3625,790
ג,2354,809
ך,3372,781
לא,2846,779
גט,3857,759
אויף,3052,771
איין,1465,779
קא,4271,736
געזא,3841,742
שפ,3323,722
ון,4866,696
נישט,2503,729
געזען,2089,731
זענען,3061,715
בער,2630,711
כט,2317,708
רא,3012,679
לע,2106,686
לט,1913,688
פא,4697,637
איר,3374,633
נגען,1714,641
זייער,2357,626
זיין,2798,616
אים,2071,627
געווא,1838,623
ווען,1449,627
גרויסע,1878,617
לטן,1428,621
מיר,2744,598
זי,4582,568
זוי,1813,607
קינדער,3334,573
רן,1663,596
רט,1307,599
גענומען,1221,595
ניט,2999,537
שטא,1655,555
כן,1499,557
קליין,1389,554
האט,6611,473
נט,1246,554
נען,2239,531
זײ,5146,466
אויגן,1136,521
יא,1703,510
מיטן,1009,508
קינד,1625,497
געגא,1019,502
וועלט,1540,494
קען,1065,499
דורך,1026,495
געהערט,898,492
אויך,986,481
וועגן,1261,472
ילט,1146,469
געגעבן,934,465
זון,920,463
ב,1496,453
געקומען,755,458
וועט,916,452
קיין,843,453
געדא,911,448
לץ,1063,445
סא,1375,437
סט,919,438
לעבן,903,438
שא,1096,434
ע,1022,430
ספ,970,429
נע,1420,420
גוט,828,427
גן,750,425
געלערנט,930,420
מער,766,417
שיין,944,414
נג,941,414
סן,761,416
נד,954,413
ילן,1085,410
קליינע,999,410
ץ,1048,409
טרא,811,411
עפ,920,406
בין,1009,404
נגעהויבן,1056,403
יעדער,852,406
לד,1277,390
זען,666,398
ליב,926,393
לן,764,395
גיין,772,394
יל,873,392
איבער,731,393
קענען,702,391
געשפ,787,388
גרויסן,785,387
נץ,914,383
געטרא,686,385
גרויסער,739,384
רץ,881,380
צום,828,380
געלא,706,380
רפ,716,373
גרויס,854,367
ביסל,800,365
גוטע,735,365
רטן,1041,359
דו,1039,357
רום,657,361
געפרעגט,814,358
מענטשן,926,356
געמא,668,358
נדערע,730,357
צוזא,680,348
ווו,662,346
געקוקט,641,342
ם,715,339
דיר,630,339
געשטא,551,340
רף,730,336
צוריק,647,335
ונען,693,330
אנדערע,588,329
ליבע,985,322
געוואוינט,503,329
געטא,547,325
וועג,586,321
טן,695,319
זייערע,721,316
געקענט,547,316
הויז,749,307
נק,573,308
שטעטל,860,300
געשיכטע,640,302
גערעדט,472,304
רײ,789,299
סוף,448,304
צייט,476,301
קומען,457,298
געלעבט,413,298
געוואוסט,562,291
ביי,499,289
טע,833,283
לערנען,716,284
וועלן,579,283
גרא,494,282
מע,883,274
ניי,567,277
געהייסן,416,278
שוין,415,278
וויל,559,273
זיינע,533,273
אויפ,490,268
ווײ,543,261
שטענדיק,451,262
ינען,484,259
וועל,462,259
איינער,408,259
האבן,1693,239
רעגט,544,256
גוטער,468,255
טער,445,255
יעדן,403,254
ביז,362,253
געענטפערט,492,247
שיינע,541,246
קלא,498,246
קליינער,458,245
רק,449,244
אבער,429,242
בלומען,540,240
אירע,643,238
נצע,436,241
סער,491,240
וואס,1111,230
ביימער,519,235
מיידל,415,234
העלפ,506,231
רבעט,435,231
ערט,483,230
שלא,462,230
מענטש,484,228
הימל,398,229
ד,532,226
אויב,317,229
שטערן,854,220
רשטא,378,226
געבן,365,226
רגן,357,226
צײ,495,222
ק,493,222
כ,426,220
גליק,490,219
בלא,415,220
בײ,600,217
געשטעלט,290,220
וויסן,349,219
לטע,372,218
הויך,316,218
צוויי,372,216
שווא,380,214
יעדע,367,214
לפ,344,211
גערופ,314,210
פיל,318,208
נטא,478,204
ש,792,199
העלפן,474,203
מײ,632,200
דיין,349,203
סך,413,202
פול,347,203
ווערן,311,202
געליבט,328,201
שטימע,358,200
קע,341,200
נצן,382,199
אז,570,196
גרינע,328,199
קול,317,199
טיפ,315,199
גליקלעך,372,198
זוכן,291,199
צווישן,287,199
זן,298,198
יי,577,193
נס,378,196
רשידענע,369,195
געענטפ,422,194
רויס,273,196
קן,290,195
געבעטן,277,194
קליינעם,334,193
מיין,424,191
קרא,414,191
צא,409,191
עסן,407,189
עטלעכע,276,191
ליין,311,188
זינגען,462,181
געװען,1252,165
געמאכט,254,179
