word,count,doc_count
的,375499,4274
了,186052,4274
在,70155,4274
着,73832,4188
和,48716,4252
地,51938,4193
是,37990,4252
也,34218,4214
一个,31644,4143
都,28081,4182
有,23256,4153
里,30248,4040
就,19976,4077
小,37585,3769
上,18695,3924
自己,20795,3836
到,14450,3886
你,29227,3669
说,21299,3697
我,27171,3621
一起,20754,3646
他,63837,3146
们,27600,3552
会,15452,3681
开始,13325,3705
像,14699,3645
充满,12783,3646
它,40228,3324
知道,10868,3615
看到,13056,3572
去,13826,3561
一天,8084,3588
他们,35744,3273
眼睛,8502,3466
要,11213,3419
可以,12759,3373
很,10626,3374
又,9708,3328
把,12215,3296
我们,20901,3194
用,10968,3300
最,8608,3325
对,9670,3308
好,10830,3253
起来,8895,3262
让,9758,3237
还,9064,3239
一只,9656,3184
故事,13624,3123
快乐,11464,3136
中,8922,3150
更加,10354,3130
更,9117,3144
这,7872,3143
不,7991,3136
喜欢,7828,3096
从,6433,3093
住,4509,3106
什么,7670,2994
能,7309,2985
看着,7137,2984
一样,7661,2965
被,7970,2957
变得,8056,2945
来,7356,2944
得,7079,2944
继续,6850,2897
她,39922,2499
想,7821,2854
发现,7618,2837
但,7624,2815
而,5973,2809
没有,6324,2788
给,7255,2734
兴奋,5490,2729
开心,8049,2699
帮助,11252,2641
终于,5303,2699
心里,6045,2644
声音,7191,2608
永远,6725,2606
阳光,6541,2606
下,5284,2618
每天,5644,2610
美丽,8076,2581
地说,6848,2593
走,6771,2592
突然,4743,2608
好奇,4512,2596
它们,14697,2459
还有,4922,2547
大,5269,2527
笑,6402,2509
找到,7118,2481
听,5303,2500
就是,4128,2509
成为,6489,2477
总是,5052,2485
努力,6541,2441
跑,6561,2430
非常,6016,2436
呢,5796,2423
朋友,7576,2398
每,5750,2408
那,4917,2406
啊,6373,2386
但是,5371,2389
来到,4662,2386
时候,5018,2381
人,6762,2357
玩耍,5171,2373
多,5048,2372
轻轻地,5130,2371
世界,7485,2340
吗,5016,2344
告诉,5252,2335
这个,5093,2331
然后,4545,2337
生活,5248,2292
看,5809,2282
名叫,3178,2300
做,5034,2276
小心翼翼,3705,2282
小小的,4579,2236
美好,4328,2236
其他,5579,2216
觉得,4685,2220
只要,3916,2222
虽然,4332,2209
光芒,5973,2181
事情,3777,2201
吧,4288,2185
明白,3715,2187
一些,4506,2164
慢慢,4673,2161
因为,3756,2160
并,4218,2148
向,3902,2132
希望,5667,2105
孩子,8536,2069
勇敢,6633,2085
叫,3945,2113
吃,7991,2041
这样,3544,2087
一片,3762,2081
可是,4067,2075
大家,7265,2023
为,4256,2054
动物,9132,1992
带,3860,2051
地方,4064,2024
感到,3874,2025
这些,4206,2019
爱,5353,2000
过,3414,1990
温暖,4621,1968
头,3306,1969
分享,5210,1936
听到,3219,1952
却,3366,1940
出来,3317,1930
寻找,4360,1908
遇到,4031,1903
整个,3170,1909
感受,4221,1879
各种各样,3566,1880
哇,3824,1877
过去,2949,1880
已经,3286,1870
问道,3542,1853
当,3292,1846
怎么,3040,1839
回到,2780,1837
渐渐,2586,1839
越来越,3579,1819
许多,3237,1820
需要,3780,1811
看起来,3176,1808
特别,3096,1806
一颗,3676,1799
说道,4732,1785
很多,3459,1789
道,3404,1781
今天,4191,1769
起,2509,1766
可爱,2800,1761
新,4250,1743
东西,3543,1748
准备,3425,1749
这里,3971,1737
决定,2839,1740
后,2839,1726
正在,2729,1706
发出,2977,1702
一下,2731,1694
一定,2554,1677
带来,3368,1657
于是,2405,1649
呀,4130,1629
一切,2619,1642
点头,2671,1637
立刻,2837,1626
巨大,3115,1619
身边,2695,1616
找,3477,1597
天空,3968,1576
太阳,3301,1580
笑容,2472,1589
观察,2988,1581
将,3334,1561
心中,2882,1566
幸福,3058,1554
周围,2501,1550
有些,2486,1540
一棵,2203,1538
力量,3567,1520
善良,4072,1514
一直,2330,1530
你们,4606,1503
那里,2421,1520
下来,2184,1519
一位,2684,1511
仔细,2412,1507
阳光明媚,1670,1514
家,3168,1496
所有,2923,1497
谢谢,2969,1492
害怕,2997,1485
最后,2181,1486
学习,4317,1459
跳,3289,1469
一,2243,1468
妈妈,13396,1339
还是,2280,1465
才能,2366,1462
鼓励,2472,1460
脸上,2296,1456
指着,2590,1446
看看,2369,1435
森林,9599,1352
真,2507,1424
重要,2259,1425
不再,2384,1418
高兴,2096,1419
出,2260,1412
仿佛,2418,1410
很快,2001,1411
食物,3368,1377
露出,1827,1394
学会,3242,1377
地上,2245,1383
时间,2453,1374
真的,2346,1375
友谊,4154,1352
只,2388,1367
小鸟,5714,1329
站,2031,1368
小心,2193,1365
再次,2040,1358
金色,2690,1343
好像,2357,1346
不是,2118,1343
拥有,2450,1339
保护,3815,1319
关于,3205,1322
温柔,2018,1328
离开,2014,1326
有着,1801,1328
不仅,1928,1325
忍不住,1800,1323
玩,3423,1293
困难,2361,1305
时,2262,1305
而是,2043,1302
感觉,2125,1299
拿,2197,1298
坐在,1849,1294
一种,2346,1276
这是,1967,1277
个,1932,1275
过来,1805,1276
各种,2060,1272
身体,2335,1267
一条,2097,1269
翅膀,3975,1247
心,1999,1268
美味,2596,1256
回家,2283,1244
似乎,2042,1239
点,1860,1229
而且,1849,1229
那些,2096,1223
地笑,1618,1225
点点头,1867,1222
一双,1420,1227
漂亮,2017,1220
闪闪发光,1777,1221
想要,1843,1219
像是,2059,1216
能够,2119,1211
一次,2159,1210
与,2148,1210
变成,2745,1202
经常,1661,1213
的话,1668,1201
别人,2562,1190
闪烁着,1707,1196
经过,1625,1192
探索,3081,1167
从那以后,1316,1182
那天,1467,1178
守护,2988,1160
不会,1744,1172
飞,3286,1154
想起,2076,1165
当然,1617,1169
问,1854,1165
一群,1469,1167
只是,1580,1165
原来,1558,1164
帮,2044,1158
不仅仅,1687,1162
小伙伴,3127,1144
比,1622,1160
这时,1511,1161
样子,1615,1156
哪里,1842,1146
极了,1512,1147
旁边,1629,1144
里面,1812,1138
最终,1622,1136
树叶,2535,1122
一声,1644,1132
再,1595,1130
一会儿,2126,1117
第二天,1239,1123
有趣,1724,1115
星星,5601,1070
紧紧,1611,1113
认真,1588,1112
人们,3156,1083
神奇,2704,1088
发生,1504,1100
地问,1550,1099
经历,1793,1096
这么,1553,1097
那么,1613,1096
记住,1759,1092
真正,1952,1089
红色,2213,1086
慈祥,1423,1092
方向,1839,1086
以后,1547,1089
尝试,2067,1082
才,1413,1088
树上,1998,1074
长大,1694,1076
放弃,1722,1074
一阵,1403,1076
秘密,3407,1052
不要,1582,1072
现在,1589,1069
只有,1432,1067
出现,1606,1063
如果,1516,1064
则,1814,1054
每个,1697,1054
不同,2033,1040
一口气,1362,1047
每当,1373,1038
快,1547,1035
空气,1405,1035
为了,1816,1029
小兔子,4148,998
度过,1511,1024
这次,1623,1014
以前,1222,1018
创造,2016,1007
冒险,2840,997
那个,1628,1009
面前,1255,1011
树枝,2121,1001
