word,count,doc_count
futhi,7362,764
ukuthi,6698,755
kakhulu,3280,748
kodwa,3366,728
lapho,1987,616
izinto,1911,599
kanye,2079,565
kwakukhona,1458,596
abantu,1961,513
omkhulu,1431,561
ukuba,1500,548
eziningi,1354,550
zonke,1426,534
uthando,2709,399
njengoba,1441,529
yakhe,1281,514
wakhe,1550,471
khona,1053,518
isikhathi,1007,497
kusho,1783,408
ngoba,1047,483
indlela,1113,472
ngesikhathi,940,478
umoya,1228,428
emhlabeni,1071,444
olukhulu,1182,425
njalo,1015,440
wabona,1160,424
lokhu,968,441
kahle,1059,431
konke,1007,435
ngendlela,948,435
kwakhe,933,426
zakhe,880,404
nje,837,407
lakhe,684,407
enkulu,728,402
lokho,811,392
uma,885,379
yini,705,388
esikhulu,683,386
waqala,902,363
ngaphandle,705,373
waba,694,369
wonke,745,361
okukhulu,656,369
kanjani,787,355
ngokushesha,736,359
ukuze,654,366
omncane,591,355
umuntu,727,340
izilwane,1151,294
zabo,730,325
yabo,727,325
indawo,623,334
ezinhle,601,332
akhe,618,330
ngayo,565,334
ilanga,567,332
kwaba,596,327
noma,611,324
ezinye,586,326
ngempela,728,307
ukwenza,612,319
yonke,535,326
amakhulu,563,322
phakathi,570,319
into,512,323
le,536,318
ukubona,569,312
izindaba,723,293
abanye,604,303
sakhe,501,311
umhlaba,693,290
elikhulu,481,310
ekhaya,757,281
omuhle,534,302
endaweni,474,307
kwabo,574,294
bakhe,566,292
bonke,557,292
ngemva,474,300
ngokuthi,581,287
umsebenzi,542,291
amandla,591,285
ukwazi,537,289
eminingi,430,289
wathi,650,266
ngakho,443,286
lezi,514,275
encane,467,278
ngenxa,442,280
kufanele,581,265
ekugcineni,411,277
impilo,466,266
kukhona,415,271
baqala,608,250
ukuthola,449,266
ngisho,397,269
izinyoni,859,221
ezinkulu,426,258
ukudlala,715,228
izwi,507,245
manje,416,252
ngemuva,414,250
umfana,439,244
suku,364,250
ukufunda,614,223
indaba,464,237
naye,373,246
wabo,499,227
oqeqeshwe,603,215
ngamandla,358,240
ukuqonda,395,236
usuku,378,236
ngenkathi,392,234
enhle,346,238
ezintsha,461,224
waqhubeka,372,231
ngaphansi,340,232
kube,316,234
okuningi,326,224
wayehlala,325,223
izindlela,333,222
phansi,310,219
sonke,322,212
ngezwi,387,205
kusukela,258,216
wenza,301,209
kwesikhathi,272,210
wayethanda,316,205
abaningi,312,203
wayazi,359,198
ukukhanya,375,196
ukudla,485,183
ngothando,354,192
eside,284,199
okuhle,294,196
kwathi,338,189
ndawonye,393,181
phambili,281,190
izingane,493,167
amaningi,269,190
kancane,321,184
kubuza,300,186
ezincane,299,184
lwakhe,294,184
lo,274,186
umkhulu,619,150
okuthile,266,186
leli,271,185
ngalolo,235,188
nokuthi,268,184
unomusa,920,114
isimo,260,182
amanzi,422,164
ngelinye,245,182
ukuhamba,290,177
ngaphakathi,270,179
babona,289,177
ehlathini,485,156
kwalokho,224,182
lonke,266,177
sikhathi,249,178
ngakho-ke,253,177
labo,260,176
kwakho,238,178
ukuthula,429,158
kuphela,217,180
abantwana,558,144
ubuhle,308,169
wayengumfana,343,165
yebo,282,171
ngezinto,255,172
wayefuna,283,169
elincane,256,171
amehlo,266,168
wathatha,268,166
babo,287,164
bese,247,168
nomusa,440,147
lapha,276,164
izinhlobo,252,166
sawubona,314,159
kungani,234,167
umusa,571,132
igama,242,166
ngolunye,225,166
wami,379,149
wathola,258,161
izwe,325,154
abo,257,161
ukuzwa,243,160
ezweni,249,159
amazwi,283,155
ngaphambi,213,159
nezinye,251,155
yakho,239,156
ngaso,229,156
ngokuhamba,198,159
ukuqeqeshwa,282,149
kuye,220,155
usipho,815,93
ndlela,215,154
emzini,326,142
nabantu,213,153
baqhubeka,257,148
ukukhuluma,284,145
amahle,225,151
emikhulu,207,152
emzaneni,384,133
waya,229,149
esihle,205,151
yena,233,148
emfuleni,281,142
ngicabanga,327,136
umama,477,120
phezulu,253,142
ukuthatha,272,140
nabo,210,146
ebusuku,273,139
ngesinye,192,147
obukhulu,201,146
ngaphezu,189,147
ngifuna,351,130
kepha,233,142
ogama,174,148
emanzini,257,139
kumele,273,137
eduze,185,146
ezahlukene,230,141
ngezindlela,199,144
wakho,272,136
zaqala,242,139
kuphendula,290,134
baba,260,137
ekuseni,288,134
ukubaluleka,205,142
izikhathi,183,144
kwazo,206,141
wacabanga,205,140
kulo,180,142
waphendula,234,136
iqiniso,193,139
ekuqaleni,163,141
ukuphila,199,137
ehamba,205,136
ngokuthula,256,130
kulungile,187,136
ngaleso,178,136
ngiyazi,192,134
yethu,236,129
kuyo,166,136
abakhulu,181,134
waqonda,190,133
ngosuku,168,135
wazizwa,197,131
kanti,206,130
ezindaweni,174,132
ngiyabonga,241,125
emangalisayo,182,131
lezo,161,133
injabulo,215,127
wethu,231,125
inkosi,355,112
kokuba,162,132
ukusiza,210,127
wajabula,190,129
eceleni,163,131
sengathi,191,128
emuva,168,130
kubo,168,130
nezilwane,225,124
izinsuku,175,128
zazo,175,127
lwabo,220,122
wafunda,190,125
yami,229,120
ezimnandi,190,124
omdala,238,119
bahamba,228,120
imvelo,246,118
ezama,176,125
emthunzini,193,123
izindawo,179,124
wayebona,208,119
ngomoya,159,124
layo,146,125
ngithanda,236,115
uhambo,216,117
emva,157,123
omunye,183,120
ngezinye,151,123
bafunda,186,119
enye,152,122
ngabe,161,121
zethu,188,118
iminyaka,149,122
wahamba,213,115
izinkanyezi,386,97
emnandi,160,120
ngenjabulo,160,120
nothando,204,115
imisebenzi,194,116
wazama,165,119
imizwa,172,118
leyo,161,119
endlini,169,118
emhlabathini,170,117
ngamunye,178,115
ngalokho,145,118
nezinto,149,117
zabantu,145,117
ukukhula,182,113
nomoya,153,116
wavuma,157,115
wena,202,109
inhliziyo,171,112
esikhathini,148,114
nazo,174,111
wayengumuntu,216,105
ngazo,137,113
wayefunda,252,101
izingoma,202,106
umqondo,142,112
emoyeni,157,110
kuzo,155,110
wahlangana,138,111
ezimbili,146,110
nokuqonda,134,111
wafika,160,108
lutho,130,111
esho,214,102
kwabantu,159,107
wayelokhu,161,106
mina,159,106
ngeke,134,108
izihlahla,199,101
wayehamba,197,101
yazo,156,105
bathola,155,105
ngabantu,133,107
amaqembu,160,104
nami,188,101
ukucabanga,124,107
ube,143,105
bafika,170,102
kwelanga,148,104
wabuza,155,103
indoda,209,96
isifundo,140,103
ulwazi,149,102
kanzima,149,102
kuwo,120,105
ngokukhulu,168,100
ezimangalisayo,165,100
izandla,143,102
sabo,120,104
wabe,139,102
entsha,139,102
ezimhlophe,187,97
ekhuluma,163,99
kuhle,143,101
nabanye,123,103
elihle,121,103
izithelo,188,96
iqembu,157,99
izimbali,222,92
ukusebenza,123,102
isibindi,169,97
ekuphileni,129,101
ubaba,310,82
ngqo,126,101
zaba,134,100
kwakuhlala,114,102
umthunzi,374,75
laba,142,99
ehlala,121,101
ngalelo,115,101
ezinzima,122,99
wahlala,127,98
kuze,116,99
intombazane,132,97
yokuthi,122,98
ukuhlala,120,98
izintaba,147,95
ngalolu,116,98
izithombe,164,93
kubantu,123,97
kude,132,96
thando,228,86
okwenza,120,97
ngaphezulu,110,98
ukuhlangana,116,97
izulu,220,86
emini,122,96
zayo,119,96
wabheka,125,95
umdlalo,170,90
abangane,131,94
wazi,120,95
emakhaya,168,90
nokwenza,119,95
ngamazwi,128,94
zinto,117,95
ebalulekile,116,95
emsebenzini,124,94
amakhono,134,92
zakho,132,92
emihle,110,94
ukuqhubeka,105,94
kangakanani,113,93
kwethu,131,91
eya,131,91
nokuba,110,93
ezintabeni,174,86
ngokuphelele,125,91
ngiyabona,114,92
osemncane,123,91
ebusweni,116,91
ngcono,125,90
ehlukile,115,91
yinto,104,92
yaba,112,91
zibe,147,87
izinkomo,299,71
ukwakha,123,89
ezimbalwa,113,90
ngingathanda,138,87
bahlala,109,90
nokuthula,137,87
izitshalo,200,80
bobabili,161,84
ebona,103,90
akazange,111,89
amagama,149,85
wakhuluma,120,88
yathi,164,83
ukuthuthukisa,110,88
umntwana,243,74
yabantu,98,89
mkhulu,203,78
babe,144,84
yaqala,124,86
ezimnyama,150,83
wayeyazi,118,86
izindlu,146,83
amancane,106,87
abe,125,85
umndeni,161,81
yokuphila,112,86
esithile,102,87
ngicela,159,81
kodwa-ke,120,85
wabuyela,100,87
ithuba,98,87
okufanele,104,86
oqinile,96,86
ngaphambili,105,85
abadala,138,81
ngelanga,99,85
ngobuqotho,104,84
kwayo,113,83
nendlela,103,84
nezinyoni,146,79
ngomusa,117,82
ndawo,115,82
ngale,95,84
ngumuntu,104,83
zemvelo,113,82
kwasho,160,77
ikhanda,107,82
ukusebenzisa,105,82
langa,94,83
kwaqala,103,82
ugogo,352,56
ukuya,100,82
okokuqala,97,82
eyodwa,106,81
yayo,115,80
izinhliziyo,104,81
ngamanye,104,81
ukuxhumana,102,81
ezikhulu,100,81
behamba,148,76
edlala,99,81
ngamehlo,98,81
kuqala,97,81
kulokhu,96,81
usizo,112,79
wayezwa,140,76
emnyama,117,78
ezinamandla,116,78
ngaleyo,95,80
abazali,132,76
okusha,103,79
wayecabanga,93,80
kwavela,102,79
ethi,102,79
emehlweni,100,79
amaqhawe,165,72
ebizwa,103,78
namandla,103,78
kwenzeka,89,79
isinqumo,98,78
egama,87,79
umuzi,164,71
nawe,135,74
bahlangana,96,78
esincane,103,77
ukuthanda,131,74
lethu,105,76
ezithile,95,77
umkhuba,113,75
akukho,101,76
kwafika,99,76
nemvelo,98,76
emkhathini,125,73
indlu,114,74
ngempilo,152,70
yenza,92,76
bathi,111,74
hhayi,100,75
umlando,148,70
imibala,126,72
benza,96,75
yona,86,76
nakho,92,75
elilodwa,82,76
komfula,101,74
ngenhliziyo,90,75
ecabanga,99,74
waqeqeshwa,115,72
amanye,105,73
umfula,181,65
esiningi,84,75
zami,103,73
ngesimo,82,75
othanda,139,69
ngalokhu,88,74
kungaba,88,74
uthandi,396,42
impela,97,73
nokuqeqeshwa,116,71
kunjalo,87,74
ngezindaba,95,73
nayo,95,73
esikoleni,161,66
ndaba,103,72
efuna,92,73
ezinemibala,110,71
nomkhulu,146,67
ngemvelo,107,71
nsuku,86,73
kwemvelo,95,72
wayeqonda,95,72
umqeqeshi,113,70
ukuzama,92,72
uthole,91,72
amaqabunga,139,67
emhlophe,139,67
zokuphila,90,72
emzimbeni,80,73
wayezizwa,99,71
umculo,166,64
aqala,98,71
isizwe,154,65
ufuna,86,72
abafana,220,58
kwabanye,84,72
ukuqala,84,72
omusha,103,70
ngokuqeqeshwa,83,72
ngezikhathi,82,72
bami,110,69
nempilo,129,67
esikhundleni,80,72
afrika,99,70
emazweni,99,70
isandla,88,71
wakhumbula,86,71
emgodini,105,69
ngempumelelo,103,69
sokuthi,82,71
ngokuqhubekayo,80,71
ubukhulu,87,70
kokuthi,86,70
nkosi,172,61
izinkinga,94,69
emkhulu,84,70
izifundo,93,69
wamoyizela,110,67
amabili,118,66
okunye,76,70
lokuthi,94,68
mayelana,92,68
nokufunda,99,67
ezinhliziyweni,88,68
ezibalulekile,78,69
zothando,87,68
ukunqoba,105,66
izinyathelo,93,67
mama,150,61
imininingwane,92,67
ukhona,82,68
yothando,101,66
imidlalo,128,63
ukugcina,88,67
kubalulekile,88,67
incwadi,184,57
base,106,65
bathatha,86,67
enhliziyweni,86,67
ngobuhle,86,67
lesi,85,67
ingane,189,56
wakwazi,82,67
empilweni,90,66
esebenzisa,80,67
engcono,79,67
oluhlaza,88,66
enomusa,78,67
ngokwenza,77,67
ngokucophelela,76,67
izimfihlo,161,58
wagcina,74,67
namuhla,83,66
amasha,82,66
kweminyaka,72,67
ubunzima,91,65
yindlela,81,66
nokukhanya,87,65
ngobumnene,85,65
zomhlaba,93,64
u-lindiwe,353,37
kuthi,100,63
ehlukene,80,65
ngingumuntu,155,57
olulodwa,77,65
emqondweni,72,65
ehlane,149,57
ngani,81,64
yingxenye,90,63
ezinde,79,64
ethile,69,65
imvula,136,58
nobuhle,78,64
eziphakeme,77,64
ezintathu,115,60
imithi,94,62
ezihle,103,61
mntanami,122,59
ngalo,73,64
ukwesaba,101,61
esisha,71,64
ezihlukene,70,64
lelo,70,64
ethatha,79,63
wayengumntwana,136,57
umthombo,97,61
ubuhlobo,85,62
yezinto,85,62
imibono,85,62
kangaka,84,62
womuthi,74,63
phambi,74,63
ezifana,73,63
amaqiniso,82,62
endleleni,81,62
bekhuluma,119,58
ngubani,80,62
ezwa,80,62
kwawo,70,63
uzola,349,34
emthini,98,60
ezahlukahlukene,88,61
ukhulu,134,56
wabuka,76,62
ukulwa,104,59
umlilo,152,54
emisha,84,61
wamomotheka,93,60
efunda,73,62
izenzo,73,62
kuyinto,82,61
ngokusebenzisa,81,61
yokwenza,71,62
ethanda,69,62
nathi,76,61
eqinile,75,61
ebuka,74,61
ezihlukahlukene,73,61
wayezama,72,61
kwezinto,71,61
okwengeziwe,70,61
uyazi,70,61
nezindaba,79,60
egcwele,69,61
oqeqeshiwe,76,60
ayo,76,60
ngokuqonda,75,60
izinhlanzi,132,54
ingoma,122,55
othile,71,60
sakho,71,60
baqonda,71,60
wayemthanda,89,58
bakho,78,59
uqeqeshwe,97,57
wabonisa,77,59
wasebenzisa,77,59
ekhona,65,60
wayefisa,84,58
ethu,83,58
komhlaba,83,58
wakhula,73,59
kule,72,59
ngezinyawo,71,59
kwenza,71,59
umsindo,80,58
ngokuba,77,58
indlovu,163,49
komoya,66,59
nendawo,64,59
eqhubeka,73,58
nabangane,92,56
ngokuqinisekile,63,59
ekupheleni,71,58
wayo,70,58
esihlahleni,89,56
ezivela,79,57
wothando,79,57
impumelelo,69,58
akho,78,57
izinyawo,68,58
nina,201,44
